name,id,major_id,pop_km2,total_pop,ages_0-6,ages_7-15,ages_16-18,ages_19-24,ages_25-39,ages_40-64,ages_65-,avg_pers_income,median_fam_income,people_on_social_assistance,unemployment,homes,carless_households,employment_km2,business_bldgs,public_bldgs,industrial_bldgs,floorarea_ha,floorarea_housing_house,floorarea_housing_condo,floorarea_business,floorarea_public,floorarea_industrial,floorarea_other,daycares,primary_schools,primary_school_pupils,middle_schools,middle_school_pupils,high_schools,high_school_students,special_schools,special_school_pupils,libraries,health_stations,playgrounds,swimming_halls,sports_halls,sports_fields,churches,post_offices,apothecaries,alkos,grocery_shops,other_retail,restaurants,cafes_bars,parks_ha,forest_ha,swim_beaches,voted_SDP,voted_KOK,voted_VIHR,voted_RKP,voted_VASL,voted_PS,voted_other
Vironniemen peruspiiri,101,1,6224.509803921568,12698,5.91,6.98,2.17,6.898724208536777,25.783587966608916,32.48,19.78,54147.0189684762,57438,351,5.283922784275045,8297,54.6,18095,1333.357,371.382,25.844,13540,0.06,30.16,48.27,13.44,6.61,1.45,11,2,627,1,488,1,535,0,0,1,0,1,0,11,9,6,1,5,3,47,240,188,35,31.0750,0.0000,0,7.01,39.53,26.38,8.14,8.09,2.81,8.04
Ullanlinnan peruspiiri,102,1,4100,24477,5.76,6.56,1.66,8.0524574089962,30.935163622993013,30.66,16.37,59570.74132681306,50969,889,5.8554249795025965,17246,58.0,3971,620.514,144.853,256.16,4662,0.74,57.43,22.29,5.20,12.85,1.49,13,4,1196,0,0,2,369,2,576,2,1,2,0,11,14,6,3,4,5,43,265,175,23,62.6496,30.2254,3,5.15,39.93,23.46,15.02,6.74,2.86,6.84
Kampinmalmin peruspiiri,103,1,9564.018691588784,40934,6.2,5.93,1.71,9.67166658523477,34.142766404455955,27.8,14.55,48388.314801629116,48719,1875,6.168736759024633,26216,61.6,12100,1637.524,389.748,188.962,11037,0.17,47.46,34.66,8.25,8.97,0.50,19,5,1578,3,472,5,1676,4,1110,1,0,1,1,26,12,8,1,10,4,69,435,278,33,51.0180,0.6855,1,7.19,38.16,27.52,8.54,7.80,3.60,7.19
Taka-Töölön peruspiiri,104,1,7973.333333333334,15548,5.28,4.98,1.45,9.223051196295344,34.268073064059685,26.72,18.07,43117.9168627451,45190,677,5.913635396724101,10688,62.1,5766,150.956,282.715,11.371,6925,0.39,64.04,11.18,20.94,3.44,0.01,8,2,579,2,331,2,700,1,107,1,1,1,0,15,7,1,1,2,3,17,63,55,15,36.3848,14.8313,0,6.78,38.27,27.16,8.83,7.88,3.41,7.67
Lauttasaaren peruspiiri,105,1,6334.895833333334,24326,7.89,7.71,1.72,5.28241387815506,30.091260379840502,28.7,18.61,48602.3390306493,54259,664,5.055120394545982,14428,47.7,1840,153.117,49.77,144.028,3956,4.80,69.38,10.08,3.28,12.41,0.04,11,2,1287,1,445,1,320,0,0,1,1,1,1,7,9,1,2,2,1,15,94,30,7,41.1346,77.6025,2,6.16,43.73,22.48,11.98,5.01,3.69,6.95
Reijolan peruspiiri,201,2,3894.4320712694876,17486,6.38,8.04,2.24,8.738419306874071,28.680086926684208,29.34,16.57,35181.56151335509,40298,1660,7.591729170889925,10683,61.4,5209,152.128,555.027,34.495,3611,1.68,46.83,9.38,34.23,7.33,0.54,12,2,710,1,469,2,428,3,1189,1,1,2,1,22,10,4,1,1,1,15,36,24,13,46.9049,132.8964,1,11.04,28.80,28.16,6.48,10.56,5.07,9.89
Munkkiniemen peruspiiri,202,2,3859.784946236559,17948,6.37,8.62,2.64,6.892132828170269,23.11678181412971,30.61,21.76,51941.50948895654,46755,753,5.955574632471295,10908,50.2,929,135.521,102.134,0.325,2580,12.83,66.32,11.29,8.51,0.75,0.29,7,3,1254,2,688,2,637,1,603,1,1,2,0,10,19,2,1,3,1,16,41,21,5,45.7571,72.7835,2,7.89,42.12,22.49,10.53,5.70,3.48,7.79
Haagan peruspiiri,203,2,5218.233082706766,27761,6.18,5.84,1.75,9.045063218183783,33.085983934296316,25.62,18.48,31078.223738896584,35837,2546,8.19331819656179,17543,59.1,1830,225.066,152.164,12.577,3013,3.06,70.24,14.04,9.49,2.91,0.24,12,2,921,3,1099,3,1389,2,806,2,1,3,1,13,21,1,3,2,0,16,41,23,7,60.0710,133.7918,0,12.89,26.45,26.37,6.19,10.32,6.22,11.56
Pitäjänmäen peruspiiri,204,2,2762.7245508982037,18455,7.38,8.01,2.57,7.91113519371444,26.8978596586291,31.02,16.21,31467.502106149957,39856,2395,10.198070086338243,10511,50.5,3926,443.133,110.345,786.318,3448,7.12,26.69,19.24,4.79,42.10,0.06,7,3,767,1,191,0,0,0,0,1,1,3,0,7,11,1,2,3,2,14,65,30,3,51.6616,120.2986,0,15.58,27.32,23.12,4.40,8.93,8.70,11.95
Kaarelan peruspiiri,205,2,3065.814696485623,28788,7.47,8.56,2.89,8.673752952619147,25.611365846880645,30.67,16.12,28729.895286433417,37812,3619,10.3513899272752,15619,49.8,539,110.511,114.156,86.785,1708,22.07,57.62,6.89,7.12,6.30,0.00,13,3,1253,2,522,2,347,1,489,2,2,4,0,11,20,2,3,3,1,14,71,27,3,114.8618,234.7962,0,18.79,22.59,21.64,4.41,11.26,8.99,12.32
