,id,total_pop,ages_0-6,ages_7-15,ages_16-18,ages_19-24,ages_25-39,ages_40-64,ages_0-65-,avg_pers_income,median_fam_income,homes,business_bldgs,public_bldgs,industrial_bldgs,daycares,schools,special_schools,libraries,health_stations,playgrounds,swimming_halls,sports_halls,sports_fields,churches,grocery_shops,restaurants,cafes_bars,unemployment,manufacture_jobs,retail_jobs,transport_jobs,business_jobs,public_jobs
0,000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,12698.0,5.91,6.98,2.17,6.898724208536778,25.78358796660892,32.48,19.78,54147.0189684762,57438.0,8297.0,1333.3570000000002,371.38199999999995,25.844,11.0,1.0,0.0,1.0,0.0,1.0,0.0,11.0,9.0,6.0,47.0,188.0,35.0,5.2839227842750445,4.2,19.9,5.4,37.5,33.1
2,102,24477.0,5.76,6.56,1.66,8.0524574089962,30.935163622993013,30.66,16.37,59570.74132681307,50969.0,17246.0,620.514,144.85299999999998,256.16,13.0,2.0,2.0,2.0,1.0,2.0,0.0,11.0,14.0,6.0,43.0,175.0,23.0,5.8554249795025965,6.9,14.3,4.2,41.2,33.2
3,103,40934.0,6.2,5.93,1.71,9.67166658523477,34.142766404455955,27.8,14.55,48388.31480162912,48719.0,26216.0,1637.524,389.74800000000005,188.96200000000002,19.0,5.0,4.0,1.0,0.0,1.0,1.0,26.0,12.0,8.0,69.0,278.0,33.0,6.168736759024633,7.1,16.1,2.1,46.5,28.0
4,104,15548.0,5.28,4.98,1.45,9.223051196295344,34.268073064059685,26.72,18.07,43117.9168627451,45190.0,10688.0,150.95600000000002,282.715,11.370999999999999,8.0,2.0,1.0,1.0,1.0,1.0,0.0,15.0,7.0,1.0,17.0,55.0,15.0,5.913635396724101,0.8,9.5,0.8,15.7,73.0
5,105,24326.0,7.89,7.71,1.72,5.28241387815506,30.091260379840502,28.7,18.61,48602.339030649295,54259.0,14428.0,153.11700000000002,49.77,144.028,11.0,1.0,0.0,1.0,1.0,1.0,1.0,7.0,9.0,1.0,15.0,30.0,7.0,5.055120394545981,7.3,22.1,2.9,47.9,19.7
6,201,17486.0,6.38,8.04,2.24,8.738419306874071,28.68008692668421,29.34,16.57,35181.56151335509,40298.0,10683.0,152.128,555.0269999999999,34.495,12.0,2.0,3.0,1.0,1.0,2.0,1.0,22.0,10.0,4.0,15.0,24.0,13.0,7.591729170889924,10.2,5.9,3.1,17.1,63.7
7,202,17948.0,6.37,8.62,2.64,6.8921328281702685,23.11678181412971,30.61,21.76,51941.50948895653,46755.0,10908.0,135.52100000000002,102.134,0.325,7.0,2.0,1.0,1.0,1.0,2.0,0.0,10.0,19.0,2.0,16.0,21.0,5.0,5.955574632471294,4.4,25.3,1.6,31.6,36.9
8,203,27761.0,6.18,5.84,1.75,9.045063218183783,33.08598393429632,25.62,18.48,31078.22373889658,35837.0,17543.0,225.06599999999997,152.164,12.577,12.0,3.0,2.0,2.0,1.0,3.0,1.0,13.0,21.0,1.0,16.0,23.0,7.0,8.193318196561789,19.8,9.9,1.1,21.3,47.8
9,204,18455.0,7.38,8.01,2.57,7.91113519371444,26.897859658629102,31.02,16.21,31467.50210614996,39856.0,10511.0,443.13300000000004,110.345,786.318,7.0,0.0,0.0,1.0,1.0,3.0,0.0,7.0,11.0,1.0,14.0,30.0,3.0,10.198070086338245,26.1,18.4,5.2,38.9,11.4
10,205,28788.0,7.47,8.56,2.89,8.673752952619147,25.611365846880645,30.67,16.12,28729.895286433417,37812.0,15619.0,110.51100000000001,114.156,86.785,13.0,2.0,1.0,2.0,2.0,4.0,0.0,11.0,20.0,2.0,14.0,27.0,3.0,10.351389927275198,20.8,24.8,3.0,14.6,36.5
11,301,29703.0,3.96,2.54,0.86,9.685890314109683,43.423223243443424,25.65,13.89,33390.223770640536,36161.0,21704.0,612.573,197.192,244.56900000000002,13.0,2.0,0.0,1.0,1.0,2.0,0.0,13.0,9.0,3.0,48.0,111.0,19.0,8.446908055329535,6.2,12.3,2.7,27.1,51.7
12,302,12043.0,3.02,1.38,0.58,11.027152702814913,46.95673835423067,24.41,12.62,29262.609105718937,31307.0,9628.0,24.74,99.889,39.933,3.0,1.0,0.0,0.0,0.0,1.0,1.0,12.0,4.0,1.0,10.0,51.0,11.0,8.779569259738732,6.3,20.9,1.1,18.1,53.4
13,303,16731.0,6.66,4.71,1.16,9.676648138186598,39.29233160002391,26.94,11.55,31774.260745955464,37294.0,10563.0,324.393,146.92,563.594,5.0,1.0,0.0,1.0,0.0,1.0,1.0,10.0,7.0,2.0,13.0,48.0,4.0,7.6123595505617985,8.2,13.7,2.3,57.1,18.8
14,304,9609.0,6.25,5.25,2.0,9.418253720470393,32.417525236757214,25.41,19.25,28550.987766850565,38801.0,5522.0,725.311,238.19400000000002,39.031,8.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,11.0,1.0,11.0,26.0,3.0,9.795081967213116,3.9,4.2,13.1,44.2,34.5
15,305,25448.0,8.01,8.49,2.19,8.550770198050929,28.76846903489469,28.57,15.42,32587.759630780823,39772.0,14086.0,129.249,282.83,199.637,18.0,1.0,0.0,2.0,0.0,3.0,0.0,17.0,18.0,2.0,17.0,29.0,7.0,7.392651615759187,11.8,9.7,5.2,25.4,47.8
16,401,9030.0,7.1,8.43,2.12,5.780730897009968,22.447397563676628,31.92,22.21,29722.750516528926,32669.0,5548.0,59.315,70.217,59.522,4.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,9.0,1.0,4.0,8.0,1.0,11.46654651948637,19.5,6.6,5.3,42.0,26.6
17,402,6987.0,7.74,12.12,4.14,4.9663661084871915,13.553742664949192,35.71,21.77,49320.385328981276,82960.0,3128.0,18.047,30.778000000000002,0.836,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0,5.0,0.0,4.304245283018868,11.3,17.4,6.0,16.3,48.8
18,403,8668.0,9.11,13.82,4.12,4.464697738809414,14.420858329487775,36.31,17.75,47027.931851418536,82632.0,3525.0,6.34,29.932,1.6909999999999998,7.0,0.0,0.0,1.0,1.0,2.0,0.0,4.0,10.0,0.0,5.0,3.0,0.0,4.496487119437939,7.9,14.9,9.1,13.3,54.7
19,404,14522.0,7.8,9.59,2.58,6.163062938989119,24.397465913785982,30.37,19.1,35017.403207608,43626.0,7935.0,121.17399999999999,78.075,38.095,9.0,1.0,0.0,1.0,1.0,1.0,0.0,8.0,8.0,2.0,6.0,14.0,0.0,7.703604806408544,37.1,13.5,3.5,12.4,33.3
20,405,3671.0,8.2,13.38,4.9,4.358485426314355,14.76436938163988,37.05,17.35,43479.161814488834,77701.0,1594.0,7.053,20.88,26.39,2.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,6.0,0.0,3.0,5.0,0.0,5.837424986361157,33.0,10.4,5.4,12.8,38.1
21,501,25092.0,9.13,9.93,2.45,8.086242627132153,27.387215048621073,28.91,14.1,28639.37775389576,37629.0,13609.0,66.684,238.769,108.821,18.0,2.0,0.0,1.0,1.0,3.0,0.0,13.0,11.0,2.0,12.0,22.0,3.0,9.556574923547403,9.5,13.2,2.9,19.9,54.3
