manufacture_jobs,retail_jobs,transport_jobs,business_jobs,public_jobs
4.2,19.9,5.4,37.5,33.1
6.9,14.3,4.2,41.2,33.2
7.1,16.1,2.1,46.5,28.0
0.8,9.5,0.8,15.7,73.0
7.3,22.1,2.9,47.9,19.7
10.2,5.9,3.1,17.1,63.7
4.4,25.3,1.6,31.6,36.9
19.8,9.9,1.1,21.3,47.8
26.1,18.4,5.2,38.9,11.4
20.8,24.8,3.0,14.6,36.5
6.2,12.3,2.7,27.1,51.7
6.3,20.9,1.1,18.1,53.4
8.2,13.7,2.3,57.1,18.8
3.9,4.2,13.1,44.2,34.5
11.8,9.7,5.2,25.4,47.8
19.5,6.6,5.3,42.0,26.6
11.3,17.4,6.0,16.3,48.8
7.9,14.9,9.1,13.3,54.7
37.1,13.5,3.5,12.4,33.3
33.0,10.4,5.4,12.8,38.1
9.5,13.2,2.9,19.9,54.3
16.9,19.3,9.9,29.1,24.7
14.6,19.3,3.7,20.6,41.4
25.9,26.3,5.8,16.3,25.7
36.5,20.7,14.8,8.9,19.1
6.1,20.2,9.5,9.6,54.4
1.2,14.1,2.6,45.9,36.2
22.2,28.2,3.2,21.5,24.9
5.9,11.4,3.6,15.1,63.8
10.5,34.0,12.2,17.7,25.6
4.8,12.5,4.2,4.9,73.6
13.4,21.6,8.2,8.7,47.9
20.4,13.1,25.6,7.4,33.4
14.9,17.5,7.1,16.0,44.1
