Feature,Importance
base_to_comp_distance,0.09799352512459558
base_voted_KOK,0.002326617120374852
base_voted_VIHR,0.0023183218902911307
base_voted_RKP,0.0022419465910579195
base_voted_VASL,0.0021100591485322395
base_voted_SDP,0.0019823754891795664
base_voted_other,0.001841299095951543
base_primary_school_pupils,0.0017638489595837026
comp_retail_jobs,0.001751404339111362
comp_floorarea_housing_house,0.001701677794744283
comp_manufacture_jobs,0.0016908737720131573
comp_homes,0.0016589032903355783
comp_high_schools,0.0016413443541706263
base_voted_PS,0.0016260496930283752
comp_employment_km2,0.0015557268756365428
comp_transport_jobs,0.0015471429870262954
comp_floorarea_ha,0.0015393905510148187
comp_business_bldgs,0.0014910028826978783
comp_unemployment,0.001475009361381563
comp_people_on_social_assistance,0.0014614975185460732
comp_special_school_pupils,0.0014592891645859307
comp_median_fam_income,0.0014445178188075003
comp_avg_pers_income,0.001441283613201727
comp_ages_65,0.0014378486669759383
comp_public_bldgs,0.0014302389034465124
comp_industrial_bldgs,0.0014266941700095126
comp_business_jobs,0.0014059353792027496
comp_public_jobs,0.0013854205016021748
comp_ages_7_15,0.0012178528440394132
comp_ages_0_6,0.0011422215858619689
comp_special_schools,0.0011322922858310047
comp_floorarea_housing_condo,0.0011032942747347674
base_daycares,0.0010927255530703839
comp_ages_25_39,0.001045130420276097
comp_ages_40_64,0.001034133208969834
comp_floorarea_business,0.001006317070589291
comp_alkos,0.0009527368414625759
comp_pop_km2,0.0009248985755990757
comp_floorarea_public,0.0008975821685820451
base_ages_25_39,0.0008792704010058827
base_primary_schools,0.0008697911145278958
comp_ages_16_18,0.0008409238981701428
comp_ages_19_24,0.0008273045982944982
comp_total_pop,0.0008124677443767103
base_middle_school_pupils,0.0008072562569116926
comp_floorarea_industrial,0.0007999353204997117
base_middle_schools,0.0007717968261398145
base_floorarea_housing_condo,0.0007043964346684639
base_unemployment,0.0006634035309799335
base_floorarea_business,0.0006559491907111026
base_floorarea_public,0.0006419236625158087
base_swim_beaches,0.0006345910894715034
base_floorarea_other,0.0006296915177583795
base_floorarea_housing_house,0.0006225876115422135
base_floorarea_industrial,0.000599904373329796
base_homes,0.0005867909848500386
base_business_bldgs,0.0005702393077021695
base_public_bldgs,0.0005518348669961703
base_floorarea_ha,0.0005410400681299388
base_manufacture_jobs,0.0005392105437965755
comp_swim_beaches,0.0005357372527446946
base_people_on_social_assistance,0.0005055824908493101
base_avg_pers_income,0.0004284779937789862
base_industrial_bldgs,0.000412037189579717
base_median_fam_income,0.00041036031556795916
base_cafes_bars,0.00040517115426297323
base_public_jobs,0.0003802465070631422
base_retail_jobs,0.00034598197852941937
comp_libraries,0.00034273098189407936
base_ages_65,0.0003193839764850104
base_ages_40_64,0.00031537434315076496
comp_high_school_students,0.0002756672411940997
comp_swimming_halls,0.0002677551833444314
base_apothecaries,0.00025152335767697487
base_ages_19_24,0.00021976568087223036
base_transport_jobs,0.00018525164862015497
base_business_jobs,0.00016576024146874868
base_sports_halls,0.00016506992723841485
comp_rides_out_sun_evening,9.71739357178425e-05
comp_rides_out_sun_day,9.71739357178425e-05
comp_primary_schools,9.322560256197487e-05
base_employment_km2,8.935908655094416e-05
comp_rides_out_fri_evening,5.281098134923834e-05
comp_rides_out_fri_night,5.281098134923834e-05
comp_rides_out_fri_day,5.148681331346161e-05
comp_rides_out_fri_morning,4.746666919830389e-05
base_alkos,4.188964082463276e-05
comp_rides_out_thu_night,3.639043167913414e-05
comp_rides_out_thu_morning,1.2585043614232738e-05
comp_rides_out_thu_day,1.2294821396308109e-05
comp_rides_out_thu_evening,1.2294821396308109e-05
comp_rides_within_sun_evening,7.985965847612242e-06
comp_rides_within_sun_morning,6.403094410911692e-06
base_ages_16_18,-7.974416957878816e-07
