Feature,Importance
base_to_comp_distance,0.046625389178946985
comp_rides_within_sat_evening,0.0017377936589949572
comp_rides_within_sat_day,0.0017371086453109585
comp_rides_within_sat_morning,0.0017329447239404772
base_swimming_halls,0.0017075351468617272
comp_rides_within_sat_night,0.0016582948471510761
comp_rides_within_fri_evening,0.0015267452837463003
comp_rides_within_fri_day,0.0015219173647751383
comp_rides_within_fri_morning,0.001493115488231389
comp_rides_within_fri_night,0.0014880215380768114
base_libraries,0.0008835156100093222
comp_rides_within_thu_night,0.0008723385548295992
base_cafes_bars,0.000796229041374108
comp_rides_within_thu_evening,0.0005875708231698473
comp_rides_within_thu_day,0.0005737731443639094
comp_rides_within_thu_morning,0.0005539854637515162
base_sports_fields,0.000521780389266091
base_employment_km2,0.0003993989810976428
base_business_bldgs,0.0003283297420931808
base_playgrounds,0.00027943506321304046
base_floorarea_ha,0.00019080762637779802
base_retail_jobs,8.806186716459052e-05
base_public_jobs,5.916346038237208e-05
base_sports_halls,5.1435305099656325e-05
comp_rides_within_wed_night,4.710396313323262e-05
base_manufacture_jobs,1.4163903493957797e-05
comp_rides_within_wed_morning,4.860129167894023e-06
comp_rides_within_wed_evening,-7.829688901006548e-06
base_median_fam_income,-2.5754240633446557e-05
base_business_jobs,-5.362442898260156e-05
comp_rides_within_wed_day,-9.019079267058583e-05
comp_swim_beaches,-9.766988935744347e-05
base_unemployment,-0.0001067319165409808
base_industrial_bldgs,-0.000130170475852176
base_homes,-0.0001581837208926018
base_public_bldgs,-0.00019693693512501387
base_daycares,-0.0002831801093219344
base_alkos,-0.0005033905785867265
base_transport_jobs,-0.0005117331825017502
base_avg_pers_income,-0.0005410326351801276
base_ages_40_64,-0.0005652360768977349
base_ages_65,-0.0006599914342175772
base_health_stations,-0.0006696018829980277
base_ages_19_24,-0.0006834779852173956
base_ages_25_39,-0.0006930989777861329
base_floorarea_housing_condo,-0.0007017740169066311
comp_swimming_halls,-0.0007073750028766534
base_floorarea_industrial,-0.0007249383383756136
base_special_schools,-0.0007279927304957301
comp_voted_PS,-0.000746233355351289
comp_rides_within_tue_evening,-0.0007813679233328319
comp_rides_within_sun_morning,-0.000808302617303247
comp_rides_within_tue_night,-0.0008117219856222935
base_floorarea_business,-0.000815508286815203
base_floorarea_public,-0.0008206036913964709
comp_rides_within_tue_morning,-0.0008212576559504248
base_floorarea_other,-0.0008225631438546488
base_primary_schools,-0.0008674533773354032
base_primary_school_pupils,-0.0008891754197329904
comp_rides_within_tue_day,-0.0008933539822775227
comp_rides_within_mon_evening,-0.0009022430376763868
comp_sports_halls,-0.0009329641933225608
comp_rides_within_mon_day,-0.0009833438910338277
base_pop_km2,-0.0010033730485632386
comp_voted_other,-0.00103152094548975
base_ages_16_18,-0.0010407768417037833
base_apothecaries,-0.0010449393522158346
comp_rides_within_sun_day,-0.0010453088275960143
comp_rides_within_sun_evening,-0.0010493547347159016
comp_voted_SDP,-0.0010544112734696132
comp_playgrounds,-0.0010632022408872954
comp_rides_within_mon_morning,-0.0010727384848441268
base_ages_7_15,-0.0010787614058488382
comp_rides_within_sun_night,-0.0010848552958775404
base_total_pop,-0.0011146049432717575
comp_rides_out_fri_night,-0.0011315235286873948
comp_rides_out_sat_day,-0.0011336755783796226
comp_rides_out_sat_night,-0.0011336755783796226
comp_rides_out_sat_evening,-0.0011336755783796226
comp_rides_out_sat_morning,-0.0011336755783796226
comp_rides_out_fri_day,-0.0011358095416832414
comp_rides_out_fri_evening,-0.0011362701734872749
comp_rides_out_fri_morning,-0.0011413637358697049
base_special_school_pupils,-0.0011721142454138578
base_people_on_social_assistance,-0.001211860894579142
comp_rides_within_mon_night,-0.001213201719354351
comp_grocery_shops,-0.001229673438381762
comp_cafes_bars,-0.0012420418273396683
comp_parks_ha,-0.0012451587216142368
base_floorarea_housing_house,-0.0012491909338554485
comp_other_retail,-0.001263522794020533
comp_restaurants,-0.0012636277197494161
comp_libraries,-0.0012655749833074825
comp_forest_ha,-0.0012781308300481298
comp_voted_KOK,-0.001300878702707453
comp_voted_VIHR,-0.0013095879305349278
comp_voted_RKP,-0.0013264315812702154
comp_voted_VASL,-0.0013264315812702154
comp_health_stations,-0.0013469140101588506
comp_rides_in_sun_night,-0.0013771385036412953
comp_rides_in_sun_evening,-0.0013771385036412953
comp_rides_in_fri_night,-0.0013935397517658155
comp_rides_in_mon_morning,-0.0013937900584167773
comp_sports_fields,-0.0013961075555444236
comp_rides_in_sat_night,-0.0013970229814425084
comp_rides_out_sun_morning,-0.0013970229814425084
comp_rides_in_sat_day,-0.001397133828453967
comp_rides_in_sat_evening,-0.001397133828453967
comp_rides_in_sat_morning,-0.001397133828453967
comp_rides_in_mon_evening,-0.00140210097149851
comp_rides_in_mon_night,-0.00140210097149851
comp_rides_in_tue_morning,-0.00140210097149851
comp_rides_in_mon_day,-0.00140210097149851
comp_rides_in_tue_day,-0.0014033170930299876
comp_rides_out_thu_night,-0.001403663383567899
comp_rides_out_mon_evening,-0.0014071652575344817
comp_rides_out_mon_morning,-0.0014071652575344817
comp_rides_out_mon_day,-0.0014071652575344817
base_middle_school_pupils,-0.0014075209987514103
comp_rides_out_tue_morning,-0.0014076915928752376
comp_rides_out_mon_night,-0.0014076915928752376
comp_rides_out_tue_night,-0.001408209201654076
comp_rides_out_wed_day,-0.001408209201654076
comp_rides_out_wed_morning,-0.001408209201654076
comp_rides_in_fri_evening,-0.0014088684207512747
comp_rides_out_tue_day,-0.0014092204923211726
comp_rides_out_sun_evening,-0.0014098578936533324
comp_rides_out_sun_day,-0.0014098578936533324
comp_rides_out_sun_night,-0.0014101966545460032
comp_rides_out_thu_evening,-0.0014113410936454907
comp_rides_out_wed_evening,-0.0014118844441123324
comp_rides_out_wed_night,-0.0014118844441123324
comp_rides_out_thu_morning,-0.0014118844441123324
comp_rides_out_thu_day,-0.0014122842772817945
comp_rides_out_tue_evening,-0.0014125290716170413
comp_rides_in_fri_day,-0.0014194635798723265
base_parks_ha,-0.0014378843149458476
base_forest_ha,-0.0014822612810421187
comp_bike_stations,-0.0014968113292543883
base_post_offices,-0.0015104764863860254
comp_rides_in_tue_evening,-0.0015794214123100447
comp_rides_in_tue_night,-0.0015831238848665885
comp_rides_in_sun_day,-0.0016100217978479714
comp_rides_in_thu_morning,-0.0016110247610007233
comp_rides_in_fri_morning,-0.001611341152667034
comp_rides_in_thu_day,-0.0016115462153347693
comp_rides_in_thu_night,-0.0016115462153347693
