Feature,Importance
base_to_comp_distance,0.0996619696930875
base_voted_VIHR,0.0016352089009845638
base_voted_KOK,0.0016254823370962512
base_voted_SDP,0.0015883137176639917
base_voted_VASL,0.0015867020334524584
base_voted_RKP,0.0015840956378102566
comp_primary_school_pupils,0.0014328612685122755
comp_primary_schools,0.0014193027017118665
comp_middle_school_pupils,0.001317044526275235
base_voted_other,0.001298974562247479
base_cafes_bars,0.0011312999183660244
comp_floorarea_industrial,0.0010666493639243102
comp_floorarea_public,0.0010666493639243102
comp_floorarea_housing_house,0.001020425082841614
comp_floorarea_housing_condo,0.0010089400936849069
base_special_schools,0.0009617587647935411
comp_churches,0.0009070735470821933
comp_ages_25_39,0.0008219329858863977
comp_floorarea_other,0.000817429020832261
comp_ages_65,0.0008132696350082735
comp_avg_pers_income,0.0007979326242472107
comp_ages_40_64,0.0007654919366144597
comp_floorarea_business,0.00076500045710437
comp_median_fam_income,0.0007499994680583155
comp_people_on_social_assistance,0.0007202431892232575
comp_daycares,0.0007104157438222458
comp_transport_jobs,0.000702958499178008
comp_unemployment,0.0006368122253741504
comp_high_school_students,0.000632800618973306
comp_total_pop,0.0006292105272807103
comp_manufacture_jobs,0.0006273186857832513
base_employment_km2,0.000617301187071928
comp_public_jobs,0.0006097130210264146
comp_retail_jobs,0.0006042969712636292
comp_business_jobs,0.0005997024929468298
base_daycares,0.0005863779526201762
base_special_school_pupils,0.0005685938305172167
comp_ages_0_6,0.0005632011322972419
comp_ages_16_18,0.0005537990772810364
base_voted_PS,0.0005516317122749026
comp_ages_7_15,0.0005428163076307557
comp_industrial_bldgs,0.0005232758374450475
comp_floorarea_ha,0.0004953660556816786
comp_pop_km2,0.0004459315992439983
comp_ages_19_24,0.00037389497236883784
comp_middle_schools,0.0003451860300219822
base_homes,0.0003203500705094564
base_grocery_shops,0.00024840260799363634
base_forest_ha,0.00023936180901873438
comp_homes,0.00020286070564778935
comp_employment_km2,0.00020185248334625427
base_parks_ha,0.00019140171062403954
comp_public_bldgs,0.0001830388552057638
base_restaurants,0.00016623697071949106
comp_business_bldgs,0.00016383425257993078
comp_high_schools,6.519633789359158e-05
base_swim_beaches,2.8672490658077088e-05
base_floorarea_public,-2.698638625897587e-06
base_industrial_bldgs,-8.712824772760808e-05
base_business_bldgs,-0.00010660772269410757
comp_rides_within_sun_evening,-0.00011794043983182068
comp_rides_within_fri_morning,-0.00013186522288599622
base_floorarea_housing_condo,-0.00013451403903397274
base_alkos,-0.00013955646391616838
base_floorarea_ha,-0.00015378231148133192
base_public_bldgs,-0.00016576335530593678
comp_rides_within_tue_evening,-0.000169691511886505
base_floorarea_housing_house,-0.00020472111495628553
comp_rides_within_fri_day,-0.00029151839533425594
base_public_jobs,-0.00029170751880347456
base_business_jobs,-0.0002964298891593442
base_retail_jobs,-0.00031700421208813445
comp_rides_within_fri_evening,-0.0003317437112031474
base_other_retail,-0.00034206938872349824
comp_voted_SDP,-0.0003442229064385405
comp_voted_VASL,-0.0003487204970716862
comp_voted_RKP,-0.00037044331873203884
base_post_offices,-0.00037998631310975917
comp_voted_KOK,-0.0003904729609622848
comp_rides_within_thu_evening,-0.0004082690340510009
comp_voted_VIHR,-0.0004354201875049757
comp_rides_within_thu_morning,-0.00047085713525885087
base_floorarea_business,-0.0004859667393890543
comp_rides_within_wed_evening,-0.0005094967608554324
comp_rides_within_mon_evening,-0.0005125929689395736
comp_rides_within_fri_night,-0.0005210841772955721
comp_rides_within_thu_day,-0.0005254205463216532
comp_voted_PS,-0.0005353561509470195
comp_rides_within_thu_night,-0.0005476086983633444
comp_rides_within_sat_morning,-0.0005510265466115438
base_apothecaries,-0.0005721055222118743
comp_rides_within_mon_night,-0.000576717713198005
comp_rides_within_tue_night,-0.0005862820333409902
comp_rides_within_wed_night,-0.0005971349646637369
comp_rides_within_tue_day,-0.0006002439163725892
comp_rides_within_tue_morning,-0.0006122860208473968
base_floorarea_industrial,-0.0006148930615956782
comp_swim_beaches,-0.0006398710369056593
comp_rides_within_wed_morning,-0.0006489860247890222
comp_rides_within_wed_day,-0.000660740063959997
comp_rides_within_mon_day,-0.0006619247023982311
comp_rides_within_sun_night,-0.0006761079518924351
comp_playgrounds,-0.0006806106374624976
comp_rides_within_mon_morning,-0.0007137632616674994
base_floorarea_other,-0.000725819821228435
comp_voted_other,-0.0007360820577356764
comp_rides_within_sat_day,-0.0007495765824719891
comp_rides_within_sat_night,-0.0007650860280211669
comp_sports_fields,-0.0007998276669737292
comp_forest_ha,-0.000830249251163373
base_churches,-0.0008939733064586841
comp_sports_halls,-0.0009587761529937788
comp_parks_ha,-0.0009622310522434674
comp_rides_within_sat_evening,-0.0009716103699731748
base_playgrounds,-0.0009765992405355028
comp_rides_in_fri_day,-0.000983039004239461
comp_rides_in_fri_evening,-0.000983039004239461
comp_rides_in_fri_night,-0.000983039004239461
comp_rides_in_fri_morning,-0.00098813332554204
comp_rides_in_thu_night,-0.00098813332554204
comp_rides_in_thu_evening,-0.00098813332554204
comp_rides_in_thu_morning,-0.0009987170856119443
comp_rides_in_thu_day,-0.0010042224532005317
comp_rides_in_wed_night,-0.001017696581646188
comp_rides_in_sat_morning,-0.0010178787354293561
base_median_fam_income,-0.0010311347511825497
comp_rides_in_wed_evening,-0.0010336754703770268
comp_special_school_pupils,-0.0010397871316877305
comp_rides_within_sun_day,-0.0010679233711946567
base_avg_pers_income,-0.0010745796316032896
comp_special_schools,-0.0010969393806220529
base_ages_65,-0.0010997570075700347
comp_rides_in_tue_evening,-0.0011012778439184467
comp_rides_out_tue_evening,-0.0011154787663913979
comp_rides_out_fri_evening,-0.0011184754000811425
comp_rides_out_fri_night,-0.0011184754000811425
comp_rides_out_mon_day,-0.0011190677122772108
comp_rides_out_mon_evening,-0.0011192368170859224
comp_rides_out_mon_morning,-0.00112045309827713
comp_rides_out_tue_morning,-0.0011218285022133179
comp_rides_out_mon_night,-0.0011218285022133179
comp_rides_out_fri_day,-0.0011228052362455276
comp_rides_out_thu_evening,-0.001122970677204016
comp_rides_out_thu_day,-0.001122970677204016
comp_rides_out_thu_night,-0.001122970677204016
comp_rides_out_thu_morning,-0.001123430228997968
comp_rides_out_fri_morning,-0.0011240241045018529
comp_rides_out_wed_night,-0.0011252754383825891
comp_rides_out_sun_day,-0.0011292014345697376
comp_rides_in_sat_evening,-0.001129842959698979
comp_rides_out_tue_day,-0.0011298472392988756
comp_rides_out_sun_evening,-0.0011308044366226122
comp_rides_in_sat_day,-0.0011324590352764785
comp_rides_out_sat_morning,-0.0011381633839558924
comp_rides_out_wed_day,-0.0011417913648562594
comp_rides_out_tue_night,-0.0011436555517084779
comp_rides_out_wed_morning,-0.0011441909851488408
comp_rides_out_wed_evening,-0.0011465197622638756
base_unemployment,-0.0011488376057563476
base_manufacture_jobs,-0.0011734752149626937
comp_rides_in_sat_night,-0.0011736057764548669
comp_swimming_halls,-0.0011820332464650418
base_ages_25_39,-0.0011876630099307839
base_ages_40_64,-0.0011876630099307839
comp_rides_out_sun_morning,-0.0012380520834132103
comp_post_offices,-0.0012647861983192676
comp_bike_stations,-0.0012745740875020894
comp_rides_within_sun_morning,-0.0013032163685791076
comp_other_retail,-0.0013205968116434263
comp_alkos,-0.0013339516460225687
comp_rides_out_sun_night,-0.0013415902499603893
comp_rides_out_sat_night,-0.0013645353709408337
comp_rides_out_sat_evening,-0.001367745105592344
comp_health_stations,-0.0013717404494393293
comp_rides_out_sat_day,-0.0013846332515090598
base_people_on_social_assistance,-0.0014017523753505623
comp_rides_in_sun_night,-0.001402097018136761
comp_rides_in_sun_evening,-0.001402097018136761
comp_grocery_shops,-0.0014026543701324279
base_middle_schools,-0.001425601440707247
comp_rides_in_wed_day,-0.001427018403180158
comp_apothecaries,-0.001428157135738517
comp_rides_in_tue_night,-0.0014825473225870134
comp_rides_in_wed_morning,-0.001515409727846917
comp_rides_in_tue_morning,-0.0015164152653968088
comp_rides_in_tue_day,-0.0015238144287286204
base_swimming_halls,-0.0015291893347079144
comp_restaurants,-0.0015306778297030643
base_libraries,-0.0015629474887037809
comp_cafes_bars,-0.0016298248908428459
base_high_school_students,-0.0016330415515932728
comp_rides_in_mon_morning,-0.0016824231460406125
base_primary_schools,-0.0017030779298657928
comp_rides_in_mon_night,-0.0017617243373716507
comp_rides_in_mon_evening,-0.0017638184390740275
comp_rides_in_mon_day,-0.0017649689953160852
base_total_pop,-0.0018774791891656983
base_primary_school_pupils,-0.0018844710421699329
base_health_stations,-0.0019021174831816978
base_sports_halls,-0.001930282274765549
base_ages_19_24,-0.0019754246119275676
comp_rides_in_sun_day,-0.002150335766319511
base_high_schools,-0.002161156991859481
base_ages_0_6,-0.0022069849046080225
base_sports_fields,-0.0022092059984057943
base_ages_7_15,-0.0022839346395356896
base_ages_16_18,-0.002317938940033182
base_pop_km2,-0.0023977921492297494
comp_rides_in_sun_morning,-0.0024937403685648674
base_transport_jobs,-0.002676775005183152
base_middle_school_pupils,-0.0028417273215014527
comp_libraries,-0.0029235810307907117
