Feature,Importance
base_to_comp_distance,0.03695146671772853
base_high_schools,0.0029578808284148606
base_high_school_students,0.002674017038566401
base_alkos,0.0017907477405675332
base_special_schools,0.001620766162446885
base_special_school_pupils,0.0015674787118449274
base_sports_halls,0.001376579296367031
comp_high_schools,0.001361152019551004
base_middle_school_pupils,0.0012523497435340536
comp_high_school_students,0.0011693036693578573
base_health_stations,0.0011646712784142421
comp_retail_jobs,0.00102063051970247
comp_transport_jobs,0.0010095537186027848
comp_manufacture_jobs,0.0010066817483781465
comp_avg_pers_income,0.00094409683416663
comp_middle_school_pupils,0.0009397965653522578
comp_median_fam_income,0.0009352702355903686
comp_business_jobs,0.0008410802394177574
comp_ages_40_64,0.0008080705565415292
comp_ages_25_39,0.0008080705565415292
comp_ages_19_24,0.0008066121247970459
comp_unemployment,0.0007914814068988862
comp_people_on_social_assistance,0.0007712076351775732
base_floorarea_ha,0.000741978527534215
base_industrial_bldgs,0.0006665864149636436
base_primary_schools,0.0006625902833446995
comp_primary_school_pupils,0.0006439395885949883
base_swimming_halls,0.0006160648254748269
base_floorarea_business,0.0006123324526364771
base_playgrounds,0.0006010289046436412
comp_ages_65,0.0005750875894993124
comp_libraries,0.0004686533991663522
base_public_bldgs,0.0004562745564944404
comp_special_school_pupils,0.00041355869589998484
comp_special_schools,0.00040309786090653166
comp_industrial_bldgs,0.0003958799069671004
comp_public_bldgs,0.000344624194961507
base_post_offices,0.0003157449540339696
comp_employment_km2,0.0002660801440608207
base_churches,0.00023392780171160865
base_floorarea_housing_house,0.00023321081099680896
base_floorarea_public,0.00018953191657711255
base_floorarea_industrial,0.00017439402775210056
comp_ages_7_15,0.00016158367170360233
comp_ages_16_18,0.00014609810060961514
base_floorarea_housing_condo,0.00011989035795134662
comp_floorarea_other,0.00011717101612218617
base_libraries,9.786477325690601e-05
comp_business_bldgs,9.678842112326169e-05
comp_floorarea_ha,8.409931276598392e-05
comp_ages_0_6,7.28047243515606e-05
base_business_bldgs,6.778953369923624e-05
comp_floorarea_public,9.357786649677458e-06
comp_floorarea_business,9.30429536960542e-06
comp_floorarea_industrial,6.819765682397616e-06
comp_floorarea_housing_condo,6.1768663677241875e-06
base_floorarea_other,2.02485634293037e-06
comp_floorarea_housing_house,-2.4351439222858318e-06
base_cafes_bars,-5.0807091433013873e-05
base_public_jobs,-8.180836642079914e-05
base_middle_schools,-9.364712673465281e-05
base_forest_ha,-0.0001014121009065283
base_pop_km2,-0.00013000496123338756
base_swim_beaches,-0.00016217645754412757
base_employment_km2,-0.0002880330094336969
base_total_pop,-0.00029971703543407724
base_homes,-0.0003128493327965165
base_transport_jobs,-0.00031776549732687176
base_retail_jobs,-0.0003369236132025888
base_manufacture_jobs,-0.00036027945569316877
comp_public_jobs,-0.00038429263833894556
comp_homes,-0.0003925360036250991
comp_churches,-0.00045359387939492013
base_unemployment,-0.00048583964970749793
comp_total_pop,-0.0005029279550184951
base_business_jobs,-0.0005340002768892127
base_ages_19_24,-0.0005549730472487191
base_daycares,-0.0005559860324482191
base_median_fam_income,-0.0005670780832054412
base_ages_7_15,-0.0006159624917611017
base_apothecaries,-0.0007407878454126493
base_sports_fields,-0.0008544141413997508
base_restaurants,-0.000874020445011614
base_ages_0_6,-0.0008752937470175581
base_avg_pers_income,-0.0009063885939134542
comp_pop_km2,-0.0009142626061712233
comp_rides_within_wed_morning,-0.0009236177413837199
base_people_on_social_assistance,-0.0009563157200515038
comp_parks_ha,-0.0009569736820563834
comp_cafes_bars,-0.0009635393970781614
comp_middle_schools,-0.0009864389439807608
base_voted_SDP,-0.0009937426147208495
comp_daycares,-0.0009982551706492204
comp_rides_within_tue_evening,-0.000998274645477748
comp_rides_within_tue_day,-0.001015722816846365
comp_rides_within_tue_night,-0.0010368185221795168
comp_restaurants,-0.0010441884465511864
base_ages_16_18,-0.0010714855858424688
comp_grocery_shops,-0.0011142880941930056
comp_rides_within_thu_morning,-0.001121141731248665
comp_other_retail,-0.0011220485663829827
comp_rides_within_wed_night,-0.0011294531966373755
base_parks_ha,-0.0011313112422872695
comp_rides_within_thu_day,-0.0011622390533488902
comp_rides_within_mon_morning,-0.0011624110201799986
comp_rides_within_sat_day,-0.0011724148561996772
comp_rides_within_sat_evening,-0.001178009067800856
comp_health_stations,-0.0011795389969806447
comp_rides_within_wed_day,-0.0011915532561836972
comp_rides_within_wed_evening,-0.0011915532561836972
comp_rides_within_sat_morning,-0.0012110078839089322
base_ages_65,-0.0012298638505483517
comp_forest_ha,-0.0012339462220860575
comp_rides_within_tue_morning,-0.0012577611622085483
base_ages_40_64,-0.0012652945330788867
comp_rides_within_fri_night,-0.001273637921160642
comp_rides_within_fri_evening,-0.0012856611833873544
base_voted_RKP,-0.001287264664083465
comp_rides_within_fri_morning,-0.0012927566231210053
comp_rides_within_fri_day,-0.001296966305356917
base_voted_other,-0.0013320418825404357
comp_rides_within_sat_night,-0.0013618806664322802
base_primary_school_pupils,-0.0013856869446194908
comp_rides_within_mon_evening,-0.0014054975605215514
comp_swimming_halls,-0.0014183768907484184
comp_rides_within_thu_evening,-0.0014287061159830028
base_voted_VIHR,-0.001433276529830163
base_grocery_shops,-0.0014340676583827205
base_other_retail,-0.0014353318203964571
base_voted_KOK,-0.0014543368425871117
base_ages_25_39,-0.0014666174231007245
comp_rides_within_sun_morning,-0.0014724471736442535
comp_rides_within_mon_day,-0.0014728870714879605
base_voted_PS,-0.001479698750242009
comp_rides_within_thu_night,-0.0015147013431685563
comp_rides_within_mon_night,-0.0015317373876442275
comp_sports_halls,-0.0015423200853800223
comp_sports_fields,-0.0015438328943937485
comp_rides_within_sun_day,-0.0015787975223321427
comp_rides_within_sun_evening,-0.0015933032534891645
comp_rides_within_sun_night,-0.0016195511143153318
comp_rides_out_sat_morning,-0.0016618336609466322
