Feature,Importance
base_to_comp_distance,0.07794988165276928
base_ages_0_6,0.0011211388250892407
comp_swimming_halls,0.000842806174406352
base_pop_km2,0.0007612228237133811
base_voted_other,0.0007476715746858043
base_cafes_bars,0.0007251621670698594
base_forest_ha,0.000667483223370291
base_voted_VASL,0.0006619582257962886
base_voted_KOK,0.0006394365354447373
base_churches,0.0006336109387629074
base_public_jobs,0.0005208321097376345
base_parks_ha,0.0005194262296995822
base_total_pop,0.0005036934459247133
base_voted_SDP,0.00045752769370099866
base_median_fam_income,0.00045303220727721527
comp_floorarea_industrial,0.0004068746463158357
comp_ages_7_15,0.0003895466164154371
comp_ages_16_18,0.0003852987834049859
comp_floorarea_business,0.00038114254171184303
base_homes,0.00037013044096367853
comp_floorarea_public,0.00036083787934992895
base_business_jobs,0.0003389251220426992
base_swimming_halls,0.0003220535415371373
comp_ages_0_6,0.0003161282571501056
base_retail_jobs,0.00031261824376460634
base_employment_km2,0.00030812080399011954
base_voted_RKP,0.00030715228971234243
base_voted_VIHR,0.00030551550227908564
base_ages_16_18,0.0002809063699870107
base_restaurants,0.0002785270277549934
comp_pop_km2,0.0002700571373337457
comp_floorarea_housing_condo,0.00026691315576354846
base_unemployment,0.0002646376169678222
base_manufacture_jobs,0.0002553832481965168
base_ages_25_39,0.0002269147045430575
base_ages_65,0.00022276615005900613
base_ages_19_24,0.0002162502956465362
comp_total_pop,0.0002073625145254665
base_business_bldgs,0.00020560408242165096
comp_libraries,0.000201065520852306
base_people_on_social_assistance,0.0001939336432873473
comp_median_fam_income,0.00017477986093505926
comp_people_on_social_assistance,0.0001721405030268297
base_ages_7_15,0.00016032011942834767
comp_unemployment,0.00015454058107100543
base_swim_beaches,0.00014739770485994175
base_public_bldgs,0.00014703718783870556
comp_rides_in_sun_morning,0.0001271634842501257
base_ages_40_64,0.00012622608387435896
base_transport_jobs,0.00011810742620566028
comp_avg_pers_income,0.00010054209875520748
comp_ages_65,9.702310444548168e-05
comp_ages_40_64,8.348023855753173e-05
comp_ages_25_39,8.083166432026889e-05
comp_ages_19_24,6.795825776706454e-05
comp_retail_jobs,6.594062722775629e-05
