Feature,Importance
base_to_comp_distance,0.09314475882338935
base_special_school_pupils,0.001583854390525996
base_special_schools,0.00144473239695031
comp_rides_in_tue_evening,0.001217587436864065
comp_rides_out_sun_night,0.0009530527460164251
comp_rides_within_tue_evening,0.0009132750021487723
comp_rides_in_wed_night,0.0009127649194711207
comp_rides_in_wed_morning,0.0009104967218803717
comp_rides_in_wed_evening,0.0009104967218803717
comp_rides_in_wed_day,0.0009104967218803717
comp_rides_in_thu_night,0.0009101991320099589
comp_rides_in_thu_day,0.0009101991320099589
comp_rides_in_thu_evening,0.0009101991320099589
comp_rides_in_fri_evening,0.0009097388125551831
comp_rides_in_thu_morning,0.0009087177591192708
comp_rides_in_tue_night,0.0009055885001086894
comp_rides_in_fri_day,0.0009055762942773438
comp_rides_in_fri_morning,0.0009020729316611131
comp_rides_in_fri_night,0.000861440910705058
comp_rides_in_sat_night,0.000858817679741608
comp_rides_out_sun_day,0.0008573934021027796
comp_rides_out_sun_evening,0.0008573934021027796
comp_rides_in_sat_day,0.0008573237829309077
comp_rides_in_sat_evening,0.0008573237829309077
comp_rides_out_mon_morning,0.0008569427802300744
comp_rides_out_sun_morning,0.0008566471867773595
comp_rides_in_sat_morning,0.0008545757549910382
comp_rides_out_mon_evening,0.0008523140540620533
comp_rides_out_mon_day,0.0008493976737111719
comp_rides_out_tue_morning,0.0008467170503491106
comp_rides_out_tue_evening,0.0008467170503491106
comp_rides_out_tue_day,0.0008467170503491106
comp_rides_out_wed_day,0.0008452710412728548
comp_rides_out_wed_morning,0.0008452710412728548
comp_rides_out_tue_night,0.0008452710412728548
comp_rides_out_mon_night,0.0008452440943930162
comp_rides_out_wed_evening,0.0008354616339596443
comp_middle_schools,0.0008325147926763199
comp_rides_within_tue_day,0.0008319059825110386
comp_rides_within_tue_morning,0.0008165478969923701
comp_rides_in_sun_evening,0.0008071089457725167
comp_rides_in_tue_morning,0.000806986411434063
comp_rides_in_tue_day,0.000806986411434063
comp_rides_in_sun_night,0.0008040674786110591
comp_rides_in_mon_evening,0.0008029593427191228
comp_rides_in_mon_day,0.0008029593427191228
comp_rides_in_mon_night,0.0008029593427191228
comp_rides_in_mon_morning,0.0008029593427191228
comp_rides_within_sun_day,0.0007772236877963135
comp_rides_within_mon_evening,0.000754635891863531
comp_rides_within_sun_morning,0.0007235324190600911
comp_rides_within_mon_night,0.0007032694447201004
comp_high_schools,0.0006956663868633584
comp_rides_out_sat_day,0.0006953928698035794
comp_rides_out_sat_evening,0.0006953928698035794
comp_rides_out_sat_night,0.0006953928698035794
comp_rides_out_sat_morning,0.0006943222727682219
comp_rides_out_fri_evening,0.0006841026355068891
comp_rides_out_fri_night,0.0006841026355068891
comp_rides_out_wed_night,0.0006807472781060753
comp_rides_out_thu_day,0.0006770065993869645
comp_rides_out_thu_evening,0.0006770065993869645
comp_rides_out_thu_morning,0.0006766588600963797
comp_rides_out_fri_morning,0.0006620076751537862
comp_rides_out_fri_day,0.0006616889116922708
comp_rides_out_thu_night,0.0006535809329816233
comp_rides_within_tue_night,0.0006346501567974228
comp_voted_PS,0.0006248039037874964
comp_rides_within_mon_day,0.0005968539786229687
comp_rides_within_wed_evening,0.0005746622129879642
comp_rides_within_wed_morning,0.0005542411474039888
comp_rides_within_wed_day,0.000538802524236992
comp_rides_within_sun_evening,0.0005330706944701724
comp_rides_within_sun_night,0.0004725974498434038
comp_rides_within_mon_morning,0.000426791580453445
base_voted_VASL,0.00042480161156277507
base_grocery_shops,0.00041930043202187406
comp_middle_school_pupils,0.00036623494397836076
comp_high_school_students,0.0002879898972030226
comp_voted_VASL,0.00023758415995145388
comp_voted_KOK,0.00023396158298882863
comp_voted_VIHR,0.00022799273408080634
comp_voted_SDP,0.0002142057256624419
comp_bike_stations,0.0002016721300819313
base_manufacture_jobs,0.00017165203562197195
comp_voted_RKP,0.00014874430699496344
comp_sports_fields,0.00013885948194358733
comp_voted_other,0.00012268362915224262
base_unemployment,0.0001114750366257855
comp_rides_within_sat_day,0.00010593795535918105
comp_rides_within_sat_morning,9.718136495329155e-05
comp_rides_within_thu_evening,9.251623374650908e-05
comp_rides_in_sun_morning,8.83904284636472e-05
comp_rides_within_fri_night,8.825697610770344e-05
comp_rides_within_fri_day,7.87727139268668e-05
comp_rides_within_fri_evening,7.430667645791367e-05
comp_rides_within_thu_day,7.179723562933393e-05
comp_rides_in_sun_day,6.132837897754317e-05
comp_rides_within_sat_night,5.9782632138127845e-05
comp_rides_within_fri_morning,5.329077556215367e-05
comp_rides_within_wed_night,2.361606936207572e-05
comp_rides_within_thu_night,1.5328864780617124e-05
comp_parks_ha,1.479742838772502e-05
comp_forest_ha,6.286155539769744e-06
comp_rides_within_sat_evening,-4.1783659587846245e-06
comp_sports_halls,-2.6150466369334602e-05
base_ages_65,-2.9304537680907572e-05
base_voted_PS,-3.0243818593178595e-05
comp_rides_within_thu_morning,-3.314620435468374e-05
comp_alkos,-4.0549398405143044e-05
base_public_jobs,-4.614592854124133e-05
base_ages_40_64,-5.6781402655747826e-05
base_ages_25_39,-6.835182426612185e-05
base_voted_KOK,-7.709532633115579e-05
base_retail_jobs,-7.994552560930401e-05
base_voted_SDP,-9.673367835905111e-05
comp_churches,-0.00010758414574274511
comp_primary_school_pupils,-0.00010879875736613531
base_voted_RKP,-0.00011924566989673924
base_cafes_bars,-0.00012155203587571606
base_voted_VIHR,-0.00013125453310858237
base_voted_other,-0.0001322976759678962
base_people_on_social_assistance,-0.0001361993609348966
base_median_fam_income,-0.0001487296319906406
base_business_jobs,-0.0001737456098507284
base_transport_jobs,-0.00020571182198780846
comp_special_school_pupils,-0.00022268071111541943
comp_special_schools,-0.0002342313252605699
base_ages_7_15,-0.0002501746220007206
base_libraries,-0.00028002796600867796
comp_floorarea_ha,-0.000311577114998296
comp_daycares,-0.0003173387753143686
base_floorarea_industrial,-0.00032608966995284483
base_avg_pers_income,-0.0003311844530754504
base_restaurants,-0.00033519810827975505
comp_primary_schools,-0.0003352261117154365
base_other_retail,-0.00033743078161241336
comp_floorarea_other,-0.00034444782305720345
base_floorarea_public,-0.0003485209815791146
base_floorarea_ha,-0.0003549066778388843
comp_grocery_shops,-0.00037304410514937825
comp_floorarea_public,-0.000373508718571669
comp_floorarea_business,-0.0003836207744707387
comp_floorarea_housing_house,-0.00038714481900337105
comp_business_bldgs,-0.00038789846746689616
base_homes,-0.00039028234942573015
comp_floorarea_housing_condo,-0.0003963328504368313
comp_floorarea_industrial,-0.0004026161960144492
base_employment_km2,-0.0004032150640049803
comp_cafes_bars,-0.0004040653209255174
comp_public_bldgs,-0.0004069367928916101
comp_industrial_bldgs,-0.00040906282097930013
base_ages_16_18,-0.000415287561661426
base_ages_19_24,-0.00042185868740052257
base_industrial_bldgs,-0.00042520480889873813
comp_employment_km2,-0.0004293184548767037
comp_business_jobs,-0.0004293184548767037
comp_homes,-0.000430282634591328
base_floorarea_housing_house,-0.0004343042239352002
base_public_bldgs,-0.0004376477084000463
comp_transport_jobs,-0.0004441304033232507
comp_manufacture_jobs,-0.0004441304033232507
comp_retail_jobs,-0.0004465895551769572
base_business_bldgs,-0.00048499858753625613
