Feature,Importance
base_to_comp_distance,0.11528262870063999
base_voted_PS,0.001912727311410567
base_middle_schools,0.0011277456504346084
base_voted_KOK,0.0008750309510412446
base_voted_SDP,0.0008455584054517518
base_voted_other,0.0007244202030229907
base_voted_RKP,0.0006454033093409306
base_voted_VASL,0.0006403324903083707
base_voted_VIHR,0.0006168594100326441
base_alkos,0.0005247281913047797
base_primary_schools,0.00029435792517373827
base_middle_school_pupils,0.0002322839620618744
base_cafes_bars,-4.1556262128095156e-05
base_primary_school_pupils,-8.026370927416426e-05
base_high_school_students,-0.000197329186423012
base_high_schools,-0.00021827698855558797
base_apothecaries,-0.00024311517019115492
base_floorarea_public,-0.00031463056372005305
base_floorarea_business,-0.00042086587503664674
base_floorarea_housing_condo,-0.000425134828519691
base_floorarea_housing_house,-0.0004917094412921763
comp_swim_beaches,-0.0005542869124770533
base_floorarea_ha,-0.0005757083073225644
base_parks_ha,-0.000613247785953952
base_special_school_pupils,-0.0006319168340757075
base_special_schools,-0.0006484756463563945
base_floorarea_industrial,-0.0007478620362327826
comp_total_pop,-0.0007774242087219552
comp_pop_km2,-0.0008514950644444852
comp_floorarea_public,-0.000864290436698556
base_other_retail,-0.0008667892839863134
comp_floorarea_ha,-0.0008726284446827215
comp_industrial_bldgs,-0.0008781574916761903
base_forest_ha,-0.0008799344338850101
comp_ages_16_18,-0.0008842273493511188
comp_ages_7_15,-0.000892933046175326
comp_ages_0_6,-0.0008933800458834629
comp_floorarea_housing_house,-0.000898840440175519
base_daycares,-0.0009097624794486281
base_swim_beaches,-0.0009563217754503528
comp_public_bldgs,-0.000975806782613664
base_industrial_bldgs,-0.0009871707704527388
base_libraries,-0.0010255102523992754
base_post_offices,-0.0010508428653973612
base_grocery_shops,-0.0010535174049848273
comp_business_bldgs,-0.0010720318534372941
comp_homes,-0.001082102630147741
comp_swimming_halls,-0.001126402465638443
comp_ages_25_39,-0.0011363992694497504
comp_ages_19_24,-0.0011539288387149016
base_churches,-0.0011774887034549097
comp_daycares,-0.0011779660631601185
comp_floorarea_industrial,-0.001182138697241819
comp_floorarea_other,-0.001184995726214444
base_swimming_halls,-0.0012149381154066274
base_floorarea_other,-0.0012313809027988398
comp_apothecaries,-0.0012336458555189944
comp_floorarea_housing_condo,-0.0012910507437817742
comp_avg_pers_income,-0.0013265644135134202
comp_ages_65,-0.0013274955240831776
comp_special_schools,-0.001340265028536125
comp_ages_40_64,-0.0013468954341944173
comp_people_on_social_assistance,-0.0013744763971257346
comp_special_school_pupils,-0.001397459543875823
comp_rides_within_tue_evening,-0.0014145285583051503
comp_high_schools,-0.0014332002112229514
comp_median_fam_income,-0.0014463945889741092
comp_restaurants,-0.0015219676606179622
comp_rides_in_tue_evening,-0.0015466823443220923
base_sports_fields,-0.0015833458633420783
comp_rides_within_tue_day,-0.0016178128551930238
comp_floorarea_business,-0.0016306595348571928
comp_alkos,-0.001670814221530037
comp_rides_within_tue_morning,-0.0017469234984954785
comp_rides_within_mon_evening,-0.0017511925224572567
base_playgrounds,-0.001751664020561594
base_restaurants,-0.001755170582673049
base_homes,-0.001756831934155434
comp_high_school_students,-0.0017626520339384388
comp_churches,-0.0017888612013031713
comp_unemployment,-0.0017986455788684408
comp_rides_in_sun_evening,-0.0018287728167989403
comp_rides_in_sun_night,-0.0018287728167989403
comp_public_jobs,-0.0018335235050674914
comp_rides_within_mon_night,-0.0018398821612085614
comp_business_jobs,-0.0018466305504960534
comp_rides_in_mon_morning,-0.001858934675088686
base_sports_halls,-0.0018617604044154357
comp_retail_jobs,-0.0018644641107844473
comp_rides_in_mon_evening,-0.0018667822827616032
comp_rides_in_mon_day,-0.001867993345183061
comp_manufacture_jobs,-0.0018697537210061732
comp_rides_in_mon_night,-0.0018745216912929852
comp_rides_in_tue_day,-0.0018754666177192014
comp_rides_in_tue_morning,-0.0018758754700168856
comp_rides_within_mon_day,-0.0018787348158257888
comp_rides_in_tue_night,-0.0018869174943589861
comp_employment_km2,-0.0018909983767982919
comp_other_retail,-0.0018923847571221675
comp_rides_in_wed_day,-0.0018934292288184107
