Feature,Importance
base_to_comp_distance,0.04972786527572448
comp_apothecaries,0.0016429233208861138
comp_swimming_halls,0.0011315038267634137
base_high_schools,0.0009658206635277944
base_swimming_halls,0.000963858477441959
base_special_school_pupils,0.0008520696428596652
base_special_schools,0.000841230223338596
comp_cafes_bars,0.0007512296789283779
comp_rides_within_tue_day,0.000724700053570615
comp_rides_within_tue_evening,0.000724700053570615
comp_rides_within_tue_morning,0.0007139971182010818
comp_rides_within_wed_morning,0.0007106598851309709
comp_rides_within_wed_evening,0.0007106598851309709
comp_rides_within_wed_day,0.0007106598851309709
comp_rides_within_mon_night,0.0006953879264524065
comp_rides_within_mon_evening,0.0006735905912543805
comp_rides_within_tue_night,0.0006686168133855919
base_middle_school_pupils,0.0006621505810153749
base_playgrounds,0.0006333147367929559
base_health_stations,0.0005982248073369556
comp_rides_within_thu_night,0.0005821837230554072
comp_alkos,0.0005782424190505786
comp_post_offices,0.0005551562079431083
comp_rides_within_thu_evening,0.0005427925298756575
comp_rides_within_wed_night,0.0004601606666772007
base_high_school_students,0.00039472041010690795
base_middle_schools,0.00038974536219016365
comp_health_stations,0.00036430769510653604
comp_rides_within_mon_day,0.00034123351759796083
base_public_bldgs,0.0003366521054564142
comp_churches,0.0003338270047399394
base_churches,0.00033219069340950647
base_industrial_bldgs,0.0003173369220867972
base_ages_40_64,0.0003081866979302017
comp_rides_within_thu_day,0.00030723399115983874
comp_rides_within_mon_morning,0.000302347090925692
base_grocery_shops,0.00030060257180863914
base_floorarea_housing_house,0.00028896147471313416
base_floorarea_housing_condo,0.000285028876247706
comp_rides_within_thu_morning,0.0002822432042872691
base_employment_km2,0.0002817123324745374
comp_rides_within_sun_night,0.00027386284087904667
base_primary_school_pupils,0.0002679936189097232
comp_playgrounds,0.0002672518005979452
base_ages_19_24,0.0002666090815968136
base_ages_25_39,0.00025783010204372125
base_floorarea_ha,0.00025190997502422263
comp_sports_halls,0.00023401233407005506
comp_sports_fields,0.00022654026992374732
base_sports_fields,0.00022335112242277688
comp_high_school_students,0.0002094493281651344
comp_rides_in_sun_evening,0.00020350012837999643
comp_parks_ha,0.00020312436662983657
comp_rides_in_sun_night,0.00020218341095168402
comp_swim_beaches,0.00020186405412081498
comp_rides_in_sun_morning,0.00019650766845646928
base_homes,0.00016298307611828378
base_transport_jobs,0.00015212158765320893
base_retail_jobs,0.00015178856214392855
comp_special_schools,0.00013068046593711635
comp_forest_ha,0.00010635498918121211
comp_rides_in_tue_night,0.00010197126111366472
base_sports_halls,9.72654396050876e-05
base_business_jobs,9.627692385283382e-05
comp_rides_in_sun_day,9.620169180368787e-05
comp_floorarea_business,9.432683306576095e-05
base_unemployment,9.138563324162519e-05
comp_rides_in_tue_evening,8.877803591789135e-05
comp_rides_in_wed_morning,8.75965410515045e-05
comp_daycares,8.655353861342086e-05
comp_voted_other,7.999042575734805e-05
base_public_jobs,7.975914377367221e-05
comp_rides_in_wed_evening,7.25645374335393e-05
comp_avg_pers_income,6.878750560246338e-05
comp_rides_within_sun_day,6.753038759554908e-05
comp_ages_40_64,6.123013010916889e-05
comp_ages_25_39,6.123013010916889e-05
comp_floorarea_public,5.7701838892865176e-05
comp_ages_65,5.288894417954104e-05
comp_rides_within_sun_evening,5.180628177448021e-05
comp_floorarea_industrial,4.891501122661346e-05
base_manufacture_jobs,4.0006464189223934e-05
comp_floorarea_housing_condo,3.9299147237437104e-05
comp_rides_in_wed_day,3.729596964385795e-05
base_business_bldgs,3.650595285109581e-05
comp_rides_in_mon_morning,3.371823975273358e-05
base_apothecaries,3.268666943567755e-05
base_people_on_social_assistance,2.515172897032958e-05
comp_grocery_shops,2.363957721274179e-05
comp_bike_stations,-7.663332618479402e-07
base_floorarea_public,-6.561835857787912e-06
base_floorarea_industrial,-7.267928752274777e-06
base_avg_pers_income,-8.518377179522751e-06
comp_voted_SDP,-1.336089940706664e-05
comp_rides_in_thu_morning,-1.353139621973476e-05
comp_rides_in_wed_night,-1.3722881636146766e-05
comp_rides_in_thu_day,-1.4836341517998619e-05
comp_voted_KOK,-1.4981466268659815e-05
comp_voted_VASL,-1.9440539860249295e-05
comp_restaurants,-2.040703703776181e-05
comp_rides_in_fri_morning,-2.409433374661596e-05
comp_rides_within_fri_morning,-2.544510702340297e-05
comp_rides_in_thu_evening,-2.6922177412069814e-05
comp_rides_in_thu_night,-2.6922177412069814e-05
comp_middle_school_pupils,-3.294999984926328e-05
comp_floorarea_housing_house,-3.553688333013394e-05
base_daycares,-3.6731041950677223e-05
comp_ages_0_6,-4.1850058662640244e-05
comp_ages_7_15,-4.233095627725891e-05
comp_ages_19_24,-4.433749627807959e-05
comp_ages_16_18,-4.445054032242712e-05
comp_rides_in_tue_day,-6.156682622737719e-05
base_ages_16_18,-6.268236004725036e-05
base_primary_schools,-7.313323596358501e-05
comp_primary_school_pupils,-7.451326728036278e-05
comp_voted_VIHR,-8.289942343819856e-05
comp_total_pop,-8.918523089096464e-05
comp_rides_in_mon_night,-8.986913102215777e-05
comp_voted_RKP,-9.1232327289692e-05
comp_rides_in_tue_morning,-9.148718116525068e-05
comp_pop_km2,-9.549818557885725e-05
comp_rides_in_mon_day,-0.00010112300752662673
comp_rides_in_mon_evening,-0.00010112300752662673
base_ages_7_15,-0.00010404806302377612
comp_special_school_pupils,-0.00010780758859996187
comp_rides_in_fri_day,-0.00010935522670196818
comp_rides_in_fri_evening,-0.00010935522670196818
comp_rides_in_fri_night,-0.00010935522670196818
comp_rides_in_sat_day,-0.00010935522670196818
comp_rides_in_sat_morning,-0.00010935522670196818
comp_rides_in_sat_evening,-0.00011256758227795594
comp_voted_PS,-0.00012199121423750459
comp_rides_within_sun_morning,-0.00012308480461920013
comp_other_retail,-0.00013531217211526503
comp_rides_in_sat_night,-0.0001753851579116006
comp_rides_out_tue_evening,-0.00017980910638881742
comp_rides_out_tue_night,-0.00017980910638881742
comp_rides_out_tue_day,-0.00018069549925336936
base_post_offices,-0.00018279811733812323
comp_rides_out_sun_morning,-0.00018316467310974804
comp_primary_schools,-0.00018392716282178423
base_ages_0_6,-0.00018511693213174585
comp_rides_out_sun_night,-0.00020719271555147412
base_median_fam_income,-0.00021458992826506318
comp_floorarea_other,-0.00022302346707347986
base_ages_65,-0.00022418950272151683
base_pop_km2,-0.00022798413598168477
comp_rides_out_mon_evening,-0.00023236487883915302
comp_rides_out_sun_evening,-0.00024068506047503213
comp_rides_out_sun_day,-0.00024068506047503213
comp_rides_out_tue_morning,-0.00024169482142111232
comp_rides_out_mon_night,-0.00024169482142111232
comp_rides_out_mon_day,-0.0002445719481992681
comp_rides_out_mon_morning,-0.0002455727240119332
base_alkos,-0.00024589632810767537
comp_rides_out_wed_day,-0.0002634196584868631
comp_rides_out_wed_morning,-0.0002634196584868631
comp_people_on_social_assistance,-0.0002663650576438803
comp_rides_within_sat_day,-0.0002683740030288151
comp_rides_out_wed_evening,-0.00027285583236502653
comp_rides_within_sat_night,-0.0002748388593891704
comp_rides_within_sat_evening,-0.00027959630351082065
comp_public_bldgs,-0.0002798033819308987
comp_unemployment,-0.00030123558220407354
base_other_retail,-0.0003081892323617552
base_floorarea_other,-0.0003124473983822096
comp_homes,-0.0003198340459600324
comp_employment_km2,-0.0003198340459600324
comp_business_bldgs,-0.0003217611378112384
comp_rides_within_fri_day,-0.00032525372633629424
comp_rides_within_fri_night,-0.0003256058002387707
base_voted_SDP,-0.0003485637308615619
comp_rides_within_sat_morning,-0.0003525937017075931
comp_transport_jobs,-0.00035991838121218755
base_floorarea_business,-0.0003628263743702398
base_parks_ha,-0.00036758432891415005
comp_rides_within_fri_evening,-0.0003703490287447764
base_restaurants,-0.0003782820920423813
comp_industrial_bldgs,-0.0003791060614581898
base_voted_other,-0.00038278375271438847
comp_rides_out_sat_morning,-0.00038745200381429257
comp_rides_out_sat_night,-0.00038745200381429257
comp_rides_out_sat_day,-0.00038745200381429257
comp_rides_out_sat_evening,-0.00038760814386207265
base_total_pop,-0.0003905156535143339
comp_rides_out_fri_night,-0.0004033859655352412
comp_rides_out_fri_day,-0.00040364709809248556
comp_rides_out_fri_evening,-0.00040364709809248556
comp_rides_out_thu_night,-0.0004038375356284485
comp_rides_out_thu_day,-0.0004038375356284485
comp_rides_out_thu_evening,-0.0004038375356284485
comp_rides_out_fri_morning,-0.00040664906607579265
comp_middle_schools,-0.00041120746704470523
comp_floorarea_ha,-0.0004223786233241711
comp_rides_out_thu_morning,-0.0004229720817405802
comp_rides_out_wed_night,-0.00043015037284410695
comp_median_fam_income,-0.000451514261444963
comp_libraries,-0.0004627374209124069
comp_high_schools,-0.00047958641812484437
base_forest_ha,-0.0004849763097352078
comp_retail_jobs,-0.0004918493811769675
base_voted_VIHR,-0.0005001515622059527
comp_public_jobs,-0.0005100195857797862
comp_business_jobs,-0.0005238020527177367
base_voted_PS,-0.0005817298993021636
base_voted_KOK,-0.0005994347959976665
base_voted_RKP,-0.000627118297394591
base_voted_VASL,-0.000644021699576447
comp_manufacture_jobs,-0.0006632891154663145
base_libraries,-0.0011339275305527474
base_cafes_bars,-0.0012073508991259363
base_swim_beaches,-0.0012861904817181857
