Feature,Importance
base_to_comp_distance,0.04892889382479071
base_floorarea_ha,0.0022912658102566263
base_homes,0.0020628569246817774
base_employment_km2,0.0019880000170184875
base_public_bldgs,0.0017549831065916122
comp_libraries,0.0015572762188247324
base_business_bldgs,0.001379856975855076
base_industrial_bldgs,0.0012527164478393082
base_daycares,0.0011381041275029258
comp_special_school_pupils,0.0011330138834269032
base_floorarea_industrial,0.0010522318661735364
base_floorarea_housing_condo,0.0009903562851452108
base_floorarea_business,0.0009902706586423227
base_cafes_bars,0.0009674528390282155
base_floorarea_other,0.0009427984583050275
base_retail_jobs,0.0008082081905824712
base_ages_16_18,0.0006992153206037965
comp_special_schools,0.0006952925995727943
base_business_jobs,0.0006794522030337813
base_manufacture_jobs,0.0006500439652642465
base_floorarea_public,0.0006346091894274819
base_primary_schools,0.0005413845721631283
base_sports_halls,0.000526622589266057
base_total_pop,0.00040825551241796543
base_swimming_halls,0.0003886186871042696
base_median_fam_income,0.00037340951405173683
base_people_on_social_assistance,0.0003440614475626047
base_floorarea_housing_house,0.0003114291671930669
comp_high_schools,0.00025758241680251537
base_voted_other,0.00023998167481575905
base_post_offices,0.0001416026685794325
base_unemployment,0.00013621694619092573
base_ages_40_64,0.00010791639306950707
base_sports_fields,5.1213014918616295e-05
base_public_jobs,4.759595134617989e-05
base_avg_pers_income,3.6080549736361434e-05
base_voted_VASL,-1.4432039249667739e-05
comp_playgrounds,-2.1926797889149086e-05
base_ages_19_24,-6.608290289467078e-05
base_ages_7_15,-9.180942058328867e-05
base_ages_65,-9.539919590251245e-05
base_playgrounds,-9.767846317809692e-05
base_transport_jobs,-0.00011291485289710579
base_ages_0_6,-0.00011733498809640697
base_voted_SDP,-0.00017305241493903445
base_pop_km2,-0.00019493073615972634
base_ages_25_39,-0.00020928905942452225
base_alkos,-0.00024010359316872787
base_voted_RKP,-0.0002823678185223111
comp_public_bldgs,-0.0003203835529965726
comp_industrial_bldgs,-0.0003456601338034382
base_voted_KOK,-0.00035589819528469846
base_voted_VIHR,-0.00041928911119071266
comp_homes,-0.00043100724598788
comp_floorarea_housing_house,-0.00045478655230257736
comp_total_pop,-0.0004549678313303662
base_churches,-0.00045649285364879333
comp_floorarea_housing_condo,-0.0004820837887995477
comp_floorarea_business,-0.00048558953964095153
comp_floorarea_other,-0.00048614154454396097
comp_floorarea_industrial,-0.0005800020007621365
comp_floorarea_public,-0.0005862834251253446
base_primary_school_pupils,-0.0005970063014926197
comp_middle_schools,-0.0006179791034591764
comp_employment_km2,-0.0006221238673551621
comp_floorarea_ha,-0.0006319785383619436
comp_daycares,-0.0006524400556099375
base_swim_beaches,-0.0006763080707344882
comp_middle_school_pupils,-0.0006898977405164208
base_forest_ha,-0.0007055812957990071
comp_business_bldgs,-0.0007315132234722022
comp_public_jobs,-0.000790268819456541
comp_ages_0_6,-0.0008110768615995356
comp_primary_school_pupils,-0.0008997954118729057
base_voted_PS,-0.0009043924436619166
comp_transport_jobs,-0.0009368090221321124
comp_retail_jobs,-0.0009382935478504661
comp_business_jobs,-0.0009425158071979522
comp_ages_16_18,-0.0010455148638817136
comp_ages_7_15,-0.0010465539804588309
comp_pop_km2,-0.0010499238241830078
comp_health_stations,-0.0011073490888037218
base_apothecaries,-0.0011097389331916618
comp_avg_pers_income,-0.0011202403006735917
comp_ages_65,-0.0011260510788573264
comp_manufacture_jobs,-0.0011461868032340838
base_other_retail,-0.0011950595668273056
base_restaurants,-0.0012896891399485355
comp_ages_25_39,-0.001308282108973935
comp_ages_40_64,-0.001308282108973935
comp_ages_19_24,-0.0013113700093188019
comp_median_fam_income,-0.0013548981777024016
comp_high_school_students,-0.0013564040032568725
base_parks_ha,-0.001521287339400712
base_libraries,-0.0015627969738256642
comp_unemployment,-0.0015876112880761628
comp_people_on_social_assistance,-0.001593926266056811
comp_rides_within_sun_morning,-0.0016123088375189498
comp_sports_fields,-0.0016382892254885872
base_grocery_shops,-0.001703331149760956
base_middle_schools,-0.0017195621798808958
base_high_schools,-0.001771542650746749
base_special_school_pupils,-0.0018810450191916184
comp_sports_halls,-0.0019445234397208466
comp_rides_within_sat_day,-0.002006799565487216
comp_rides_within_sat_evening,-0.0020250345973344963
comp_swimming_halls,-0.002061949356724657
