Feature,Importance
base_to_comp_distance,0.07382511227747879
base_swim_beaches,0.0001353534606995943
base_middle_schools,-6.161513607760849e-05
base_voted_PS,-0.0001520664287678608
base_voted_other,-0.00020430053069897536
comp_ages_16_18,-0.0002155853162938426
comp_ages_7_15,-0.0003188686464776769
base_voted_KOK,-0.0003794169146829063
base_primary_schools,-0.00038217524228190136
base_voted_SDP,-0.0004049669108513454
base_sports_halls,-0.00045976504573896904
comp_ages_25_39,-0.0004643485492954458
comp_ages_40_64,-0.00047075486993886084
comp_avg_pers_income,-0.0005020742446860682
base_voted_VASL,-0.0005446108094442348
base_daycares,-0.0005535276803383393
comp_ages_65,-0.0006229606728745951
base_voted_VIHR,-0.0006448919748696103
comp_ages_19_24,-0.0007870941339347404
base_sports_fields,-0.0007952794624460635
base_floorarea_public,-0.0008076859446780604
base_floorarea_industrial,-0.0008389182719390487
base_voted_RKP,-0.0008413429324614086
base_homes,-0.0008524356045196413
comp_middle_schools,-0.0008807620638381364
comp_high_school_students,-0.000895428693205802
comp_median_fam_income,-0.0009036031938541855
comp_unemployment,-0.0009383805147021862
base_apothecaries,-0.000989035633982116
base_employment_km2,-0.001008507383493007
base_post_offices,-0.0010136628955478288
comp_retail_jobs,-0.001050195966108447
base_total_pop,-0.0010559914595567044
comp_business_jobs,-0.0010656677627206568
base_median_fam_income,-0.0010712607959149079
base_people_on_social_assistance,-0.001080468468255602
base_manufacture_jobs,-0.0010877018779117398
comp_manufacture_jobs,-0.0010978208325982397
base_unemployment,-0.0011109139828395787
base_retail_jobs,-0.0011327218774007664
comp_transport_jobs,-0.0011618761361885666
base_public_jobs,-0.001167527828685122
comp_middle_school_pupils,-0.0011704160841999878
comp_total_pop,-0.001181087632311728
base_business_jobs,-0.0012215168532108134
comp_churches,-0.0012225281963088586
base_industrial_bldgs,-0.0012275126499622369
comp_ages_0_6,-0.0012466852234497283
comp_pop_km2,-0.0012492766431603242
base_business_bldgs,-0.0012515609299315056
comp_homes,-0.0012943010033252822
comp_high_schools,-0.001318533318448667
base_public_bldgs,-0.0013376460412063418
comp_business_bldgs,-0.0013765050150578162
base_ages_40_64,-0.0013873439026536039
comp_employment_km2,-0.0013942533666475576
base_ages_65,-0.001424198568554691
base_floorarea_housing_house,-0.0014283379330343182
base_floorarea_other,-0.0014285716429858208
base_floorarea_housing_condo,-0.0014752256902427208
base_transport_jobs,-0.0014763951329583858
base_floorarea_ha,-0.0014952720455922996
base_cafes_bars,-0.0015020421539195805
base_avg_pers_income,-0.0015472825116649158
base_ages_25_39,-0.0016104184067925464
comp_public_jobs,-0.0016280360972384944
base_floorarea_business,-0.0016284947082513268
base_ages_0_6,-0.0016329772906370499
base_ages_19_24,-0.0016618937953728485
base_churches,-0.0016624067055779346
base_ages_7_15,-0.0016838636541923746
comp_libraries,-0.001722849928363579
comp_primary_school_pupils,-0.00172841294515369
comp_people_on_social_assistance,-0.0017566723699151687
base_ages_16_18,-0.0017694082477136552
base_restaurants,-0.0017764418021837258
base_swimming_halls,-0.001793230014072944
comp_floorarea_other,-0.0017950175946529479
base_special_school_pupils,-0.0018553689161879827
base_primary_school_pupils,-0.0018604275895107714
comp_playgrounds,-0.001964583310526624
base_grocery_shops,-0.0020293517018811214
base_special_schools,-0.002040540430083171
comp_health_stations,-0.002073867439620236
comp_floorarea_public,-0.0021223309380774547
base_alkos,-0.002133595987820258
comp_floorarea_housing_condo,-0.002179917923431085
comp_floorarea_industrial,-0.0021856398174897596
base_other_retail,-0.0021873104361661566
comp_floorarea_business,-0.002198827369798484
comp_floorarea_ha,-0.0022009597205692177
comp_apothecaries,-0.0022036345968735604
comp_industrial_bldgs,-0.002212594170852622
base_pop_km2,-0.002215997337075115
comp_post_offices,-0.0022207381785191993
comp_swim_beaches,-0.002226393597106857
comp_public_bldgs,-0.002227707917298982
base_forest_ha,-0.002253178936878153
base_parks_ha,-0.002266367278253023
comp_sports_halls,-0.002306884730859604
base_health_stations,-0.002320356310437255
base_middle_school_pupils,-0.0023495965128548235
comp_rides_within_sun_day,-0.0023575221459063433
comp_rides_within_sun_evening,-0.0023645730791851394
comp_rides_within_sun_morning,-0.002426731409989502
base_high_schools,-0.002433447693908075
base_high_school_students,-0.0024838295331574
comp_rides_out_sat_day,-0.0025016505866726213
comp_rides_out_sat_morning,-0.0025016505866726213
comp_rides_out_sat_evening,-0.002511277576164206
comp_rides_within_mon_day,-0.0025218055727832533
comp_rides_within_sun_night,-0.002533646136526624
comp_floorarea_housing_house,-0.002545521817912011
comp_sports_fields,-0.002549124050147844
comp_rides_within_mon_morning,-0.002573682732476379
