Feature,Importance
base_to_comp_distance,0.08906167427468237
base_post_offices,-0.00022638801050556268
base_apothecaries,-0.00030345890602700987
comp_sports_halls,-0.0008375869544043901
comp_rides_within_thu_evening,-0.0008600605859506727
comp_middle_schools,-0.0009414926608719565
comp_churches,-0.0009499320303312242
comp_sports_fields,-0.0010523801502697605
comp_swimming_halls,-0.0011540103715739214
base_libraries,-0.0011772577092057368
comp_rides_in_tue_evening,-0.001294798722287105
comp_rides_within_fri_morning,-0.0013350048114444402
base_sports_fields,-0.0014159582732842235
comp_high_school_students,-0.001465985522417057
comp_rides_within_fri_day,-0.001480357421767775
comp_high_schools,-0.0014900772118119354
comp_rides_within_thu_night,-0.0015033514378726132
comp_floorarea_other,-0.0015176524994064966
comp_rides_within_fri_evening,-0.001524480446956522
comp_rides_within_fri_night,-0.0015452625427171407
comp_rides_within_sat_day,-0.0015481812851709797
comp_rides_in_thu_evening,-0.0015498258122877973
comp_rides_in_tue_night,-0.001560261052783396
comp_rides_in_thu_night,-0.0015611063269720393
comp_rides_in_sat_evening,-0.0015612387875029166
comp_rides_in_sat_night,-0.001571655541733774
comp_rides_in_thu_day,-0.0015724790650092357
comp_rides_in_thu_morning,-0.0015763551516778662
comp_rides_in_fri_day,-0.001576387960879
comp_rides_in_fri_evening,-0.001576387960879
comp_rides_in_fri_morning,-0.001576387960879
comp_rides_in_wed_night,-0.0015772707979910816
comp_rides_in_wed_evening,-0.0015772707979910816
comp_rides_in_sat_morning,-0.001577608080765014
comp_rides_in_fri_night,-0.001577608080765014
comp_rides_in_sat_day,-0.001577608080765014
comp_rides_in_wed_morning,-0.0015786180569042907
comp_rides_in_wed_day,-0.0015786180569042907
base_alkos,-0.0015823130699592625
comp_homes,-0.00159271205017264
comp_rides_within_sat_evening,-0.0015935711930225027
comp_rides_within_sat_morning,-0.001594188632661142
comp_rides_within_sat_night,-0.0015956118696868193
comp_rides_within_wed_evening,-0.0016154235773997438
comp_rides_out_sun_morning,-0.0016548326762542143
base_high_school_students,-0.0016706334661126254
comp_rides_within_thu_day,-0.0016821394121629973
comp_rides_within_tue_evening,-0.0016923470659119255
base_churches,-0.0017006750716204166
base_health_stations,-0.001735931243047717
base_restaurants,-0.001737579974635417
comp_rides_within_thu_morning,-0.0017475280463812304
comp_rides_in_tue_day,-0.0017518703401809832
comp_rides_within_tue_day,-0.0017738196749659263
base_grocery_shops,-0.001789673913241585
comp_rides_in_tue_morning,-0.0017897851725190428
comp_rides_within_wed_night,-0.0017926259499335684
comp_rides_in_mon_evening,-0.001793468101784712
comp_rides_in_mon_day,-0.001793468101784712
comp_rides_in_mon_night,-0.0017936242639611244
comp_rides_in_mon_morning,-0.0017937146618093314
comp_rides_within_tue_morning,-0.0018004434545182413
comp_rides_within_mon_day,-0.0018280399428196592
comp_rides_within_mon_evening,-0.0018311947250339022
base_swim_beaches,-0.0018917656082201306
comp_rides_within_mon_morning,-0.0019019523446853759
comp_rides_within_mon_night,-0.0019281391770936684
comp_rides_in_sun_evening,-0.001937924122383028
comp_rides_in_sun_night,-0.001978641677075066
comp_rides_within_tue_night,-0.0019859051152008034
comp_rides_within_wed_morning,-0.0019923722435765123
comp_rides_out_tue_evening,-0.002019399367843455
comp_employment_km2,-0.0020263504322373116
comp_rides_within_wed_day,-0.0020306024798749656
comp_rides_out_mon_day,-0.0020404302525581786
comp_rides_out_mon_evening,-0.0020404302525581786
comp_rides_out_mon_night,-0.0020422646997163563
comp_rides_out_tue_morning,-0.0020422646997163563
comp_rides_out_sun_day,-0.002043282794009227
comp_rides_out_sun_evening,-0.0020435798789368853
comp_rides_out_sun_night,-0.0020435798789368853
comp_rides_out_mon_morning,-0.0020449022077219103
comp_rides_out_tue_day,-0.0020461944789101905
comp_retail_jobs,-0.0020473347546294818
comp_rides_within_sun_morning,-0.002071871943140402
comp_rides_within_sun_day,-0.002096698739566083
comp_public_jobs,-0.0020971052133131884
comp_transport_jobs,-0.002100954580022907
comp_rides_within_sun_evening,-0.0021037849337701697
comp_rides_out_wed_night,-0.0021080595593229168
comp_rides_out_thu_night,-0.002108789599007177
comp_rides_out_tue_night,-0.0021090887062352737
comp_rides_out_wed_day,-0.002109204163118217
comp_rides_out_wed_morning,-0.002109204163118217
comp_rides_out_sat_day,-0.0021165007962301585
comp_rides_out_thu_evening,-0.002118345883654782
comp_rides_out_thu_day,-0.002119534750879448
comp_rides_out_thu_morning,-0.0021198969487687958
comp_rides_out_wed_evening,-0.002120186269542468
comp_rides_out_sat_evening,-0.0021292136707931064
base_other_retail,-0.0021354510701211415
base_cafes_bars,-0.002149518918886484
base_sports_halls,-0.00215453483201411
comp_business_jobs,-0.002157352855696959
comp_manufacture_jobs,-0.002159098420649541
comp_rides_out_sat_night,-0.0021591738265388516
comp_floorarea_public,-0.0021713342520154333
comp_unemployment,-0.0021743335710953104
comp_rides_within_sun_night,-0.002178993153587827
comp_rides_out_fri_evening,-0.002180137233643298
comp_rides_out_fri_day,-0.002180137233643298
comp_rides_out_fri_night,-0.002180149235696871
comp_rides_out_fri_morning,-0.002181758038210968
comp_rides_out_sat_morning,-0.002187492118724821
comp_floorarea_industrial,-0.002189217783961972
comp_libraries,-0.002190471749706324
comp_business_bldgs,-0.0022073483944519134
comp_floorarea_housing_condo,-0.002230224077506393
base_forest_ha,-0.0022425331743938237
comp_ages_40_64,-0.0022722077028466403
base_parks_ha,-0.002276704448454403
comp_people_on_social_assistance,-0.00231657966978438
base_high_schools,-0.0023188424919686756
comp_median_fam_income,-0.0023243037505098485
base_primary_schools,-0.00234175064662856
comp_floorarea_housing_house,-0.002343128734575761
comp_swim_beaches,-0.0023602469813169824
base_voted_KOK,-0.0023659338555171994
comp_avg_pers_income,-0.002367070286705797
base_special_school_pupils,-0.0023937798443697256
base_voted_VIHR,-0.002417369651744772
comp_industrial_bldgs,-0.0024175045289329677
comp_middle_school_pupils,-0.0024365675522695085
base_special_schools,-0.0024369898097058584
comp_floorarea_ha,-0.002440178090408862
base_voted_SDP,-0.0024744664504904312
comp_ages_25_39,-0.0024960953225703353
base_playgrounds,-0.0025280137823179283
comp_total_pop,-0.002542474289047192
base_total_pop,-0.002579059748464285
comp_ages_65,-0.002583925094899908
comp_public_bldgs,-0.0025867935443184553
comp_floorarea_business,-0.0026097789681371886
base_ages_7_15,-0.00263885465195679
base_voted_VASL,-0.0026417407824494976
base_voted_other,-0.0026449943501268836
base_ages_16_18,-0.0026678827944282
comp_rides_in_sun_day,-0.0027033843661512513
base_voted_RKP,-0.002703812158292296
base_pop_km2,-0.0027127642529074514
comp_pop_km2,-0.0027433239326177805
comp_rides_in_sun_morning,-0.002781219186527628
comp_ages_0_6,-0.00279719241601184
comp_ages_7_15,-0.002809257105049978
comp_ages_19_24,-0.002814106606657152
comp_ages_16_18,-0.0028156232300864392
comp_voted_other,-0.002831455270215222
comp_primary_school_pupils,-0.002843263402911189
base_ages_0_6,-0.0028513282257833783
base_floorarea_ha,-0.0028527331810884737
comp_bike_stations,-0.0028574563581240664
base_floorarea_housing_house,-0.002865942181837111
base_industrial_bldgs,-0.0028900939107466828
comp_voted_RKP,-0.0028955418608664907
base_public_bldgs,-0.002896679621361975
comp_voted_VASL,-0.002902892704690352
comp_voted_KOK,-0.002916291387413228
comp_voted_SDP,-0.002920620071004909
base_middle_school_pupils,-0.0029228747097952423
comp_voted_VIHR,-0.0029255718483959248
base_floorarea_business,-0.0029484936570097764
base_transport_jobs,-0.0029566619100257485
base_floorarea_housing_condo,-0.0029660972224982984
base_business_bldgs,-0.0029671812861141733
base_business_jobs,-0.0029697513851082435
base_public_jobs,-0.0029736650600153958
comp_voted_PS,-0.0030151061382144295
base_employment_km2,-0.0030332243296847805
base_daycares,-0.0030612770192176564
comp_forest_ha,-0.0031169589385299235
comp_daycares,-0.0031181886560311955
base_homes,-0.003127733591139714
comp_parks_ha,-0.0031509729958900667
base_retail_jobs,-0.003183047588976251
base_voted_PS,-0.0031852675677198627
base_people_on_social_assistance,-0.003244615740562229
base_floorarea_other,-0.003246919403174453
comp_primary_schools,-0.0032888045597307958
base_manufacture_jobs,-0.003288822418310189
base_ages_19_24,-0.0032919167709050123
comp_post_offices,-0.0033135779187283276
base_median_fam_income,-0.003325981552787516
base_unemployment,-0.0033381828046575857
base_avg_pers_income,-0.0033562690745641
base_floorarea_industrial,-0.00337606124435863
base_primary_school_pupils,-0.0033963461772091863
base_ages_65,-0.0034037875942932727
comp_alkos,-0.0034341452830788377
base_ages_25_39,-0.0034393460840439483
comp_health_stations,-0.0034580292014382286
base_middle_schools,-0.0035011232454560393
base_swimming_halls,-0.003503108838629365
base_floorarea_public,-0.003508961777851094
comp_apothecaries,-0.0035842296064589885
comp_playgrounds,-0.0036807419182146583
comp_grocery_shops,-0.0038078707947910573
comp_other_retail,-0.0038298433041371593
base_ages_40_64,-0.0038457861485252653
comp_restaurants,-0.0038478623358674247
comp_cafes_bars,-0.0040134786712433534
comp_special_school_pupils,-0.004295679495248339
comp_special_schools,-0.004351805256315955
