Feature,Importance
base_to_comp_distance,0.03910778137252713
base_high_schools,0.0015827353732640326
base_employment_km2,0.001076158837955199
base_health_stations,0.0008934434236781419
base_middle_school_pupils,0.0007799729707039793
base_playgrounds,0.0006009834212002962
base_floorarea_other,0.0005340539320418669
base_high_school_students,0.00045463757109376335
base_floorarea_industrial,0.00041922141744943353
base_floorarea_public,0.0001349703637598676
base_apothecaries,0.00011825219915095886
base_churches,8.48095353163103e-05
base_floorarea_housing_house,6.353653979962459e-05
base_business_bldgs,3.822107238515837e-05
base_public_bldgs,2.5976383944747994e-05
base_daycares,1.9155694434558335e-05
base_industrial_bldgs,1.3738309678545946e-05
base_floorarea_housing_condo,-1.5631086678125072e-05
base_floorarea_business,-0.00013699257048904734
base_sports_fields,-0.00013854898970411256
base_floorarea_ha,-0.00014787568930640926
base_ages_19_24,-0.00016725423151320307
base_ages_25_39,-0.00018289558369988246
base_ages_40_64,-0.00018630615778369997
base_ages_65,-0.00020128767528160285
base_avg_pers_income,-0.00022919082597294693
base_ages_7_15,-0.0002921766461329023
comp_floorarea_other,-0.00029595720074593324
base_ages_16_18,-0.0003587492949166382
base_ages_0_6,-0.000360760584365738
comp_floorarea_public,-0.00041096002204477067
comp_floorarea_housing_house,-0.0004117949720732206
comp_floorarea_industrial,-0.0004126300110420811
comp_floorarea_business,-0.00042241049743141357
comp_high_school_students,-0.00042252339646842163
comp_floorarea_housing_condo,-0.00042939992682622385
base_primary_school_pupils,-0.0004751061895877928
comp_total_pop,-0.0005332321381364968
base_libraries,-0.00054590300269175
base_retail_jobs,-0.0005489252843657866
base_swimming_halls,-0.0005586814052687128
base_post_offices,-0.0005651238127158953
base_forest_ha,-0.0005691370926040884
base_pop_km2,-0.0006495866819707929
base_parks_ha,-0.0006618426555290435
base_restaurants,-0.0007212062505923544
comp_daycares,-0.0007448807369141441
base_primary_schools,-0.0007606576781852281
base_special_school_pupils,-0.0007818191109700834
base_special_schools,-0.0008107048812205919
base_manufacture_jobs,-0.0008272645614751939
comp_ages_7_15,-0.0008375302958666397
base_sports_halls,-0.0008550289290583102
comp_primary_school_pupils,-0.0008821913270369297
comp_ages_16_18,-0.0008925392905489993
comp_high_schools,-0.0009053694819187719
comp_ages_19_24,-0.0009071673712400807
base_voted_SDP,-0.0009072812098271932
comp_ages_40_64,-0.000908810108017466
comp_ages_25_39,-0.0009135317810781141
base_grocery_shops,-0.0009200232768868943
comp_floorarea_ha,-0.0009360354243344027
base_homes,-0.0009508419672266122
