Feature,Importance
base_to_comp_distance,0.10116602601977698
base_homes,0.001302000712085638
base_daycares,0.00016508321208474896
base_floorarea_ha,4.929110746665355e-05
base_floorarea_other,-1.729213299483945e-05
base_floorarea_housing_house,-5.38266899161588e-05
base_floorarea_housing_condo,-7.663982842120998e-05
base_pop_km2,-9.582465794544248e-05
base_public_bldgs,-0.00011508938534821045
base_industrial_bldgs,-0.00016299258309182552
base_floorarea_business,-0.00026040726219334065
base_public_jobs,-0.00038507766949924527
base_floorarea_public,-0.00043682069825223824
base_floorarea_industrial,-0.0004830484238899091
comp_rides_in_tue_evening,-0.0005888304200323269
comp_special_school_pupils,-0.0005917242699752245
base_business_bldgs,-0.0006304432689848705
comp_rides_out_sun_night,-0.0006504188743690076
base_employment_km2,-0.0006550528781078535
base_sports_fields,-0.0007145175839168294
comp_rides_within_fri_day,-0.0007175652956957768
comp_rides_within_fri_evening,-0.0007194806799007969
comp_rides_out_sun_evening,-0.0007229786984683795
comp_rides_in_fri_day,-0.0007255326926933758
comp_rides_in_sat_night,-0.0007290827446456705
comp_rides_in_sat_day,-0.0007314887208603738
comp_rides_in_sat_evening,-0.0007314887208603738
comp_rides_in_fri_evening,-0.0007314887208603738
comp_rides_in_fri_night,-0.0007314887208603738
comp_rides_in_sat_morning,-0.0007314887208603738
comp_rides_out_sun_day,-0.0007343563768487105
comp_rides_out_sun_morning,-0.0007373703052128144
comp_other_retail,-0.0007440523920198006
comp_rides_within_fri_morning,-0.0007469047655772609
comp_grocery_shops,-0.0007477862481857223
comp_rides_within_thu_day,-0.0007488994874397248
base_unemployment,-0.0007576176310629679
comp_rides_within_fri_night,-0.0007635863903430185
comp_rides_within_thu_evening,-0.0007772912138963584
comp_special_schools,-0.0007860308102656255
base_transport_jobs,-0.0007994342307893199
comp_rides_within_thu_night,-0.0008009097006477228
base_libraries,-0.0008035444921750123
comp_rides_out_mon_evening,-0.0008138302381783813
comp_rides_out_mon_night,-0.0008176026459444374
comp_rides_out_mon_day,-0.000818882618287442
comp_rides_out_tue_morning,-0.0008190059908657066
comp_rides_out_mon_morning,-0.0008197405336469732
comp_rides_out_tue_evening,-0.0008226649899485405
comp_rides_out_tue_day,-0.0008226649899485405
comp_rides_within_mon_evening,-0.0008269710344948056
comp_rides_out_tue_night,-0.0008301359199213154
comp_rides_out_wed_morning,-0.0008305552873680844
comp_rides_out_wed_day,-0.0008305552873680844
comp_rides_within_tue_evening,-0.0008365832476492363
comp_rides_out_wed_evening,-0.0008376165968927429
comp_rides_within_mon_night,-0.0008395980404705128
comp_rides_within_thu_morning,-0.0008445448532151678
comp_rides_within_tue_morning,-0.0008588181139409512
comp_rides_within_sat_night,-0.0008672420298028172
base_retail_jobs,-0.0008801993406111208
base_median_fam_income,-0.0008935801680437505
base_ages_19_24,-0.0009026877655343712
comp_rides_within_wed_evening,-0.0009055237279204098
comp_rides_within_sun_evening,-0.00090831089938892
comp_rides_in_wed_morning,-0.0009127022928734352
comp_rides_within_tue_day,-0.0009187043784212312
base_avg_pers_income,-0.0009191601950953032
