Feature,Importance
base_to_comp_distance,0.0949057377263729
base_forest_ha,0.002167318890249459
base_parks_ha,0.0019497538530667269
base_cafes_bars,0.0018194473630076535
base_grocery_shops,0.0016075028183680784
base_restaurants,0.0014077916987702555
comp_primary_schools,0.0011927420612073414
base_other_retail,0.0010360370874515912
comp_primary_school_pupils,0.001035354803258115
comp_transport_jobs,0.0007205909162230073
comp_libraries,0.0006799138765772872
comp_industrial_bldgs,0.000646353626241325
comp_business_jobs,0.0006424271929768022
comp_public_jobs,0.0006424271929768022
comp_homes,0.0006421826045942547
comp_employment_km2,0.0006421826045942547
comp_unemployment,0.0006137841461847371
comp_floorarea_ha,0.0005991593013848773
comp_median_fam_income,0.0005912540590362614
comp_people_on_social_assistance,0.0005757585005894406
comp_floorarea_housing_house,0.0005529090955795901
base_alkos,0.0004735388667466145
comp_manufacture_jobs,0.00044346281044505
comp_retail_jobs,0.00044127725133713547
comp_business_bldgs,0.00042923604535705095
comp_avg_pers_income,0.00041613824993647075
comp_public_bldgs,0.0003812941171003059
comp_middle_schools,0.00027186157560787905
base_manufacture_jobs,0.00024292914062995496
comp_pop_km2,0.00023965618385590748
comp_ages_7_15,0.00023292261021645722
comp_ages_0_6,0.0002300233898716586
base_people_on_social_assistance,0.00022585287660537023
base_unemployment,0.00022536552133523013
base_ages_7_15,0.00021459152232683465
base_median_fam_income,0.0002083342071605987
comp_floorarea_public,0.00019244136186480354
comp_floorarea_business,0.00018977885614102075
comp_ages_16_18,0.00017735189595791123
comp_floorarea_housing_condo,0.0001757626896445874
base_post_offices,0.00012702209737625036
base_swimming_halls,0.00010351963229948691
comp_total_pop,8.317417171033181e-05
comp_sports_halls,7.954977893875892e-05
comp_ages_65,5.195052570305947e-05
comp_ages_19_24,4.948363854806459e-05
comp_floorarea_industrial,2.9398234137389956e-05
base_retail_jobs,2.6146810878757698e-05
comp_sports_fields,2.5351938348294745e-05
comp_ages_25_39,4.918959978228443e-07
comp_ages_40_64,-8.408437279783243e-09
comp_floorarea_other,-3.185456466403558e-05
comp_other_retail,-6.489153050781571e-05
comp_playgrounds,-6.614450167496955e-05
comp_daycares,-7.455920947141426e-05
base_sports_halls,-0.00011150804322956898
base_floorarea_industrial,-0.00012363616057686766
base_swim_beaches,-0.000146830359074146
comp_alkos,-0.000159876971286943
base_churches,-0.0001608340970890021
base_transport_jobs,-0.0001836932813055192
comp_apothecaries,-0.00019738030435878517
base_health_stations,-0.00024193232111624496
base_ages_16_18,-0.00027982879661747617
base_ages_19_24,-0.0003262211273937776
comp_high_schools,-0.0003262290602903395
base_avg_pers_income,-0.0003541949080573259
base_voted_other,-0.00036747202868114837
base_employment_km2,-0.00037224255543377716
base_ages_25_39,-0.00039963871388615235
base_ages_40_64,-0.00040013175477116025
base_homes,-0.00040776763066752153
comp_cafes_bars,-0.00045851185369838454
comp_middle_school_pupils,-0.00047117792784967527
base_public_jobs,-0.0004761654252541936
base_business_jobs,-0.0005025768186708301
base_floorarea_ha,-0.0005159617729704191
base_business_bldgs,-0.0005416955016057656
base_sports_fields,-0.0005426190622792593
base_floorarea_business,-0.0005522766273208246
base_special_schools,-0.0005553576900788615
base_ages_65,-0.0005696774086437761
base_voted_VIHR,-0.0005992647587502731
base_industrial_bldgs,-0.000604644485228123
comp_parks_ha,-0.0006267629443351685
base_public_bldgs,-0.0006386385869631139
base_ages_0_6,-0.0006904197665728029
base_apothecaries,-0.0007068137648718054
comp_restaurants,-0.0007073567517947854
base_daycares,-0.0007249350570158741
comp_special_schools,-0.0007336396862922534
base_total_pop,-0.0007370883843115239
base_voted_VASL,-0.0007419185712209675
comp_special_school_pupils,-0.0007683059703144091
base_floorarea_housing_condo,-0.0007963926817310396
base_floorarea_public,-0.0008144419833430172
base_pop_km2,-0.0008238816231979085
base_floorarea_other,-0.0008413338876968046
base_voted_KOK,-0.0008443808770328687
base_floorarea_housing_house,-0.0008655198827932642
comp_post_offices,-0.0008985409072257422
base_voted_PS,-0.0009086977344251457
base_voted_SDP,-0.0009226522491929678
base_voted_RKP,-0.0009407494657368565
base_special_school_pupils,-0.0009815213782228271
comp_forest_ha,-0.001017579651665157
comp_rides_within_sun_night,-0.001132315111897042
comp_voted_VIHR,-0.0011636216321485593
base_playgrounds,-0.001208107348933507
comp_voted_KOK,-0.0012258099780600995
comp_voted_SDP,-0.0012497740271872892
base_middle_schools,-0.0013218562751389218
comp_high_school_students,-0.0013255001816172562
comp_rides_in_mon_day,-0.001334626106776371
comp_rides_in_sun_night,-0.0013408242568393458
comp_rides_in_mon_morning,-0.0013417001389676164
base_primary_school_pupils,-0.0013435665254147855
comp_rides_in_sun_evening,-0.0013475143812633483
comp_rides_in_mon_evening,-0.0013690628059972454
comp_rides_within_sun_evening,-0.0013704290162662724
comp_rides_in_mon_night,-0.0013768820728914388
comp_rides_in_tue_day,-0.001427944566139705
comp_rides_in_tue_evening,-0.001427944566139705
comp_rides_in_tue_morning,-0.0014665127119566357
comp_rides_within_mon_day,-0.0014769314929524713
comp_voted_VASL,-0.0014814040633116532
comp_voted_RKP,-0.0014861048685144151
comp_rides_within_mon_morning,-0.0015065282851173256
comp_churches,-0.001519357909682273
comp_rides_within_mon_evening,-0.001530028927632876
base_high_school_students,-0.0015753614537646898
comp_grocery_shops,-0.001586714751836138
comp_rides_in_tue_night,-0.001596751125892193
comp_rides_in_wed_day,-0.0016429288737855874
comp_rides_in_wed_evening,-0.0016429288737855874
comp_rides_in_wed_morning,-0.0016429288737855874
base_libraries,-0.001664786516187955
comp_rides_in_sun_morning,-0.0016811238989620225
comp_rides_in_sat_evening,-0.0016821295394323643
comp_rides_out_sun_morning,-0.0016825168733323181
comp_rides_in_wed_night,-0.0016831046101577485
comp_rides_in_sat_night,-0.0016909806659607396
comp_rides_in_thu_evening,-0.0016962439560604947
comp_rides_in_thu_night,-0.0016962439560604947
comp_rides_in_fri_evening,-0.0016999225507929872
comp_rides_in_fri_night,-0.0017007382452850495
comp_rides_in_fri_morning,-0.001700979891552712
comp_rides_in_fri_day,-0.001700979891552712
base_middle_school_pupils,-0.0017047246957982987
comp_rides_within_sun_day,-0.0017063033434634445
comp_rides_in_sat_day,-0.0017108487907167014
comp_rides_in_sat_morning,-0.0017108487907167014
comp_bike_stations,-0.001711074459229578
comp_rides_out_sun_day,-0.0017158811296372756
comp_rides_in_thu_day,-0.0017175976860056563
comp_rides_in_thu_morning,-0.0017175976860056563
comp_rides_out_sun_evening,-0.001718696203137804
comp_swim_beaches,-0.0017400771292430672
comp_rides_within_tue_evening,-0.0017514733824073314
comp_rides_in_sun_day,-0.0017858382481882318
comp_rides_within_tue_morning,-0.0018173574909672308
comp_rides_within_tue_day,-0.0018267521105158613
comp_voted_other,-0.0018668479244619007
comp_rides_within_wed_day,-0.001879964530385303
comp_rides_within_sun_morning,-0.0019234622822037473
comp_rides_within_mon_night,-0.0019240930221489094
comp_health_stations,-0.0019380360797091045
comp_rides_out_sun_night,-0.0019426748021624807
comp_rides_within_wed_morning,-0.0019479367566350714
comp_rides_within_wed_evening,-0.001982429302077038
comp_rides_within_tue_night,-0.00198289129134821
comp_rides_out_tue_evening,-0.00198648048427319
comp_rides_out_tue_day,-0.0019949204885806315
comp_rides_out_tue_morning,-0.0019950905595159663
comp_rides_out_wed_morning,-0.002005827150081685
comp_rides_out_wed_day,-0.002005827150081685
comp_rides_out_tue_night,-0.002006131070378059
comp_rides_out_mon_evening,-0.0020128246571122776
comp_rides_out_mon_night,-0.0020128246571122776
comp_rides_out_fri_morning,-0.0020149720417882433
comp_rides_out_fri_day,-0.0020163595949033164
comp_rides_out_fri_evening,-0.0020163595949033164
comp_rides_out_sat_morning,-0.0020163595949033164
comp_rides_out_fri_night,-0.0020163595949033164
comp_rides_out_thu_evening,-0.0020212304308010465
comp_rides_out_thu_day,-0.0020217560388324785
comp_rides_out_wed_night,-0.002023718652741535
comp_rides_out_thu_morning,-0.002023718853668144
comp_rides_out_wed_evening,-0.002024424157795357
base_high_schools,-0.0020259169135966593
comp_rides_out_thu_night,-0.0020276169452509984
comp_rides_out_mon_day,-0.002046578947295097
comp_rides_out_mon_morning,-0.002046858605261437
comp_swimming_halls,-0.0020727911363987994
comp_rides_within_wed_night,-0.0020746697775793077
base_primary_schools,-0.002100856677218821
comp_rides_within_sat_day,-0.0021867337517371688
comp_rides_out_sat_day,-0.002197200791669962
comp_rides_within_sat_night,-0.002201020396773834
comp_rides_out_sat_evening,-0.002203338700639268
comp_rides_out_sat_night,-0.002206846392152295
comp_rides_within_sat_morning,-0.0022433985198629935
comp_rides_within_sat_evening,-0.0022876367952758825
comp_rides_within_fri_evening,-0.002289193013638502
comp_rides_within_thu_evening,-0.002299605632190449
comp_rides_within_thu_day,-0.0023070496147308273
comp_rides_within_fri_night,-0.0023368069847712336
comp_rides_within_thu_night,-0.002340634691484045
comp_rides_within_fri_morning,-0.002341133042883081
comp_rides_within_fri_day,-0.002341133042883081
comp_rides_within_thu_morning,-0.002406577802305354
comp_voted_PS,-0.002735137895353512
