Feature,Importance
base_to_comp_distance,0.06456339544218559
base_cafes_bars,0.00125100889836538
comp_middle_schools,0.0009433802037530636
comp_primary_school_pupils,0.000904501204928021
comp_middle_school_pupils,0.0007878576676267901
comp_high_school_students,0.0007052286464499513
comp_playgrounds,0.0002634013053566253
base_high_schools,0.00022544892039177977
base_homes,0.00020199225341677174
base_public_bldgs,0.00018851387101948003
comp_high_schools,0.00017193040793472836
base_floorarea_housing_condo,0.0001655296660343364
base_daycares,0.00016171114568708234
comp_rides_within_fri_morning,0.0001521048141907011
base_industrial_bldgs,0.00012582093807145256
base_floorarea_housing_house,6.998813376335455e-05
base_business_bldgs,5.208547206436709e-05
comp_rides_within_fri_evening,4.2615769544784854e-05
comp_rides_within_sun_night,4.344467736228097e-06
comp_primary_schools,-5.7384539694504966e-06
comp_rides_within_fri_day,-6.339591817505763e-06
comp_rides_within_fri_night,-1.1359181998016332e-05
comp_rides_within_thu_evening,-1.7293879274293822e-05
base_floorarea_business,-3.145664083104016e-05
comp_rides_within_sat_morning,-3.547855188912319e-05
comp_rides_within_thu_night,-4.246006280017589e-05
base_alkos,-5.3757945495447323e-05
comp_rides_within_sun_day,-7.956276855525246e-05
comp_rides_out_sat_evening,-0.00010409108200193362
comp_rides_within_thu_day,-0.00010519505938677565
comp_rides_within_sun_morning,-0.0001067860742545168
comp_rides_out_sat_night,-0.00010733891843262011
base_floorarea_public,-0.00010807059809381236
base_floorarea_ha,-0.00011872276376945212
comp_rides_within_wed_night,-0.00014784972587056355
comp_rides_within_mon_night,-0.0001538798951455922
comp_rides_out_thu_night,-0.00017806934003550268
comp_rides_within_thu_morning,-0.0001782693071907815
comp_rides_out_thu_morning,-0.00018091092861438618
comp_rides_out_sat_morning,-0.00018165660409941164
comp_rides_out_sat_day,-0.00018165660409941164
comp_rides_out_thu_evening,-0.0001828574019810958
comp_rides_out_fri_morning,-0.00018442079598934846
comp_rides_out_thu_day,-0.00018451300588362418
comp_rides_out_wed_night,-0.00018580967489911782
comp_rides_out_fri_day,-0.00019050315250113137
comp_rides_out_fri_night,-0.00019143830322931876
comp_rides_out_fri_evening,-0.00019143830322931876
comp_rides_within_wed_evening,-0.00019485759343440545
comp_rides_within_wed_day,-0.00019616575841041595
comp_rides_within_sat_day,-0.00019752269467410155
