Feature,Importance
base_to_comp_distance,0.11533869284478326
comp_churches,0.0004165526841038991
comp_rides_within_sat_evening,0.00025025065204431485
comp_rides_within_wed_evening,1.0273773207059023e-05
comp_rides_within_thu_evening,2.897563917247936e-06
comp_rides_within_fri_day,-8.436437673231545e-06
comp_rides_within_fri_evening,-1.0055772514783179e-05
comp_rides_within_fri_night,-2.9101018104937815e-05
comp_rides_within_fri_morning,-5.5772525756836444e-05
comp_high_schools,-7.312377461365926e-05
comp_rides_within_thu_day,-0.0001457370529784896
comp_rides_within_thu_night,-0.00015798741936134952
comp_rides_within_thu_morning,-0.00016165533431089507
comp_rides_within_wed_night,-0.00018342894865186476
comp_rides_within_sat_day,-0.0002152933517087785
comp_rides_within_tue_evening,-0.00023342226654143872
comp_rides_within_sat_night,-0.00024522001039162244
comp_apothecaries,-0.0002492333858936657
comp_rides_within_sun_evening,-0.00026707555689620133
comp_rides_within_mon_evening,-0.0003003276607778105
comp_rides_within_sat_morning,-0.0003053993358391738
comp_voted_VASL,-0.0003172014674962531
comp_voted_KOK,-0.0003246724591055017
comp_voted_VIHR,-0.0003246724591055017
comp_voted_SDP,-0.00033991924940568463
comp_rides_in_tue_evening,-0.0003778987513576304
comp_rides_within_wed_day,-0.00039433548010725517
comp_voted_RKP,-0.0004019575157733213
comp_rides_within_mon_day,-0.00042322562023056065
comp_rides_within_wed_morning,-0.00044758672778943964
comp_rides_within_mon_night,-0.00045190581779930294
comp_forest_ha,-0.000455683163067766
comp_parks_ha,-0.0004563933351633409
comp_rides_within_tue_morning,-0.0004599611095349454
comp_rides_within_tue_day,-0.0004599611095349454
comp_rides_within_tue_night,-0.00046629670724440686
comp_rides_out_sat_morning,-0.00047970527795138107
comp_rides_out_sat_day,-0.00047970527795138107
comp_rides_out_fri_night,-0.0004833056322224305
comp_rides_out_fri_evening,-0.0004883143239402532
comp_rides_out_fri_morning,-0.0004933749345963356
comp_rides_out_fri_day,-0.0004960752846788763
comp_rides_within_mon_morning,-0.0005000049253596206
base_high_schools,-0.0005003724770887841
