Feature,Importance
base_to_comp_distance,0.05698930859704188
base_cafes_bars,0.0025210797791842543
comp_daycares,0.0020180380173274726
comp_middle_schools,0.0019192957407806466
comp_primary_school_pupils,0.001509067610953263
comp_floorarea_industrial,0.0013669281493078334
comp_floorarea_business,0.0012780036819844964
comp_floorarea_housing_condo,0.0012716049454465361
comp_floorarea_public,0.001269464492151151
comp_floorarea_other,0.0012267941506863833
comp_floorarea_ha,0.0011449412303818907
comp_homes,0.0011124859287232614
comp_business_bldgs,0.0010718585162168281
comp_employment_km2,0.000993504656291222
comp_industrial_bldgs,0.000991431451516811
comp_public_bldgs,0.000981078927590584
comp_high_schools,0.0009163412858624875
comp_floorarea_housing_house,0.0008883875153450349
comp_post_offices,0.00086803539346747
comp_sports_halls,0.0008562254326733854
base_voted_VASL,0.0007693441742199214
comp_ages_25_39,0.0007280814066911168
comp_ages_40_64,0.0007234180372828192
comp_ages_19_24,0.0007221540097885892
comp_ages_65,0.0007210850323874363
comp_middle_school_pupils,0.0007140865471592095
comp_primary_schools,0.0006681565805378709
comp_sports_fields,0.0006578776150243382
base_high_school_students,0.0006545377540304598
comp_pop_km2,0.0006468630881837356
comp_retail_jobs,0.0005762528251553878
comp_public_jobs,0.0005753491014905965
comp_transport_jobs,0.000567428008502513
comp_manufacture_jobs,0.0005634205581662721
comp_ages_16_18,0.0005603846524870892
comp_ages_7_15,0.0005595827388398256
comp_ages_0_6,0.0005527746669280464
comp_unemployment,0.0005414955428089119
comp_business_jobs,0.0005396757237492444
comp_avg_pers_income,0.0005066787723065902
comp_median_fam_income,0.0005050311644763106
comp_people_on_social_assistance,0.0004931677750403818
comp_high_school_students,0.000490150068398143
comp_total_pop,0.00046418689396920954
comp_rides_within_sat_night,0.00041712570328344967
base_voted_PS,0.00041282365694783607
base_voted_other,0.00039094549097673514
base_high_schools,0.0002828449325003035
comp_churches,0.00023925187757323219
comp_rides_within_sat_day,0.0001947054415212257
comp_rides_within_sat_evening,0.00019304156657495852
base_voted_RKP,0.00010606587858386085
comp_rides_within_fri_evening,9.086093869914436e-05
comp_rides_within_sat_morning,4.394860461121031e-05
comp_rides_within_fri_day,2.2754374143563183e-05
base_voted_VIHR,7.588380777412418e-06
comp_rides_within_fri_night,6.874694160496908e-06
base_primary_school_pupils,-1.8517242113658128e-05
base_voted_SDP,-2.511232442292677e-05
comp_restaurants,-7.365674716564019e-05
