Feature,Importance
base_to_comp_distance,0.04969574076065597
base_cafes_bars,0.0013424248812510253
base_churches,0.0010417274118539321
base_sports_fields,0.0007167976392047359
base_forest_ha,0.00038112524112809965
base_sports_halls,0.00036583840600379336
comp_public_bldgs,0.00029320949624966897
base_primary_schools,0.0002919034805746179
comp_daycares,0.00022152149571974533
comp_business_jobs,0.00017892578023892547
comp_primary_school_pupils,0.0001775542873841962
comp_public_jobs,0.00017539187601633976
base_primary_school_pupils,0.00013299549100909136
comp_employment_km2,0.00011014477193127536
comp_homes,0.00010743653688261023
comp_business_bldgs,0.00010151819133408235
comp_floorarea_ha,2.505052467038915e-05
comp_high_school_students,1.985389847469765e-05
comp_industrial_bldgs,1.801281422286749e-05
comp_middle_schools,-8.96921544379925e-06
comp_health_stations,-5.9071026239809754e-05
comp_floorarea_public,-0.000126986672506324
comp_libraries,-0.00015284247663149841
base_voted_SDP,-0.00015419639421154763
base_voted_KOK,-0.00015944185179328496
base_voted_RKP,-0.00016317085267636422
base_floorarea_other,-0.0001666989040629563
base_voted_VASL,-0.0001787577773070259
comp_floorarea_other,-0.0001850914590748598
base_floorarea_industrial,-0.0001945581071299829
base_floorarea_public,-0.00019663399613656374
comp_playgrounds,-0.00019764920618592363
comp_floorarea_business,-0.00020326189026120822
comp_floorarea_housing_house,-0.00020857413510400047
comp_floorarea_housing_condo,-0.00021510433834137643
comp_high_schools,-0.00022644695350237942
base_apothecaries,-0.00023077791941072956
base_voted_other,-0.00024215882264710942
base_middle_school_pupils,-0.00024419338196612905
base_total_pop,-0.00024960431154297247
base_pop_km2,-0.0003315253875610935
base_retail_jobs,-0.00034465107522607674
base_voted_VIHR,-0.00035440986502588423
comp_floorarea_industrial,-0.0003599016892698037
base_manufacture_jobs,-0.0004034640706570558
comp_middle_school_pupils,-0.0004041801367636877
comp_ages_0_6,-0.0004941242350758879
comp_transport_jobs,-0.0004955330870342056
base_floorarea_business,-0.0005004214770503168
base_floorarea_housing_condo,-0.0005026577773064034
comp_retail_jobs,-0.0005033925528826755
base_unemployment,-0.0005053591283282755
base_restaurants,-0.0005310159349369847
base_daycares,-0.0005397563796243343
base_avg_pers_income,-0.000567024108861669
base_alkos,-0.0005797963209334123
comp_unemployment,-0.0005858128741508262
comp_people_on_social_assistance,-0.00058792016434428
comp_median_fam_income,-0.0005940326252114048
base_median_fam_income,-0.0005951718703086639
comp_manufacture_jobs,-0.000595245946489964
base_playgrounds,-0.000631289937610191
base_people_on_social_assistance,-0.0006724404185924904
base_ages_19_24,-0.0007070739551601202
comp_total_pop,-0.000714862453471965
base_post_offices,-0.0007280176480107814
comp_ages_16_18,-0.0007350133077742571
comp_ages_25_39,-0.0007437037697464177
comp_avg_pers_income,-0.000744927402514306
comp_ages_7_15,-0.0007455212268159261
comp_ages_40_64,-0.0007465676951957656
comp_ages_65,-0.0007466867141270317
comp_ages_19_24,-0.0007474138443177569
base_ages_25_39,-0.0007535412178546474
base_ages_40_64,-0.0007542402036760931
base_ages_65,-0.000754962569020412
base_ages_16_18,-0.0007837385749116521
base_ages_7_15,-0.000811885762306952
comp_pop_km2,-0.0008453291475334357
base_ages_0_6,-0.0008629896562166728
base_high_schools,-0.0008862638194299111
base_middle_schools,-0.0008941654920732178
base_grocery_shops,-0.0009550475686921356
base_homes,-0.0010112403086960375
base_business_bldgs,-0.0010371671956129758
base_floorarea_ha,-0.0010386937524429207
base_floorarea_housing_house,-0.0010517297839226503
base_parks_ha,-0.00105327893057372
base_industrial_bldgs,-0.0010568650173217176
base_employment_km2,-0.0010634825779834989
base_public_bldgs,-0.0010726898852196909
base_transport_jobs,-0.001084281115334873
base_public_jobs,-0.0011036741044130327
comp_special_school_pupils,-0.001174100069694095
comp_special_schools,-0.0011741941968637093
base_business_jobs,-0.0011882658796251722
base_special_school_pupils,-0.0011955273712893622
base_special_schools,-0.0012019295686634957
base_voted_PS,-0.0012022742055559643
base_high_school_students,-0.0012254906131643484
base_swimming_halls,-0.0012794905481825491
comp_post_offices,-0.0013610919536000132
comp_sports_halls,-0.0014746076003506747
comp_primary_schools,-0.0015622702349697981
base_health_stations,-0.001565833997927757
base_swim_beaches,-0.0015850505434238382
comp_sports_fields,-0.0017085245661023762
base_other_retail,-0.0019027259370327787
comp_churches,-0.0019293745961370679
comp_swimming_halls,-0.0021524131728364315
base_libraries,-0.0022626765830422446
comp_alkos,-0.0026333342999376175
comp_apothecaries,-0.0026929542061817635
comp_rides_within_sat_morning,-0.002876367157577886
comp_rides_within_fri_evening,-0.0028811927802230297
comp_rides_within_fri_day,-0.002881950943127043
comp_rides_within_sat_day,-0.002907703071305723
comp_rides_within_fri_night,-0.0029114272274046726
comp_rides_within_fri_morning,-0.002914361152379752
comp_rides_within_sat_evening,-0.0029544046745673125
comp_rides_within_sat_night,-0.002971236135121069
comp_rides_in_tue_evening,-0.0031093567875420947
comp_swim_beaches,-0.003203992136742162
comp_rides_within_thu_evening,-0.0032772772524298777
comp_other_retail,-0.0033071891305367362
comp_rides_within_thu_night,-0.0033101832288003896
comp_rides_in_mon_evening,-0.003310213260189765
comp_rides_in_mon_night,-0.003310213260189765
comp_rides_in_mon_day,-0.003310213260189765
comp_rides_in_tue_morning,-0.003313987735778845
comp_grocery_shops,-0.003315500593292775
comp_rides_within_wed_evening,-0.0033618734412141915
comp_rides_within_wed_day,-0.003362066508760586
comp_rides_in_mon_morning,-0.003363491440977917
comp_rides_in_tue_day,-0.00337605937455554
comp_rides_within_tue_evening,-0.003385287065824527
comp_rides_within_thu_day,-0.0033860165291974553
comp_rides_in_wed_morning,-0.0033872907214584913
comp_rides_in_tue_night,-0.0033908156779902665
comp_rides_within_thu_morning,-0.003410173102077363
comp_rides_within_mon_evening,-0.003439158965597544
comp_rides_in_wed_evening,-0.003441589299146619
comp_rides_in_wed_day,-0.003441589299146619
comp_rides_within_tue_night,-0.0034484186216269253
comp_rides_within_wed_night,-0.0034501840135972017
comp_rides_within_wed_morning,-0.0034538455055872497
comp_rides_within_tue_day,-0.003486144131543023
comp_rides_within_tue_morning,-0.0034891477830485407
comp_rides_within_sun_morning,-0.0034944692445690873
comp_rides_within_mon_day,-0.0035032468743338985
comp_rides_within_mon_morning,-0.0035080638436044698
comp_restaurants,-0.0035611288554382448
comp_rides_within_sun_night,-0.003561270759146029
comp_rides_within_sun_evening,-0.003561270759146029
comp_rides_within_mon_night,-0.003581623570828474
comp_rides_within_sun_day,-0.0035881409992830626
comp_rides_out_fri_evening,-0.0035933777810491785
comp_rides_out_fri_night,-0.0035933777810491785
comp_rides_out_fri_day,-0.0035933777810491785
comp_rides_out_thu_night,-0.003594626882627572
comp_rides_out_fri_morning,-0.003594626882627572
comp_rides_out_thu_evening,-0.0035998873632092643
comp_rides_out_thu_day,-0.0036008060516895535
comp_rides_out_thu_morning,-0.0036008060516895535
comp_rides_in_sun_evening,-0.003612872967839076
comp_parks_ha,-0.0036132764738547873
comp_forest_ha,-0.0036132764738547873
comp_rides_in_sun_night,-0.0036135508066548194
comp_rides_out_tue_morning,-0.003643582498733644
comp_rides_out_sun_evening,-0.0036451018176650862
comp_rides_out_sun_day,-0.0036451018176650862
comp_rides_out_mon_evening,-0.00364623995312896
comp_rides_out_mon_morning,-0.00364623995312896
comp_rides_out_mon_day,-0.00364623995312896
comp_rides_out_mon_night,-0.0036471119693197718
comp_rides_out_tue_day,-0.003653527341886287
comp_rides_out_tue_evening,-0.003653527341886287
comp_rides_out_tue_night,-0.003653527341886287
comp_rides_out_wed_morning,-0.003653934069099196
comp_rides_out_wed_day,-0.003653934069099196
comp_rides_out_sat_day,-0.0036554144743468076
comp_rides_out_sat_evening,-0.0036554144743468076
comp_rides_out_sat_morning,-0.0036554144743468076
comp_rides_out_sat_night,-0.003656468651528466
comp_rides_out_wed_evening,-0.003659291255924235
comp_rides_out_wed_night,-0.003659291255924235
comp_bike_stations,-0.003681383032374974
comp_rides_in_wed_night,-0.0036896586280927846
comp_rides_in_thu_morning,-0.003690222091507267
comp_rides_in_sat_day,-0.003690643148158257
comp_rides_in_sat_night,-0.0036959494768651346
comp_rides_in_sat_evening,-0.0036959494768651346
comp_rides_out_sun_morning,-0.0036978445957164263
comp_rides_in_sat_morning,-0.0037012412151139484
comp_rides_in_thu_day,-0.0037236209894323524
comp_rides_in_thu_night,-0.003725644444735998
comp_rides_in_thu_evening,-0.003725644444735998
comp_rides_in_fri_morning,-0.003725644444735998
comp_rides_in_fri_day,-0.0037261007019758763
comp_rides_in_fri_night,-0.003728614010977016
comp_rides_in_fri_evening,-0.003728614010977016
comp_voted_RKP,-0.0037343420067856847
comp_voted_VIHR,-0.003736650675263631
comp_rides_out_sun_night,-0.0037642280600234113
comp_rides_in_sun_day,-0.0037745297176305925
comp_voted_VASL,-0.003812193695907018
comp_rides_in_sun_morning,-0.0038519987434595393
comp_cafes_bars,-0.0039153956193606065
comp_voted_SDP,-0.003936681612123016
comp_voted_KOK,-0.003939151895516524
comp_voted_other,-0.004095710608386094
comp_voted_PS,-0.004260992262935748
