Feature,Importance
base_to_comp_distance,0.09587312703658502
base_homes,0.0005718926236122357
comp_special_school_pupils,-0.0009914304536499108
comp_special_schools,-0.0009990953415149884
base_special_school_pupils,-0.0012130899342940316
base_special_schools,-0.0012189855663574667
base_cafes_bars,-0.0012757657850541726
comp_rides_within_wed_evening,-0.0013737035152174837
comp_sports_fields,-0.0013816268547980348
comp_rides_within_wed_day,-0.0014034351975893422
comp_primary_school_pupils,-0.001416619728624835
comp_rides_within_tue_evening,-0.0015235661854015037
comp_churches,-0.001536484503955049
comp_rides_within_thu_day,-0.0015394869425188196
comp_rides_within_wed_morning,-0.001540005224850871
base_swimming_halls,-0.001541874861999637
comp_rides_within_tue_day,-0.0015434159205306441
base_floorarea_ha,-0.001550920702175218
base_industrial_bldgs,-0.0015514553425839406
comp_rides_within_thu_evening,-0.001557145961035955
comp_rides_within_tue_morning,-0.0015571895675817737
comp_high_school_students,-0.0015601140551764203
base_primary_schools,-0.0015698842780522693
comp_rides_within_mon_day,-0.0015773886672557635
comp_rides_within_thu_morning,-0.0015899099701249808
comp_rides_within_mon_evening,-0.0016062409179866677
comp_rides_within_mon_morning,-0.0016221632709052525
comp_rides_within_tue_night,-0.0016243801081493592
comp_rides_within_wed_night,-0.0016411835527732066
comp_rides_within_sun_night,-0.0016431755907724277
base_playgrounds,-0.0016481150496562291
comp_middle_schools,-0.0016551430438178638
comp_rides_within_thu_night,-0.0016639151472029878
base_floorarea_business,-0.001668595276671847
base_business_bldgs,-0.001687850467057106
comp_rides_within_sun_evening,-0.001693630636900978
comp_rides_within_sun_day,-0.0017180416055883052
comp_rides_within_mon_night,-0.0017192010108673106
base_public_bldgs,-0.0017225541098330188
base_floorarea_housing_condo,-0.0017522682087464103
base_daycares,-0.0017553926267863673
base_floorarea_housing_house,-0.0017634972611973998
base_libraries,-0.0017761421463488025
comp_rides_within_sun_morning,-0.0017993053301382789
base_floorarea_industrial,-0.0018090723362382821
comp_middle_school_pupils,-0.001822729345330898
base_voted_SDP,-0.001832012517756998
comp_rides_within_fri_morning,-0.0018464616777728038
base_sports_fields,-0.0018665126534579413
comp_rides_within_sat_day,-0.0019369857471530638
base_employment_km2,-0.0019420725694179186
comp_rides_within_fri_evening,-0.0019563000915198137
comp_rides_within_fri_day,-0.0019748300303095156
comp_rides_within_sat_morning,-0.001977681638737794
comp_rides_within_sat_night,-0.0019803579672034166
base_post_offices,-0.0019923774047883036
comp_rides_within_fri_night,-0.002001072833268225
comp_rides_out_fri_morning,-0.002002511816923347
comp_rides_out_fri_evening,-0.002005040426608651
comp_rides_out_fri_day,-0.002005040426608651
comp_rides_out_fri_night,-0.002005040426608651
comp_rides_out_wed_night,-0.002020733520431306
base_grocery_shops,-0.0020337585570382455
comp_rides_out_thu_night,-0.002034003861217215
base_floorarea_other,-0.0020401653368338213
comp_rides_out_thu_morning,-0.00204211570847479
comp_rides_out_thu_evening,-0.00204211570847479
comp_rides_out_thu_day,-0.00204211570847479
comp_rides_within_sat_evening,-0.0020427364697532813
comp_swimming_halls,-0.0020675578335070943
base_business_jobs,-0.0020912043124243773
base_middle_schools,-0.0020961915311119572
comp_sports_halls,-0.0020978403656219946
base_restaurants,-0.002149489981485231
base_voted_KOK,-0.00215741147688453
base_high_schools,-0.0022196385085542225
comp_rides_out_sat_night,-0.0022468378899999086
comp_rides_out_sat_morning,-0.002248405548430865
comp_rides_out_sat_day,-0.002248405548430865
comp_rides_out_sat_evening,-0.002248405548430865
base_public_jobs,-0.002277397723173702
comp_rides_in_tue_evening,-0.0023405622826764283
base_apothecaries,-0.002342962830532369
base_alkos,-0.0023878887561381568
comp_rides_out_sun_day,-0.002399729243518167
comp_rides_out_sun_evening,-0.002399729243518167
comp_rides_out_wed_day,-0.002402184749883185
comp_rides_out_tue_night,-0.002407705248323566
comp_rides_out_tue_day,-0.002407809523611748
comp_rides_out_tue_evening,-0.002407809523611748
comp_rides_out_wed_morning,-0.002408204567343697
comp_rides_out_tue_morning,-0.0024106277342325066
comp_rides_out_mon_day,-0.002410804243634712
comp_rides_out_mon_evening,-0.002410804243634712
comp_rides_out_mon_night,-0.002411233994458639
comp_rides_out_wed_evening,-0.0024117166277305424
comp_rides_out_mon_morning,-0.0024127892298744236
comp_rides_in_tue_night,-0.0024169139849967713
comp_rides_in_sat_night,-0.002417772049869038
comp_rides_in_fri_morning,-0.002425170701575441
comp_rides_in_fri_day,-0.002426200839111603
comp_rides_in_fri_night,-0.002426200839111603
comp_rides_in_fri_evening,-0.002426200839111603
base_other_retail,-0.0024264301686750533
comp_rides_in_sat_evening,-0.0024296839215410815
comp_rides_out_sun_morning,-0.0024316854246189124
comp_rides_in_thu_evening,-0.002439351368947351
comp_rides_in_thu_night,-0.002439351368947351
comp_rides_in_sat_day,-0.00244397997724366
comp_rides_in_sat_morning,-0.00244397997724366
comp_rides_in_thu_day,-0.0024490771016634216
