Feature,Importance
base_to_comp_distance,0.07139737411037783
base_public_bldgs,0.0005800435092653267
base_industrial_bldgs,0.00043545245760534534
base_floorarea_housing_house,0.00036135026863559627
base_business_jobs,0.0003509561194813271
base_floorarea_ha,0.00030180967022785943
base_floorarea_housing_condo,0.00021760775881329852
base_floorarea_business,0.00019184088128965104
base_floorarea_industrial,0.00012719768079139104
base_business_bldgs,9.409097627133267e-05
base_public_jobs,3.9094949139339974e-05
base_employment_km2,-3.256851985378173e-05
base_floorarea_other,-4.534107422338174e-05
base_other_retail,-7.163907666574154e-05
base_grocery_shops,-0.00010485405351123855
base_daycares,-0.00014222829278287552
base_floorarea_public,-0.00020008281072680933
base_forest_ha,-0.0002148710899646522
base_parks_ha,-0.00022174188842760678
base_ages_65,-0.00023213672758382042
base_alkos,-0.00023342043314189542
base_manufacture_jobs,-0.00030316958406484407
base_median_fam_income,-0.00033867173375967674
base_avg_pers_income,-0.00037618621706092537
base_unemployment,-0.0003974051196498074
base_people_on_social_assistance,-0.0004101120951570669
base_retail_jobs,-0.0004182310064059225
base_restaurants,-0.00041831658935320704
base_homes,-0.0004762792042659614
base_high_schools,-0.0004765244128505097
base_middle_schools,-0.0004969839490819306
base_health_stations,-0.0006006494219173986
base_cafes_bars,-0.0006429433551721209
base_ages_40_64,-0.0006516485075930278
base_ages_25_39,-0.0006703141116164435
base_high_school_students,-0.0006707913711098135
base_apothecaries,-0.0006789258985555602
base_middle_school_pupils,-0.0007200555930556574
base_ages_16_18,-0.0007261029215750447
base_ages_19_24,-0.0007413402786292655
base_ages_7_15,-0.0007941584596869999
base_swimming_halls,-0.0008027294498917925
base_special_schools,-0.0008683944226484108
base_primary_schools,-0.0008755795724419979
base_playgrounds,-0.0009132193804121114
base_churches,-0.0009672706053828195
base_primary_school_pupils,-0.0009699979995568819
base_special_school_pupils,-0.0009763037937781105
base_transport_jobs,-0.0009774989132812495
base_voted_RKP,-0.001020890025238641
base_libraries,-0.0010655527657930097
comp_primary_schools,-0.0011268720054844472
comp_floorarea_business,-0.0011440998083915854
comp_floorarea_industrial,-0.001144397161805144
base_total_pop,-0.001157939699611088
comp_special_school_pupils,-0.0011597105495388949
comp_business_bldgs,-0.0011874314053382795
comp_business_jobs,-0.0011953796263577399
comp_floorarea_other,-0.001199691284971327
comp_daycares,-0.001212505157299093
comp_industrial_bldgs,-0.0012125599421426436
comp_employment_km2,-0.0012173233825532037
base_ages_0_6,-0.0012180304681911336
base_voted_VASL,-0.0012277462765912794
comp_public_bldgs,-0.0012427085789717962
comp_public_jobs,-0.0012566442864179184
comp_floorarea_public,-0.001279949791357815
comp_floorarea_housing_house,-0.001285562048314648
comp_floorarea_ha,-0.0012937824642161866
comp_total_pop,-0.0012945730157986057
comp_floorarea_housing_condo,-0.0013093278201345981
comp_pop_km2,-0.0013375920096263538
base_voted_other,-0.0013932828274607623
base_sports_fields,-0.0013976369836058433
comp_high_school_students,-0.0014303971070037669
comp_transport_jobs,-0.0014399074829040126
comp_retail_jobs,-0.0014798894199573587
comp_manufacture_jobs,-0.0014881611765402702
base_voted_KOK,-0.001507606796785299
comp_special_schools,-0.0015139337349553417
base_sports_halls,-0.0015360005110416353
base_voted_VIHR,-0.0015587057444588215
