Feature,Importance
base_to_comp_distance,0.07499788236017546
base_apothecaries,0.0018912884331202529
base_churches,0.0016539747085622114
base_primary_schools,0.0014303427990204343
base_primary_school_pupils,0.0012532180616952049
base_daycares,0.0011598284871443543
base_playgrounds,0.0010758339290112273
base_post_offices,0.0010539660564051756
base_middle_school_pupils,0.0010045650050597432
base_high_schools,0.0009610497584936484
base_high_school_students,0.0009347970228462676
base_middle_schools,0.0009255051410999027
comp_swimming_halls,0.0006221709265503694
base_floorarea_other,0.0006047680380039111
base_business_bldgs,0.00046975014650663116
base_floorarea_industrial,0.0004623718664565901
base_floorarea_public,0.0004222018728614607
comp_retail_jobs,0.0004058130658249892
base_transport_jobs,0.00036628887966783097
comp_homes,0.0003585294406505124
base_business_jobs,0.0003339877265753355
base_floorarea_housing_condo,0.0003184949654674307
base_industrial_bldgs,0.0003086897480587547
base_parks_ha,0.00026116697978062486
base_homes,0.0002596362035514055
comp_people_on_social_assistance,0.0002543783201631733
base_floorarea_ha,0.00025278278729323755
comp_ages_0_6,0.0002493731077762851
base_libraries,0.00024330199691890986
comp_rides_out_fri_morning,0.00020236526857275727
comp_rides_out_sat_night,0.0001840980899295852
base_employment_km2,0.00018103981629813415
base_public_bldgs,0.00014642090439020983
comp_manufacture_jobs,0.00013777582561524948
comp_rides_out_sat_evening,0.00011759159015412024
base_floorarea_business,0.00010803939823456066
comp_rides_out_sat_day,0.00010450046093002374
comp_rides_out_thu_night,9.830015533363046e-05
comp_rides_out_fri_evening,9.73007321268815e-05
comp_rides_out_fri_day,9.73007321268815e-05
base_other_retail,9.695648017726821e-05
comp_rides_out_sat_morning,8.800402704578492e-05
base_floorarea_housing_house,7.8445260557225e-05
comp_rides_out_fri_night,7.248785664604185e-05
base_public_jobs,5.085783755232054e-05
comp_ages_16_18,4.509423125154122e-05
comp_ages_7_15,4.509423125154122e-05
comp_employment_km2,3.997090202279008e-05
base_forest_ha,3.6499134569600855e-05
base_ages_25_39,2.3896172113735403e-05
comp_ages_19_24,2.2088401028463878e-05
base_restaurants,1.580840822834606e-05
comp_ages_65,1.5392341003117593e-05
comp_total_pop,1.3569503504728964e-05
comp_ages_25_39,6.322623546939354e-08
base_ages_19_24,-1.651874171559875e-06
comp_public_bldgs,-1.2383970132145983e-05
comp_alkos,-2.9985854930081324e-05
comp_ages_40_64,-3.328159769533379e-05
comp_avg_pers_income,-3.735676812732791e-05
base_sports_halls,-3.892728282206548e-05
comp_business_jobs,-4.066191611584724e-05
comp_median_fam_income,-4.91896976207995e-05
base_swim_beaches,-5.665904057583493e-05
comp_rides_out_thu_morning,-6.31385685609942e-05
comp_rides_out_thu_day,-6.31385685609942e-05
comp_rides_out_mon_evening,-7.519827168755988e-05
comp_rides_out_thu_evening,-8.077392406158346e-05
comp_rides_out_mon_day,-8.544828934564652e-05
comp_rides_out_mon_morning,-9.385531702166272e-05
comp_rides_out_sun_night,-9.698517685385877e-05
base_health_stations,-0.00010897514187946378
comp_rides_out_wed_day,-0.00010902102944210235
comp_rides_out_wed_night,-0.00012454659823402103
comp_floorarea_ha,-0.00012616036934109953
comp_industrial_bldgs,-0.00013378403592056998
base_unemployment,-0.0001419180229590422
comp_rides_out_wed_evening,-0.000145787025022881
base_ages_16_18,-0.0001764081757196223
base_people_on_social_assistance,-0.0001879115204636017
base_median_fam_income,-0.00019702894906048485
base_avg_pers_income,-0.00019702894906048485
comp_floorarea_industrial,-0.00019872220816896657
comp_pop_km2,-0.00020496957896032342
base_retail_jobs,-0.0002063606519817629
comp_floorarea_business,-0.00021165129963129914
comp_unemployment,-0.00021192383502166567
base_manufacture_jobs,-0.00021263422329498294
base_ages_40_64,-0.00021479520173639521
comp_floorarea_housing_house,-0.00022964260162339212
comp_sports_fields,-0.00023183075094801442
comp_health_stations,-0.00023555868211444508
comp_transport_jobs,-0.0002411495924045104
comp_floorarea_housing_condo,-0.0002548486197141431
base_ages_65,-0.0002603959114483301
comp_libraries,-0.00026745102548608735
comp_restaurants,-0.00028304490054076314
comp_business_bldgs,-0.0002886705174894866
base_voted_PS,-0.00028967761654208335
base_total_pop,-0.0002920174979772483
base_voted_other,-0.00029456726416177137
comp_post_offices,-0.0002975574144276072
comp_public_jobs,-0.0003016372017418112
comp_floorarea_public,-0.0003227712122692017
base_grocery_shops,-0.0003237773251749676
comp_rides_out_mon_night,-0.0003386791656052601
comp_rides_out_tue_night,-0.0003876568216525378
comp_rides_out_wed_morning,-0.0003908002946643174
comp_floorarea_other,-0.0004076983928089639
comp_daycares,-0.0004138985813685325
base_sports_fields,-0.00042050199947774036
base_voted_RKP,-0.0004372440936297739
base_voted_VIHR,-0.000464297278521264
base_ages_7_15,-0.00047148401578067656
base_voted_KOK,-0.00047156201337406056
base_voted_SDP,-0.00047793240261151393
base_voted_VASL,-0.0005319550350225688
comp_playgrounds,-0.000561289141356891
comp_rides_out_tue_evening,-0.0006172567668381035
comp_rides_out_tue_day,-0.0006172567668381035
comp_rides_out_tue_morning,-0.0006217082095817394
comp_churches,-0.0006395605524052161
comp_sports_halls,-0.0006580025577612725
comp_forest_ha,-0.0006666657136205068
base_ages_0_6,-0.0006761515231771265
comp_primary_schools,-0.0007012569800551871
comp_rides_in_thu_day,-0.000715709959214661
comp_rides_in_thu_morning,-0.0007172311044819635
comp_rides_in_wed_night,-0.0007172311044819635
comp_rides_in_fri_night,-0.0007296830534420096
comp_rides_in_fri_day,-0.0007329049903285201
comp_rides_in_fri_evening,-0.0007329049903285201
comp_rides_in_thu_night,-0.0007364282715576209
comp_rides_in_thu_evening,-0.0007364282715576209
comp_rides_in_fri_morning,-0.0007364282715576209
base_cafes_bars,-0.0007391621530650205
comp_rides_out_sun_evening,-0.0007784276379150246
comp_rides_out_sun_morning,-0.0008187505134018558
comp_rides_out_sun_day,-0.0008187505134018558
comp_rides_in_sat_evening,-0.0008340091542250461
comp_rides_in_sat_morning,-0.0008391112188851357
comp_rides_in_sat_day,-0.0008391112188851357
comp_rides_in_sat_night,-0.0008502938818490957
base_alkos,-0.0008678407785853715
comp_parks_ha,-0.000868448750506956
comp_grocery_shops,-0.0008716410966915777
comp_other_retail,-0.0008726807166483663
comp_high_schools,-0.0009350833398587
comp_rides_in_wed_evening,-0.0009399580160657228
comp_high_school_students,-0.0009415077947309003
comp_rides_in_tue_morning,-0.0009472314601559617
comp_rides_in_tue_day,-0.0009472314601559617
comp_rides_in_tue_evening,-0.0009472314601559617
comp_rides_in_tue_night,-0.0009472314601559617
comp_rides_in_wed_morning,-0.0009472314601559617
comp_rides_in_wed_day,-0.0009472314601559617
comp_apothecaries,-0.0009579469840991228
base_swimming_halls,-0.000992029661102789
comp_rides_in_mon_evening,-0.0010650150486901655
comp_rides_in_mon_day,-0.0010650150486901655
comp_rides_in_mon_night,-0.0010816791931499425
comp_rides_in_sun_evening,-0.0011189966144650176
comp_rides_in_sun_day,-0.0011283176510172854
comp_rides_in_mon_morning,-0.0011410912466122136
comp_rides_in_sun_night,-0.0011410912466122136
comp_rides_in_sun_morning,-0.001167546276050535
base_special_school_pupils,-0.001193485555799234
base_special_schools,-0.0011955120215754178
comp_cafes_bars,-0.0012105026923682205
comp_primary_school_pupils,-0.0013551716497635091
comp_middle_school_pupils,-0.0014259839794080742
comp_bike_stations,-0.0014571080433632977
comp_swim_beaches,-0.0015082467657819842
base_pop_km2,-0.0015086540173691043
comp_voted_VASL,-0.0015812995428802212
comp_voted_PS,-0.0016646601096328428
comp_voted_other,-0.0017039959064042431
comp_middle_schools,-0.0017770656229491033
comp_voted_RKP,-0.001802538490292216
comp_voted_SDP,-0.0018923837734323712
comp_voted_KOK,-0.0019482217537678537
comp_voted_VIHR,-0.001980544773279136
comp_special_schools,-0.002289358964389865
comp_special_school_pupils,-0.002356792485174397
