Feature,Importance
base_to_comp_distance,0.031244374082115667
comp_swimming_halls,-0.0008151315060441755
base_swim_beaches,-0.0017724163921084557
comp_libraries,-0.0018372258012498976
base_sports_fields,-0.0018600119486620326
base_special_schools,-0.0018621781332099907
base_sports_halls,-0.00196301045447822
base_cafes_bars,-0.002104756180881906
base_other_retail,-0.002136593206607418
comp_primary_schools,-0.0021373729353491022
base_churches,-0.002149917500962162
base_restaurants,-0.0021552223823212424
base_public_bldgs,-0.002164003679517301
base_grocery_shops,-0.0022329677848906826
base_special_school_pupils,-0.002236005431184962
base_high_schools,-0.002278886713263928
base_playgrounds,-0.0022874989055579054
base_business_bldgs,-0.00228751786272563
base_alkos,-0.0023116350701150035
comp_rides_in_fri_evening,-0.0023187047078807588
comp_rides_in_fri_night,-0.002340502440217662
base_primary_schools,-0.002341158753474182
comp_high_school_students,-0.0023860771914632206
comp_high_schools,-0.002404696766943548
comp_health_stations,-0.0024249899107495754
comp_apothecaries,-0.0024255978081292318
comp_ages_0_6,-0.002439565405232602
base_health_stations,-0.0025346075654677502
base_manufacture_jobs,-0.0025408522707799364
comp_sports_halls,-0.002546595750244518
comp_primary_school_pupils,-0.002559709005246491
comp_middle_schools,-0.0025937491910520416
base_forest_ha,-0.002609215131335607
base_high_school_students,-0.0026168698295577775
comp_sports_fields,-0.0026205069170304185
base_floorarea_ha,-0.002622677655152117
base_parks_ha,-0.002630747472604389
base_ages_0_6,-0.002631900690615252
comp_homes,-0.0026505938336971457
comp_voted_PS,-0.0026930774961558823
comp_voted_VASL,-0.0026978775552756185
base_transport_jobs,-0.002716227102538382
base_homes,-0.0027209143676238945
base_employment_km2,-0.002726384633433221
base_total_pop,-0.002741955061003054
base_primary_school_pupils,-0.00275614543656455
base_unemployment,-0.0027677535878690707
base_people_on_social_assistance,-0.0027693104046668804
comp_voted_other,-0.0027796040708104597
comp_rides_in_sun_night,-0.00278523809142206
comp_rides_in_sun_evening,-0.0027878930438067773
base_retail_jobs,-0.002789440584575864
base_middle_schools,-0.0027980442329533783
base_industrial_bldgs,-0.0027988407021073414
comp_rides_in_thu_morning,-0.0028027722577794734
comp_rides_in_wed_evening,-0.0028027722577794734
comp_rides_in_thu_day,-0.0028027722577794734
comp_rides_in_wed_night,-0.0028027722577794734
comp_pop_km2,-0.0028065329410236206
comp_rides_in_sun_day,-0.0028067101584370313
comp_rides_in_sun_morning,-0.0028069543763441507
comp_rides_in_sat_morning,-0.002811231626349997
comp_rides_in_sat_evening,-0.002811231626349997
comp_rides_in_sat_day,-0.002811231626349997
comp_rides_in_sat_night,-0.002811231626349997
comp_rides_in_thu_evening,-0.0028113831243938847
comp_rides_in_thu_night,-0.0028132456660626692
comp_rides_in_tue_night,-0.002816148230742499
comp_rides_in_fri_day,-0.002819733616900466
comp_rides_in_fri_morning,-0.0028237438574240104
base_voted_VIHR,-0.002824009494636792
base_pop_km2,-0.002839297742443403
comp_rides_in_wed_morning,-0.0028546018361014225
comp_rides_in_wed_day,-0.0028546018361014225
comp_rides_in_mon_evening,-0.00286258676647122
comp_rides_out_sun_morning,-0.002867902538817857
comp_churches,-0.00287949862702519
comp_rides_in_mon_day,-0.0028814016953316868
comp_rides_in_tue_evening,-0.0028819273114766286
comp_rides_out_sun_evening,-0.0028835330779143353
comp_rides_in_tue_day,-0.0028846583260880854
comp_rides_in_tue_morning,-0.0028846583260880854
comp_rides_out_sun_day,-0.0028853693568214878
comp_rides_in_mon_night,-0.0028858203293443685
base_public_jobs,-0.0028887640259139813
comp_rides_in_mon_morning,-0.0028906198139934114
base_median_fam_income,-0.002892762662918158
comp_middle_school_pupils,-0.0029015678636014064
base_voted_KOK,-0.0029054809359412292
base_voted_SDP,-0.002905970249591827
base_post_offices,-0.002908772163206619
comp_unemployment,-0.0029490644836098756
comp_rides_out_tue_morning,-0.002956141627666664
comp_rides_out_mon_night,-0.002956141627666664
comp_ages_7_15,-0.002959110893861916
comp_ages_16_18,-0.002959582106520142
comp_rides_out_wed_morning,-0.0029620832663048713
comp_rides_out_tue_night,-0.0029620832663048713
comp_rides_out_wed_evening,-0.0029620832663048713
