Feature,Importance
base_to_comp_distance,0.08768953370742649
base_median_fam_income,-5.502676014401686e-05
base_total_pop,-0.00017210898856678813
base_people_on_social_assistance,-0.0003726512542517879
base_business_jobs,-0.00040483798383039726
base_ages_65,-0.000420059654961058
base_avg_pers_income,-0.0004630387539472647
base_unemployment,-0.0004634829287600839
base_homes,-0.0005106557675712553
base_employment_km2,-0.0005175501856895526
base_public_jobs,-0.0005479842600613072
base_pop_km2,-0.000593888738742443
base_manufacture_jobs,-0.0006010669917529965
base_daycares,-0.0006720423236410422
base_ages_16_18,-0.0006849839587427242
base_retail_jobs,-0.0007011983704247049
base_ages_40_64,-0.0007426346126966354
base_business_bldgs,-0.0008846241465023663
base_transport_jobs,-0.0009064576372666
base_ages_0_6,-0.0009564186941111164
base_ages_19_24,-0.000964370277686144
base_public_bldgs,-0.0009686926127940865
base_floorarea_housing_house,-0.0010062021457203363
base_floorarea_ha,-0.0010102407065391006
base_floorarea_industrial,-0.001031539798434844
base_ages_7_15,-0.0010337294146454123
base_floorarea_public,-0.0010732181964266951
comp_apothecaries,-0.0011105646861879759
base_ages_25_39,-0.0011167201336608201
base_floorarea_other,-0.0011328844363230894
base_floorarea_business,-0.0011505763450065931
base_floorarea_housing_condo,-0.0011674996551560568
base_industrial_bldgs,-0.0013091242342913034
comp_voted_VIHR,-0.0014992163425521232
comp_people_on_social_assistance,-0.0015880271305787064
comp_voted_KOK,-0.0016047703264129298
comp_grocery_shops,-0.0016610834898324045
comp_voted_VASL,-0.0016613390344899504
comp_voted_SDP,-0.0016866690838939213
comp_voted_RKP,-0.0016879855800163712
base_special_schools,-0.0017172097245108375
comp_voted_PS,-0.0017256130669440761
comp_avg_pers_income,-0.001741052919530972
comp_voted_other,-0.0017581394755378232
comp_alkos,-0.0017988480206867496
comp_rides_in_sun_morning,-0.0018139489771076267
comp_rides_out_fri_evening,-0.0018254917172417784
comp_rides_out_fri_night,-0.0018280459576573982
comp_rides_out_tue_morning,-0.0018314155545494648
comp_rides_out_tue_day,-0.0018314155545494648
comp_rides_out_tue_evening,-0.0018314155545494648
comp_rides_out_mon_night,-0.0018314155545494648
comp_rides_out_sat_morning,-0.0018360867981997986
comp_rides_out_tue_night,-0.0018367973268185178
comp_rides_in_tue_day,-0.0018467552470384785
comp_rides_in_tue_evening,-0.0018467552470384785
comp_rides_in_mon_evening,-0.0018480845164591253
comp_cafes_bars,-0.0018486369012494785
comp_rides_in_mon_night,-0.0018516178266649863
comp_bike_stations,-0.001852255689440807
comp_rides_in_tue_morning,-0.0018527874942793066
comp_rides_in_thu_day,-0.001855057832668039
comp_rides_in_sun_evening,-0.0018679827023877493
comp_rides_in_sun_night,-0.0018679827023877493
comp_restaurants,-0.0018697988752597317
comp_rides_in_mon_morning,-0.0018703288310643051
comp_rides_in_mon_day,-0.0018703288310643051
comp_rides_in_wed_day,-0.0018722564225839289
comp_total_pop,-0.001872728010037239
comp_rides_in_sun_day,-0.001874764605729884
comp_rides_out_thu_night,-0.0018759509091661464
comp_rides_in_tue_night,-0.0018795583263176985
comp_rides_in_wed_morning,-0.0018795583263176985
comp_rides_in_wed_evening,-0.0018808107665907459
comp_rides_out_wed_night,-0.0018862150034133496
comp_rides_out_thu_evening,-0.0018864660914179598
comp_rides_in_thu_morning,-0.001892477979217655
comp_rides_out_fri_day,-0.001892918319608916
comp_rides_out_fri_morning,-0.001892918319608916
comp_rides_in_wed_night,-0.0018964613047002254
comp_rides_out_wed_evening,-0.0018990098693062452
comp_rides_out_wed_morning,-0.001901135948507049
comp_rides_out_wed_day,-0.001901135948507049
comp_forest_ha,-0.0019030315352589477
comp_median_fam_income,-0.0019034237955020128
comp_rides_out_thu_morning,-0.0019196117237105792
comp_swim_beaches,-0.0019224860431821256
comp_rides_out_thu_day,-0.0019269059410087497
comp_rides_out_mon_evening,-0.001933153305246238
comp_rides_out_mon_day,-0.0019403747825199602
comp_manufacture_jobs,-0.0019446903649261715
comp_libraries,-0.0019475771513131068
comp_retail_jobs,-0.0019553864972551294
comp_rides_out_mon_morning,-0.001961327807151303
comp_rides_out_sun_night,-0.001962030231299816
comp_sports_halls,-0.0019819694914080532
base_special_school_pupils,-0.001985508731485286
comp_unemployment,-0.002034034112629257
comp_rides_out_sat_evening,-0.0020434237991098225
comp_rides_out_sat_night,-0.0020434237991098225
comp_rides_out_sat_day,-0.0020447363281554942
comp_parks_ha,-0.002134914218557271
comp_public_jobs,-0.0021351889015235326
comp_churches,-0.0021467121014457913
comp_other_retail,-0.0022119321051545793
comp_pop_km2,-0.002229494253068065
comp_transport_jobs,-0.0022520164649844077
comp_ages_16_18,-0.0023035743475209314
comp_ages_65,-0.002309151364790707
comp_ages_19_24,-0.00233367815086305
comp_ages_7_15,-0.00233582922806419
comp_ages_0_6,-0.0023566565782726645
comp_ages_40_64,-0.002362054394343005
comp_business_jobs,-0.0023793352173103743
base_grocery_shops,-0.00238088744398246
base_swim_beaches,-0.002400644701480048
comp_ages_25_39,-0.0024225562026252145
comp_rides_in_thu_evening,-0.0024344508237060802
comp_rides_in_fri_evening,-0.002436450083121544
comp_rides_in_fri_day,-0.002436450083121544
comp_rides_in_fri_morning,-0.002437291806927644
comp_rides_in_thu_night,-0.002437291806927644
comp_rides_in_fri_night,-0.002440521691752129
base_cafes_bars,-0.002452569425574813
comp_rides_in_sat_evening,-0.0024530713399315562
comp_rides_in_sat_day,-0.0024530713399315562
comp_rides_in_sat_morning,-0.0024530713399315562
comp_rides_in_sat_night,-0.0024530713399315562
comp_rides_out_sun_morning,-0.002458813354202949
comp_industrial_bldgs,-0.002470078217596927
base_restaurants,-0.002508474424851581
comp_employment_km2,-0.0025289270244059914
comp_rides_out_sun_day,-0.0025737464890228656
comp_rides_out_sun_evening,-0.0025748463809474043
comp_business_bldgs,-0.0025940604425850333
comp_middle_schools,-0.002659588834548199
comp_public_bldgs,-0.002666481083849037
comp_post_offices,-0.0027002245437720562
comp_health_stations,-0.0027018884957481504
comp_floorarea_other,-0.002706747351982841
comp_swimming_halls,-0.002708311157684218
comp_daycares,-0.0027240696708722423
comp_floorarea_housing_house,-0.0027373065220425152
comp_floorarea_housing_condo,-0.0027533964431848412
comp_floorarea_ha,-0.0027632000868370588
base_other_retail,-0.0027870250731457658
base_voted_SDP,-0.0027969663771039155
comp_floorarea_business,-0.002798567251431683
base_voted_PS,-0.002824050888832308
base_forest_ha,-0.002831272914519567
comp_sports_fields,-0.002844616484977469
comp_homes,-0.002876581328718153
comp_primary_schools,-0.0028802326423205127
base_voted_RKP,-0.0028804657729889493
comp_floorarea_industrial,-0.002881248794081359
base_parks_ha,-0.002897071378858973
base_apothecaries,-0.002903953803062853
base_voted_VIHR,-0.002905624160181808
base_voted_KOK,-0.002918465467518061
comp_floorarea_public,-0.002941714063310341
base_voted_other,-0.002942386695601318
base_voted_VASL,-0.0029772640356269253
base_high_school_students,-0.002985326315778969
comp_special_school_pupils,-0.002993855120224098
base_sports_fields,-0.003034107051693824
base_alkos,-0.003040995731362739
base_health_stations,-0.0030602679138981292
comp_high_school_students,-0.0030740406603664283
comp_middle_school_pupils,-0.0031228139203076655
base_middle_school_pupils,-0.0031385636770999703
comp_primary_school_pupils,-0.0031704207687789365
base_high_schools,-0.0031899029419883984
base_primary_school_pupils,-0.0031935751453787686
base_sports_halls,-0.003215841971325739
base_churches,-0.0032257688941946805
comp_special_schools,-0.0032543146698976733
base_middle_schools,-0.00330593944130686
comp_high_schools,-0.0033968219744926476
base_primary_schools,-0.003459852705562816
base_libraries,-0.003545866153248367
base_playgrounds,-0.0036243793583818906
base_post_offices,-0.0038736688942418995
