Feature,Importance
base_public_jobs,0.0028823223886248472
base_business_jobs,0.002798338326042371
base_business_bldgs,0.002771487846616294
base_employment_km2,0.0026199933833067623
base_to_comp_distance,0.002545096543213443
base_industrial_bldgs,0.0023579451143553865
base_public_bldgs,0.00230493296959966
base_homes,0.002201265690405352
base_floorarea_industrial,0.0019466090295530147
base_floorarea_housing_condo,0.0018855951833822715
base_floorarea_business,0.0017851072453629602
base_floorarea_ha,0.0017519797796520242
base_sports_fields,0.0017311256963153943
base_churches,0.0017209967745508425
base_floorarea_housing_house,0.0016906312350642994
base_floorarea_public,0.0015754635806346506
base_median_fam_income,0.001526109246043128
base_people_on_social_assistance,0.0014196697845267892
base_swimming_halls,0.0013843763516661056
base_transport_jobs,0.0012860386908535304
base_ages_25_39,0.0011920123555770878
base_ages_19_24,0.0011763684174502798
base_avg_pers_income,0.0011569961192638978
base_primary_schools,0.0011392461627914852
base_sports_halls,0.0011236207256142272
base_ages_40_64,0.0011188765701447556
base_primary_school_pupils,0.0011151992222425688
base_unemployment,0.0011148829864364718
base_ages_65,0.001102668860821443
base_ages_16_18,0.0010873216999510715
base_retail_jobs,0.001078349385842614
base_ages_7_15,0.0010778142987862838
base_ages_0_6,0.0010718628961073895
base_manufacture_jobs,0.0010409626476967082
base_total_pop,0.0009278494088484912
base_daycares,0.0008187376227377641
base_middle_school_pupils,0.0007853799724196753
base_health_stations,0.0005860406924651507
base_alkos,0.0005275348654771861
base_pop_km2,0.00040937057184242676
base_floorarea_other,0.000366147687974272
base_high_schools,0.00027207882137081363
base_post_offices,0.0002699000951191799
base_libraries,0.0002517311191333471
base_playgrounds,9.746224191575781e-05
base_grocery_shops,-6.984793613740159e-05
base_middle_schools,-0.00015019209030697755
base_other_retail,-0.0003981204765417523
base_high_school_students,-0.0006265059004149087
base_apothecaries,-0.0007733091702947226
base_restaurants,-0.0007942280986187322
base_forest_ha,-0.0008250100176196984
base_swim_beaches,-0.0008892327462667327
comp_post_offices,-0.0009155111954990414
comp_churches,-0.0009404514644330009
comp_health_stations,-0.0009997661646579115
base_special_schools,-0.0012280552229111397
base_special_school_pupils,-0.0012333564256739038
comp_libraries,-0.0012491841621792288
base_cafes_bars,-0.001445437202287847
base_parks_ha,-0.001487135737625267
comp_swimming_halls,-0.0015613753629764027
base_voted_KOK,-0.0017934675035222725
base_voted_VASL,-0.001810471351298526
base_voted_RKP,-0.0018430323003258975
base_voted_other,-0.001877809984324963
comp_playgrounds,-0.0018935405500767333
base_voted_PS,-0.0019660281766396004
comp_apothecaries,-0.0020121014413612137
base_voted_SDP,-0.0021429577708117487
base_voted_VIHR,-0.002153376857486955
comp_sports_fields,-0.002545488878149871
comp_alkos,-0.002641414960087518
comp_cafes_bars,-0.0027254936389122797
comp_grocery_shops,-0.002732640374164097
comp_parks_ha,-0.0027329288357915704
comp_forest_ha,-0.00276537966470336
comp_homes,-0.002797078789072649
comp_total_pop,-0.002891974422733923
comp_voted_RKP,-0.0030080893387657293
comp_voted_KOK,-0.0030497874778722123
comp_voted_VASL,-0.0030513831105581923
comp_ages_7_15,-0.0031084461518089412
comp_voted_VIHR,-0.0031122947446102778
comp_sports_halls,-0.003123200800976833
comp_other_retail,-0.003183673113046126
comp_ages_16_18,-0.003194282339555654
comp_public_jobs,-0.0032046077366615355
comp_swim_beaches,-0.0032048321531331636
comp_transport_jobs,-0.0032386058754326763
comp_business_jobs,-0.003265097970920894
comp_voted_SDP,-0.0032973780261824626
comp_restaurants,-0.0033179242885630345
comp_voted_PS,-0.003323068287954478
comp_rides_out_sat_night,-0.0033539427378700415
comp_rides_out_sat_evening,-0.0033539451413260313
comp_high_school_students,-0.003371984707651876
comp_pop_km2,-0.003442348280632168
comp_middle_schools,-0.003489698691182097
comp_voted_other,-0.0035291144200089164
comp_unemployment,-0.0035702275076462398
comp_rides_out_fri_morning,-0.003574050066723511
comp_rides_out_thu_night,-0.003574050066723511
comp_rides_out_fri_night,-0.003578842747459121
comp_rides_out_sat_day,-0.0035828663365382596
comp_rides_out_sat_morning,-0.003583159438898975
comp_rides_out_fri_evening,-0.003588141544194512
comp_rides_out_fri_day,-0.003588357514793361
comp_rides_out_tue_morning,-0.003596315287633045
comp_rides_out_tue_evening,-0.003596315287633045
comp_rides_out_tue_day,-0.003596315287633045
comp_ages_25_39,-0.0035967575298855303
comp_rides_out_thu_evening,-0.003598131529683135
comp_ages_40_64,-0.0035982404758247988
comp_rides_out_mon_morning,-0.003604332776947494
comp_ages_65,-0.0036092180140048225
comp_rides_out_mon_day,-0.003612094285799672
comp_rides_out_mon_evening,-0.003612094285799672
comp_rides_out_mon_night,-0.003614232116131655
comp_avg_pers_income,-0.0036160014995822998
comp_rides_out_wed_night,-0.0036160400018055983
comp_rides_out_thu_morning,-0.003620623187963856
comp_rides_out_thu_day,-0.0036208391585628164
comp_rides_out_wed_morning,-0.0036232741180550754
comp_rides_out_wed_day,-0.0036232741180550754
comp_rides_out_tue_night,-0.0036237530558076436
comp_rides_out_wed_evening,-0.00362747992332757
comp_people_on_social_assistance,-0.003637688966856234
comp_manufacture_jobs,-0.0036415417046333776
comp_employment_km2,-0.0036467263581677622
comp_rides_out_sun_night,-0.003650989448415909
comp_rides_out_sun_day,-0.003657963861720126
comp_rides_out_sun_morning,-0.003657963861720126
comp_rides_out_sun_evening,-0.0036592291906734076
comp_rides_in_sat_morning,-0.003661050434742963
comp_rides_in_sat_day,-0.003661050434742963
comp_rides_in_sat_evening,-0.0036613213950360546
comp_rides_in_sat_night,-0.003661941876365926
comp_median_fam_income,-0.003663227470791064
comp_rides_in_fri_morning,-0.0036667307956148587
comp_rides_in_thu_evening,-0.0036727854542648597
comp_rides_in_thu_night,-0.0036727854542648597
comp_rides_in_fri_day,-0.003680289324776931
comp_rides_in_fri_evening,-0.003680289324776931
comp_rides_in_wed_night,-0.003684149439358353
comp_rides_in_thu_day,-0.003684149439358353
comp_rides_in_thu_morning,-0.003684149439358353
comp_rides_in_wed_evening,-0.0036842460713355507
comp_ages_19_24,-0.0036929976864806813
comp_rides_in_fri_night,-0.003698196001836185
comp_bike_stations,-0.003707659237851435
comp_floorarea_industrial,-0.0037588966877555308
comp_floorarea_other,-0.0037837686562186557
comp_floorarea_public,-0.0038018501870605848
comp_public_bldgs,-0.0038340745965768086
comp_daycares,-0.003836659402943421
comp_rides_in_tue_morning,-0.0038724988159656304
comp_ages_0_6,-0.003875438695680744
comp_floorarea_housing_house,-0.0039036172596111918
comp_floorarea_business,-0.0039038593293019286
comp_floorarea_housing_condo,-0.0039112411320784135
comp_rides_in_wed_morning,-0.003978717185333935
comp_rides_in_wed_day,-0.00398221068887572
comp_rides_in_tue_night,-0.004016333026165109
comp_rides_in_mon_day,-0.004026313436360174
comp_rides_in_mon_night,-0.004026313436360174
comp_rides_in_mon_evening,-0.004026313436360174
comp_rides_in_sun_day,-0.004027126552010429
comp_floorarea_ha,-0.004029584866179103
comp_rides_in_sun_evening,-0.004035950372444752
comp_rides_in_sun_night,-0.004035950372444752
comp_industrial_bldgs,-0.004041236563533057
comp_rides_in_tue_evening,-0.004041774340365012
comp_rides_in_tue_day,-0.0040437814564375785
comp_rides_in_mon_morning,-0.004047130029677493
comp_rides_in_sun_morning,-0.004068139369912904
comp_high_schools,-0.00413086740251134
comp_business_bldgs,-0.004152021509517545
comp_retail_jobs,-0.004191062529309564
