Feature,Importance
base_to_comp_distance,0.06203916110464769
comp_other_retail,0.0021172750352844716
comp_apothecaries,0.001452125163651563
comp_post_offices,0.0012768834016912978
comp_playgrounds,0.0012562523829503514
comp_swim_beaches,0.0010627306260971858
comp_parks_ha,0.0008791446317890639
comp_grocery_shops,0.0008543371370947073
comp_sports_fields,0.0008529259720339022
comp_restaurants,0.0008432408536753755
comp_sports_halls,0.0008407315161333972
comp_voted_SDP,0.0008314098963116967
comp_voted_KOK,0.0007682190196551808
comp_voted_VIHR,0.0007302176634041979
comp_cafes_bars,0.000719761447042
comp_swimming_halls,0.0007091164385618631
comp_voted_RKP,0.0006558459729749666
comp_voted_VASL,0.0006356206025631694
comp_voted_PS,0.0006169766955527178
comp_alkos,0.0006087589853602804
comp_voted_other,0.0005370843313733387
comp_forest_ha,0.00047628171017566334
comp_bike_stations,0.00042670146212420157
comp_health_stations,0.00028198496622033886
comp_special_schools,0.0001145248294345258
comp_churches,4.276706704697819e-05
base_health_stations,3.217519950182712e-05
comp_special_school_pupils,-1.9559016318781985e-05
comp_rides_out_thu_night,-2.683508492140607e-05
comp_rides_in_wed_evening,-3.3087576204016145e-05
comp_rides_out_tue_night,-3.5254700128883876e-05
comp_rides_out_mon_night,-4.2645461393986395e-05
comp_rides_out_tue_morning,-4.2645461393986395e-05
comp_rides_out_tue_evening,-4.265324970353923e-05
comp_rides_out_tue_day,-4.265324970353923e-05
comp_rides_out_wed_night,-4.274928269243361e-05
comp_rides_in_mon_evening,-5.016944529157019e-05
comp_rides_out_thu_morning,-5.1115386930589146e-05
comp_rides_out_thu_evening,-5.1115386930589146e-05
comp_rides_out_thu_day,-5.1115386930589146e-05
comp_rides_in_mon_night,-5.2365480375571316e-05
comp_rides_out_fri_evening,-5.489315594187083e-05
comp_rides_out_fri_morning,-5.742162803612505e-05
comp_rides_out_fri_day,-5.742162803612505e-05
comp_rides_in_sun_morning,-6.539302938424196e-05
comp_rides_in_mon_morning,-7.17874331017665e-05
comp_rides_in_mon_day,-7.17874331017665e-05
comp_rides_in_sun_day,-7.18614255333927e-05
comp_rides_in_tue_day,-7.758934085178026e-05
comp_rides_in_fri_morning,-7.814276231232764e-05
comp_rides_in_sat_morning,-7.915765384924889e-05
comp_rides_in_sat_evening,-7.922077595146071e-05
comp_rides_in_sat_night,-7.922077595146071e-05
comp_rides_out_sun_morning,-7.922077595146071e-05
comp_rides_in_fri_day,-8.02681063488686e-05
comp_rides_in_fri_evening,-8.02681063488686e-05
comp_rides_in_sun_night,-8.148780406236344e-05
comp_rides_in_sun_evening,-8.148780406236344e-05
comp_rides_in_fri_night,-8.149271146784542e-05
comp_rides_out_sun_day,-8.605046203546962e-05
comp_rides_out_sun_evening,-8.605046203546962e-05
comp_rides_in_thu_night,-8.701865410554177e-05
comp_rides_in_thu_evening,-8.701865410554177e-05
comp_rides_out_mon_day,-8.748009943371216e-05
comp_rides_in_sat_day,-8.75481167385006e-05
comp_rides_out_mon_evening,-8.981803554497514e-05
comp_rides_in_wed_day,-8.986787644260641e-05
comp_rides_out_wed_morning,-9.24408926957776e-05
comp_rides_in_thu_day,-9.634334409225342e-05
