Feature,Importance
base_to_comp_distance,0.05440750531026939
base_ages_16_18,0.0015982525828232008
base_daycares,0.0015098190064083417
base_ages_25_39,0.0015020591172481002
base_ages_19_24,0.0014854846696675805
base_primary_schools,0.0012637223636738915
base_high_schools,0.0012377287173853668
base_ages_7_15,0.0012286811634292238
base_floorarea_other,0.0011771521204160251
base_median_fam_income,0.001159113611357565
base_ages_40_64,0.0011521760218636823
base_pop_km2,0.0011299355154966717
base_floorarea_industrial,0.0010518802591323873
base_total_pop,0.001015144207686669
base_ages_65,0.0009653719964322072
base_primary_school_pupils,0.0009530798666430584
base_middle_school_pupils,0.0007419159558611499
base_floorarea_public,0.0007225808093773711
base_avg_pers_income,0.0006717631088447584
base_floorarea_housing_house,0.000572677981239833
base_floorarea_business,0.0005244465087154149
base_high_school_students,0.0005185128399113337
base_floorarea_housing_condo,0.00045082548979036297
base_ages_0_6,0.00044931485980415076
base_floorarea_ha,0.0004287069586902392
base_people_on_social_assistance,0.0003578169959269628
base_business_bldgs,0.0003546230803127548
base_homes,0.00035337844148131126
base_public_jobs,0.000324712898114643
base_public_bldgs,0.0003058184896570504
base_unemployment,0.00027887282639038613
base_employment_km2,0.00027514289224983557
base_industrial_bldgs,0.0002167351486472846
base_middle_schools,0.00021436619689108039
comp_floorarea_public,0.00018238952659210828
base_manufacture_jobs,0.00013263557733045328
base_business_jobs,0.00011787641073490729
base_retail_jobs,9.54631579034304e-05
comp_floorarea_industrial,8.984146188462105e-05
comp_floorarea_other,-3.818469583194428e-06
comp_public_jobs,-0.00016412257790276996
comp_daycares,-0.0002021219534152907
base_special_school_pupils,-0.0002270073513841453
comp_business_bldgs,-0.0002559631569931664
comp_floorarea_business,-0.000268586930368242
comp_public_bldgs,-0.00027033350416905133
comp_industrial_bldgs,-0.0002754463852038258
comp_floorarea_housing_house,-0.00034246760878064997
base_apothecaries,-0.0003427301936030913
comp_floorarea_housing_condo,-0.00035518907744702677
base_special_schools,-0.00038408083855590025
comp_floorarea_ha,-0.00038547983328507396
base_post_offices,-0.0004325263409997726
comp_homes,-0.00043987531693756576
comp_retail_jobs,-0.0005127286023749456
comp_manufacture_jobs,-0.0005134353440676698
base_sports_fields,-0.000518842740766079
base_transport_jobs,-0.0005530022275579416
comp_apothecaries,-0.0005817996663407543
comp_transport_jobs,-0.0006222334465573187
comp_health_stations,-0.0006406813175856563
comp_employment_km2,-0.0006455522792440105
comp_business_jobs,-0.0006987255360699773
base_playgrounds,-0.0008672394631837888
comp_primary_schools,-0.0009827796463005578
comp_unemployment,-0.0010023041185575066
base_voted_VASL,-0.0010215353098241842
comp_people_on_social_assistance,-0.00102233899804538
base_health_stations,-0.001039637056679199
base_other_retail,-0.0011081913817533318
base_sports_halls,-0.0011210588761288998
comp_special_school_pupils,-0.0011242631140520043
comp_total_pop,-0.0011303313774658763
base_voted_RKP,-0.0011326634597881302
comp_ages_19_24,-0.0011352681581991986
comp_ages_25_39,-0.00113608047578595
comp_ages_65,-0.0011450866887576794
comp_ages_40_64,-0.0011560583349613518
comp_primary_school_pupils,-0.001163524034271779
base_swimming_halls,-0.0011911306960630252
comp_pop_km2,-0.0011997507714323064
comp_special_schools,-0.0012405297047466401
comp_swim_beaches,-0.0013646698525833223
comp_ages_7_15,-0.0014000813922736555
base_voted_other,-0.001407214206931906
base_restaurants,-0.0014279877046590173
base_grocery_shops,-0.0014828951424720183
comp_swimming_halls,-0.0014991786224239911
base_voted_PS,-0.0015176970252096522
comp_ages_0_6,-0.0015217010482341253
comp_playgrounds,-0.0015281171776651004
comp_ages_16_18,-0.0015298354295686378
base_churches,-0.001536297019893551
base_libraries,-0.001537867377627955
comp_restaurants,-0.00154172713296985
comp_avg_pers_income,-0.0015546396870849133
base_alkos,-0.0015611386900011848
comp_other_retail,-0.0015744613476268432
comp_middle_school_pupils,-0.0015917890983487837
comp_median_fam_income,-0.0015975765821774068
comp_grocery_shops,-0.0016155124792771591
comp_post_offices,-0.001669170603806891
comp_cafes_bars,-0.0016692576775655388
comp_sports_fields,-0.0016704972968690779
comp_alkos,-0.001693694638010168
base_voted_KOK,-0.0017119000648921912
comp_parks_ha,-0.0017287258173441789
comp_forest_ha,-0.0017416954796836137
comp_bike_stations,-0.001900838021583584
base_voted_VIHR,-0.0019230626175230636
comp_high_school_students,-0.001923713649951253
comp_voted_VASL,-0.0019305569470184913
comp_voted_PS,-0.002034815762140596
comp_sports_halls,-0.0020733797013764432
comp_voted_other,-0.002116260130933023
base_parks_ha,-0.0022038725008577398
base_cafes_bars,-0.0022339220714183705
comp_rides_out_tue_morning,-0.0022846852159923436
comp_rides_in_sun_morning,-0.002298234514372166
comp_rides_out_mon_evening,-0.002298636346885763
comp_rides_out_mon_night,-0.0023001254204155774
comp_rides_out_mon_day,-0.0023245012167451007
comp_voted_KOK,-0.002328723905259844
comp_rides_out_mon_morning,-0.0023320637711037318
comp_rides_in_fri_evening,-0.002333434799603351
comp_rides_in_fri_night,-0.002334982175461797
comp_voted_VIHR,-0.002341902273345964
comp_rides_out_sun_night,-0.0023430344776601553
comp_rides_out_sun_morning,-0.0023468418090514254
comp_rides_out_sun_evening,-0.0023468418090514254
comp_rides_out_sun_day,-0.0023468418090514254
comp_rides_in_sat_night,-0.0023468418090514254
comp_rides_in_sat_morning,-0.0023479119977178886
comp_rides_in_mon_evening,-0.0023552920243919973
comp_rides_in_mon_day,-0.0023552920243919973
comp_rides_in_sat_day,-0.0023592127843523603
comp_rides_in_sat_evening,-0.0023592127843523603
comp_rides_in_sun_night,-0.002361675836463517
comp_rides_in_mon_morning,-0.002366125329900548
comp_rides_in_sun_day,-0.0023729047924891944
base_forest_ha,-0.0023737191824072523
comp_rides_in_sun_evening,-0.0023738078315949096
