Feature,Importance
base_to_comp_distance,0.06110197399183326
base_apothecaries,0.0026649296360540253
comp_swimming_halls,0.0015935913405439317
base_churches,0.001370398752471691
comp_daycares,0.0011577084109704039
comp_floorarea_public,0.001133302261903002
comp_industrial_bldgs,0.0011301605215729982
comp_floorarea_other,0.0011252713970554273
comp_public_bldgs,0.001119449617449808
comp_primary_schools,0.001082616465663655
comp_floorarea_industrial,0.0010822984228359145
comp_floorarea_housing_condo,0.0010751303383836897
comp_floorarea_business,0.001074127802596636
comp_floorarea_housing_house,0.0010673476688940475
comp_floorarea_ha,0.001058610304252472
base_swim_beaches,0.001044214017255185
base_forest_ha,0.0009987950060964534
base_grocery_shops,0.000965315871554906
comp_employment_km2,0.0009504523333901949
comp_homes,0.0009486263196600841
base_parks_ha,0.0009235247208103647
comp_ages_19_24,0.0008740619321417897
base_alkos,0.0008709137992227722
base_cafes_bars,0.000857228214564687
comp_avg_pers_income,0.0008530445981306256
comp_business_bldgs,0.0008166173206581862
comp_unemployment,0.0007984692205420529
comp_public_jobs,0.0007757943161176284
comp_post_offices,0.0007690991561960514
comp_ages_25_39,0.0007686613492426941
base_restaurants,0.0007668206249896725
comp_ages_16_18,0.0007605534581648365
comp_median_fam_income,0.0007537434643678509
comp_high_schools,0.0007470669687740239
comp_retail_jobs,0.0007469570059416286
comp_people_on_social_assistance,0.0007460894772577387
base_retail_jobs,0.000744372630874568
base_post_offices,0.000736538393666275
base_other_retail,0.0007362386967824097
comp_playgrounds,0.0007278174860154696
comp_ages_65,0.0007022782940020456
comp_primary_school_pupils,0.0006871336360709801
comp_ages_40_64,0.0006807212783441763
base_voted_VASL,0.0006549640919066846
base_voted_RKP,0.0006470101420452679
base_voted_KOK,0.0006315919821249238
comp_total_pop,0.0006202807203097294
comp_business_jobs,0.000595112938526654
base_voted_SDP,0.0005878406496578892
comp_middle_schools,0.0005857623380634003
base_voted_VIHR,0.0005659942471771817
base_people_on_social_assistance,0.0005590380712557907
comp_sports_fields,0.000543289142330039
base_avg_pers_income,0.0005402947521248036
base_median_fam_income,0.0005393785981240296
base_voted_PS,0.0005164423681329744
comp_pop_km2,0.0005100082355778968
base_unemployment,0.0005012373017745375
comp_ages_7_15,0.00047555688598333035
comp_ages_0_6,0.0004682975328194061
comp_manufacture_jobs,0.0004603384757054796
base_special_schools,0.00044483759632907294
base_special_school_pupils,0.0003998999013304916
base_voted_other,0.00036427991683884997
base_ages_65,0.00036081553779643283
comp_transport_jobs,0.0003529616494815091
comp_high_school_students,0.0003383101492646645
comp_middle_school_pupils,0.00030976914117830656
base_manufacture_jobs,0.00028577321697631497
base_business_jobs,0.00027491368067833477
base_high_school_students,0.00025678288411334904
comp_health_stations,0.00021581836316897363
comp_sports_halls,0.0001938230999987134
comp_special_schools,0.0001723261700767864
comp_special_school_pupils,0.00017111222177312868
base_libraries,0.00016557328576516372
base_public_jobs,0.0001517001340023416
comp_churches,0.0001416223517469728
base_ages_40_64,0.00013845152634528457
base_ages_25_39,0.00013486272278784295
