Feature,Importance
base_to_comp_distance,0.07426761552794747
comp_swimming_halls,-0.00014400224543875684
comp_sports_halls,-0.0002384706938056702
comp_sports_fields,-0.0003844043373720796
base_high_schools,-0.0010975168752432873
base_high_school_students,-0.0011077163829049663
base_daycares,-0.001139113116018442
base_swim_beaches,-0.0013431899010543091
comp_playgrounds,-0.001378131273278571
base_voted_RKP,-0.0013849334379690825
comp_post_offices,-0.0013884520645536247
comp_churches,-0.0014144596241887353
comp_other_retail,-0.0014167142616088313
comp_alkos,-0.001520193838870476
comp_libraries,-0.001633227396395709
comp_voted_SDP,-0.0016441079086013666
base_floorarea_other,-0.0016583564626667657
base_swimming_halls,-0.0016626441982163787
base_voted_VIHR,-0.0016921148828402677
base_middle_school_pupils,-0.0017030371192181537
base_voted_KOK,-0.0017305037389689915
base_voted_VASL,-0.0017345362435779998
comp_rides_in_tue_evening,-0.0017367174762121795
comp_rides_in_tue_night,-0.0017380089435639068
comp_rides_in_tue_day,-0.0017458289402320082
comp_special_schools,-0.0017534653728158434
comp_special_school_pupils,-0.0017559152372743636
comp_rides_in_tue_morning,-0.001767948830553867
comp_high_schools,-0.0017729928586304178
comp_apothecaries,-0.0017782166723966375
base_floorarea_industrial,-0.0017901449079027465
comp_parks_ha,-0.0018314819569533736
comp_rides_in_thu_morning,-0.0018828523186530388
comp_rides_in_thu_day,-0.0018828523186530388
comp_rides_in_wed_night,-0.0018828523186530388
comp_rides_in_wed_evening,-0.0019011639805058822
comp_rides_out_thu_evening,-0.0019109321777752708
comp_voted_VIHR,-0.0019299680009434717
comp_rides_out_tue_night,-0.00193334176003368
base_other_retail,-0.001934485483190529
comp_rides_out_tue_morning,-0.0019346564169537839
comp_rides_in_wed_day,-0.0019376766332435125
comp_rides_out_mon_night,-0.0019429187192303576
comp_rides_out_tue_evening,-0.0019467686117276006
comp_rides_out_tue_day,-0.0019467686117276006
comp_rides_in_wed_morning,-0.0019487340863397762
base_unemployment,-0.0019509389822702783
base_primary_schools,-0.0019525974296517035
comp_voted_PS,-0.0019564851812333695
comp_rides_out_thu_morning,-0.0019583686579198734
comp_high_school_students,-0.0019614305627438933
comp_rides_out_thu_day,-0.0019620745603007306
base_restaurants,-0.0019817664305186167
base_special_schools,-0.001982207452921214
base_special_school_pupils,-0.0019828704373463513
base_grocery_shops,-0.0019885493095569418
base_primary_school_pupils,-0.0019996393938809254
comp_voted_VASL,-0.002003750197126841
comp_rides_out_wed_day,-0.0020039178036707073
comp_rides_out_wed_night,-0.0020039178036707073
comp_rides_out_wed_evening,-0.0020039178036707073
comp_rides_out_wed_morning,-0.0020039178036707073
comp_rides_out_sun_night,-0.002017974690934232
comp_rides_in_fri_evening,-0.0020195765713003633
comp_rides_in_fri_night,-0.0020195765713003633
comp_rides_in_fri_morning,-0.0020212249055737708
comp_rides_in_fri_day,-0.0020212249055737708
comp_rides_in_thu_night,-0.0020212658370521996
comp_rides_in_thu_evening,-0.0020212658370521996
comp_rides_out_mon_evening,-0.0020288597300580635
comp_rides_in_sat_morning,-0.0020292742239839123
comp_rides_out_mon_day,-0.002030854720467934
comp_rides_out_sun_morning,-0.0020312692143937827
comp_rides_in_sat_day,-0.0020312692143937827
comp_rides_in_sat_evening,-0.0020312692143937827
comp_rides_out_sun_day,-0.0020312692143937827
comp_rides_in_sat_night,-0.0020312692143937827
comp_rides_out_sun_evening,-0.0020312692143937827
comp_rides_out_sat_evening,-0.0020400287931064964
comp_rides_out_sat_night,-0.0020400287931064964
comp_forest_ha,-0.0020403602769776263
base_middle_schools,-0.0020446217473822914
comp_rides_out_sat_day,-0.002046537564180273
comp_voted_KOK,-0.0020708108699762917
base_cafes_bars,-0.00208385754043916
comp_voted_other,-0.002098328198136601
comp_restaurants,-0.0021292319706605056
base_health_stations,-0.002150779501875588
comp_health_stations,-0.0021542174662978475
comp_rides_out_mon_morning,-0.002163492650190779
comp_rides_in_mon_evening,-0.0021791618039963545
comp_cafes_bars,-0.002189576165044782
base_sports_fields,-0.0022027584086783403
comp_rides_out_fri_evening,-0.0022135014561921462
comp_rides_out_fri_day,-0.0022135014561921462
comp_rides_out_fri_morning,-0.0022135014561921462
comp_rides_out_fri_night,-0.0022142013705040986
comp_rides_in_mon_night,-0.0022152179623703416
base_libraries,-0.0022186807999904357
comp_rides_out_sat_morning,-0.0022221490280822653
comp_rides_out_thu_night,-0.0022231476566682007
base_parks_ha,-0.0022265173080597833
base_voted_PS,-0.0022283993891368814
base_floorarea_ha,-0.0022357030123543176
base_sports_halls,-0.002255756509424778
base_ages_65,-0.0022658244036913855
comp_grocery_shops,-0.0022727292139965716
base_apothecaries,-0.0022739506530249365
base_forest_ha,-0.002281276631018736
comp_homes,-0.0023305754167555204
base_floorarea_housing_house,-0.002348026707664208
base_floorarea_housing_condo,-0.002351145256524134
comp_middle_school_pupils,-0.0023515977219502604
base_floorarea_business,-0.0023570577523489566
base_avg_pers_income,-0.00239007614321618
base_ages_40_64,-0.002398738131075495
base_voted_other,-0.0024150472851326432
base_business_bldgs,-0.0024296362489844014
comp_rides_in_mon_day,-0.0024308116911465616
comp_swim_beaches,-0.00243211460150794
comp_rides_in_mon_morning,-0.0024403231248781854
comp_rides_in_sun_evening,-0.0024408762662975203
comp_rides_in_sun_night,-0.0024408762662975203
base_retail_jobs,-0.0024419361765484204
comp_rides_in_sun_morning,-0.0024433378670055683
comp_rides_in_sun_day,-0.0024433378670055683
base_voted_SDP,-0.002450162570006187
base_alkos,-0.0024534428794994456
base_transport_jobs,-0.0024546901738621285
base_employment_km2,-0.002457674364555573
base_post_offices,-0.00247707380132256
base_public_bldgs,-0.0024799178685072087
base_public_jobs,-0.0024832321012028258
base_churches,-0.002537376103714739
comp_middle_schools,-0.0025739821503539817
base_ages_19_24,-0.002576791858381111
base_ages_25_39,-0.0025815088585777746
comp_unemployment,-0.0026361867750254175
base_median_fam_income,-0.002642165915361372
base_industrial_bldgs,-0.0026516341505145036
comp_voted_RKP,-0.002656703582565978
base_manufacture_jobs,-0.00266090830114063
base_playgrounds,-0.002665068215038091
comp_avg_pers_income,-0.002667073396830255
base_people_on_social_assistance,-0.0026763521902646303
base_floorarea_public,-0.0027141836754082105
comp_retail_jobs,-0.002717550189978546
base_total_pop,-0.0027319991217406026
comp_total_pop,-0.0027541803300541456
base_business_jobs,-0.0027544423064239654
comp_bike_stations,-0.0027776997095680933
comp_pop_km2,-0.0027884905274889737
comp_people_on_social_assistance,-0.0027948710138585575
base_ages_7_15,-0.002801876080577359
base_ages_16_18,-0.002802606369789684
base_homes,-0.0028224344516516453
base_pop_km2,-0.00284974125972981
comp_ages_16_18,-0.0028503069586839347
comp_ages_7_15,-0.0028536397808615055
comp_manufacture_jobs,-0.002881125384184724
comp_business_jobs,-0.0028881449456753527
comp_ages_0_6,-0.002895474522250918
base_ages_0_6,-0.002905884231511835
comp_median_fam_income,-0.0029173504418787966
comp_floorarea_business,-0.0029217148630780176
comp_floorarea_ha,-0.0029326938106379874
comp_business_bldgs,-0.002939056473344581
comp_floorarea_public,-0.002948542609544247
comp_transport_jobs,-0.0029489922688838988
comp_floorarea_industrial,-0.0029824526406723173
comp_floorarea_housing_condo,-0.0029990323309921907
comp_floorarea_other,-0.003018743611077901
comp_employment_km2,-0.003023310798634493
comp_public_bldgs,-0.0030321987976732467
comp_industrial_bldgs,-0.0030361409450405663
comp_ages_19_24,-0.0030854248639028414
comp_primary_school_pupils,-0.003086800224574082
comp_floorarea_housing_house,-0.0030949309238833544
comp_ages_40_64,-0.0030962500680944416
comp_ages_25_39,-0.003103713832773969
comp_primary_schools,-0.00310582564470252
comp_public_jobs,-0.003134028005706724
comp_ages_65,-0.0031421994263857167
comp_daycares,-0.003214616358175215
