Feature,Importance
base_to_comp_distance,0.09827342720731358
base_other_retail,0.0026455452172978733
base_post_offices,0.0018675855082672665
base_alkos,0.0016525582985147391
base_total_pop,0.0015830339101171598
base_sports_fields,0.0015551007794141203
base_grocery_shops,0.00154094921038761
base_restaurants,0.001496331657739658
base_apothecaries,0.0014961893847847962
base_sports_halls,0.0012936096064842806
comp_total_pop,0.001291631073436883
base_forest_ha,0.001220438881276431
comp_apothecaries,0.0011749416516144695
base_parks_ha,0.0011630364415319283
comp_pop_km2,0.001160508689329598
base_health_stations,0.0010669364189646036
base_voted_VIHR,0.0010393040918423857
base_cafes_bars,0.0010134558888761358
base_voted_VASL,0.0009969718664959437
base_voted_KOK,0.000995882707479856
base_voted_SDP,0.0009871206142566535
base_ages_7_15,0.0008841951456308728
base_swim_beaches,0.0008649907621703923
base_ages_16_18,0.000863902903273539
base_median_fam_income,0.0008155791190480599
comp_ages_7_15,0.000811848204572807
base_ages_0_6,0.0007795267585734011
comp_voted_SDP,0.0007756274206466296
comp_ages_19_24,0.0007229519742301127
base_pop_km2,0.000714138771040429
comp_ages_16_18,0.0007037283248081394
comp_ages_0_6,0.0006774183801488975
base_playgrounds,0.0006263697879019814
base_voted_PS,0.00061089090999078
base_voted_other,0.0005415645554212034
base_daycares,0.0005162356168483262
base_business_bldgs,0.0005039520504100947
comp_ages_25_39,0.0004961403134245979
comp_other_retail,0.0004699373820814534
comp_avg_pers_income,0.0004560002272780972
base_ages_40_64,0.0004492745971951262
base_employment_km2,0.0004331510624987489
base_people_on_social_assistance,0.00043119226758137064
base_ages_19_24,0.0004145959427053203
base_public_jobs,0.00041199392869140095
base_ages_65,0.0004114875658327577
base_primary_schools,0.0003954117926786571
base_retail_jobs,0.0003910211837231392
base_business_jobs,0.0003797421509794674
comp_voted_KOK,0.00036924609986677126
comp_voted_VIHR,0.0003614899247239567
comp_ages_40_64,0.0003526977759368277
comp_median_fam_income,0.00032958844318276004
base_unemployment,0.00032036904297139124
comp_people_on_social_assistance,0.0003190652713157549
comp_health_stations,0.00031560234592697967
comp_swimming_halls,0.00026526511494784355
comp_unemployment,0.0002636951074540539
base_voted_RKP,0.0002611096560349857
base_floorarea_other,0.00024768950559472813
comp_ages_65,0.00024150990600002586
base_transport_jobs,0.00024144737688924778
base_ages_25_39,0.0002406257890383845
comp_parks_ha,0.0002350468025343888
comp_floorarea_other,0.00021164023996533832
base_avg_pers_income,0.00015697878604481463
comp_restaurants,0.00015466102974792673
comp_forest_ha,0.000144866943387556
comp_retail_jobs,0.00010206690410774488
comp_manufacture_jobs,9.448788416688281e-05
comp_cafes_bars,9.425662596307394e-05
base_homes,8.842380762053015e-05
base_swimming_halls,6.058993724822326e-05
comp_primary_schools,3.893819408395949e-05
base_floorarea_public,2.0063493420874323e-05
base_floorarea_industrial,1.1905114726706856e-05
base_floorarea_housing_condo,6.9338554035125455e-06
comp_grocery_shops,3.6027956833439845e-06
comp_rides_out_mon_night,7.211172404764099e-07
comp_rides_out_tue_morning,7.211172404764099e-07
base_special_school_pupils,-4.0919906354464075e-06
comp_rides_out_tue_day,-4.751931065194448e-06
comp_rides_out_tue_evening,-4.751931065194448e-06
base_floorarea_business,-1.3877875567280817e-05
comp_rides_out_sun_night,-5.778250108023908e-05
comp_rides_out_sun_evening,-5.7800879521785475e-05
comp_rides_out_sun_day,-5.792847878072216e-05
comp_rides_out_mon_day,-5.855900318185725e-05
comp_rides_out_mon_evening,-6.694524101524824e-05
comp_voted_RKP,-7.024466387961503e-05
comp_rides_in_fri_night,-9.3729452565805e-05
comp_rides_in_sat_morning,-9.40395707353936e-05
comp_rides_in_sat_evening,-9.40395707353936e-05
comp_rides_in_sat_night,-9.40395707353936e-05
comp_rides_out_sun_morning,-9.40395707353936e-05
comp_rides_in_sat_day,-9.40395707353936e-05
comp_rides_out_tue_night,-0.00010960888104771804
comp_rides_in_fri_day,-0.00011471909568183669
comp_rides_in_thu_night,-0.00011471909568183669
comp_rides_in_fri_evening,-0.00011471909568183669
comp_rides_in_fri_morning,-0.00011471909568183669
comp_rides_in_thu_day,-0.00011471909568183669
comp_rides_in_thu_evening,-0.00011471909568183669
comp_rides_in_wed_night,-0.00011961985947783749
comp_rides_in_thu_morning,-0.00011961985947783749
base_public_bldgs,-0.00015108710006361825
base_primary_school_pupils,-0.00015793355084703364
base_industrial_bldgs,-0.0001667496785378031
comp_rides_out_sat_evening,-0.00018421525004030936
comp_rides_out_sat_day,-0.00018421525004030936
base_high_schools,-0.00018563784607261713
comp_rides_out_sat_night,-0.00018658387758774264
comp_rides_in_wed_day,-0.0001908288950005499
base_manufacture_jobs,-0.0001934790603973502
comp_rides_in_tue_night,-0.00019677363429693173
base_special_schools,-0.00019801846934763834
comp_bike_stations,-0.00019850253743813884
comp_rides_out_sat_morning,-0.00020107848536232709
comp_rides_out_mon_morning,-0.00020942523937172997
comp_rides_in_wed_morning,-0.00021130565321869632
comp_rides_out_wed_night,-0.00022072550597895813
comp_rides_out_wed_evening,-0.00022072550597895813
comp_rides_out_wed_morning,-0.00022072550597895813
comp_rides_out_wed_day,-0.00022072550597895813
comp_rides_in_wed_evening,-0.00022697291908135853
base_churches,-0.00023450400411495487
comp_rides_in_tue_day,-0.00024881248760677543
comp_rides_in_tue_evening,-0.00024881248760677543
comp_rides_in_tue_morning,-0.00024978283912169275
comp_rides_in_mon_day,-0.0002530217486969022
comp_rides_in_mon_morning,-0.0002530217486969022
comp_rides_in_mon_night,-0.000253053112478252
comp_rides_in_mon_evening,-0.000253056902405846
comp_rides_out_thu_morning,-0.000253802830916805
comp_business_bldgs,-0.00025402299534860173
comp_rides_in_sun_night,-0.00025569911387002264
comp_rides_in_sun_evening,-0.00025569911387002264
comp_rides_out_thu_day,-0.0002667532231114267
comp_rides_out_thu_evening,-0.00026953691782904965
comp_rides_in_sun_morning,-0.00027288186524054847
comp_rides_in_sun_day,-0.00027288186524054847
comp_daycares,-0.0003015174157783296
comp_playgrounds,-0.0003084953435421589
comp_voted_other,-0.0003186908843191283
