Feature,Importance
base_to_comp_distance,0.06272525879114899
comp_other_retail,0.0007136528456851421
base_ages_7_15,0.00019914384822172781
base_ages_16_18,0.00019121076329831066
base_ages_25_39,0.0001104259789409534
base_grocery_shops,9.787553878748412e-05
base_ages_40_64,9.477647054945137e-05
base_total_pop,7.27874948908136e-05
base_pop_km2,7.270402504155893e-05
base_restaurants,1.0438441598759063e-05
base_ages_19_24,-1.5064412189902399e-05
base_apothecaries,-5.800449796755647e-05
base_ages_65,-5.949583625997068e-05
base_floorarea_industrial,-6.509344183724952e-05
comp_swim_beaches,-0.00011761647410180043
base_ages_0_6,-0.00014962475512070306
base_floorarea_other,-0.0001553519530582692
base_alkos,-0.00017062411187196425
base_daycares,-0.0001855599876359193
base_median_fam_income,-0.00021194301205063049
base_transport_jobs,-0.00021509458800472725
base_retail_jobs,-0.00022744349509751238
base_unemployment,-0.00024943265360366507
base_primary_schools,-0.0002690102762249458
base_avg_pers_income,-0.00027100974061389227
base_homes,-0.00027136919822534633
base_other_retail,-0.0003044972828920578
base_floorarea_public,-0.0003872805966248505
base_high_schools,-0.0003951031582656306
base_floorarea_housing_house,-0.00043391395694813983
base_manufacture_jobs,-0.00043918392714392684
base_floorarea_ha,-0.00046380175389082456
base_cafes_bars,-0.0004945376426345183
base_middle_school_pupils,-0.0005144538967202239
base_primary_school_pupils,-0.0005253829947152733
base_business_bldgs,-0.0005328969770871383
base_high_school_students,-0.0005405768784322307
base_floorarea_housing_condo,-0.0005488635041881462
comp_special_school_pupils,-0.0005516450974881737
base_employment_km2,-0.000586774185264316
base_public_jobs,-0.0005889263185999694
comp_special_schools,-0.000608350611265851
base_parks_ha,-0.000615548034692992
base_industrial_bldgs,-0.0006303064238667444
base_floorarea_business,-0.0006631216497944292
base_middle_schools,-0.0006635480227670243
base_business_jobs,-0.0006901785436207453
base_public_bldgs,-0.0007251421662222146
comp_voted_VASL,-0.0007529601395469543
base_people_on_social_assistance,-0.0007686007913086934
base_forest_ha,-0.000911735800163016
base_swimming_halls,-0.000934033566293957
comp_sports_fields,-0.001021235785758079
comp_voted_RKP,-0.001021529122746223
comp_grocery_shops,-0.0010802933256220948
base_sports_fields,-0.0011674521287531325
comp_alkos,-0.001170251336260253
comp_restaurants,-0.0011724762681186718
comp_libraries,-0.0011901568410186414
comp_floorarea_public,-0.001213765592358862
comp_unemployment,-0.0012290166215838116
comp_forest_ha,-0.0012429428673624843
comp_voted_PS,-0.0012439601975214876
comp_retail_jobs,-0.0012614067371236048
comp_voted_other,-0.001264171446864415
