Feature,Importance
base_to_comp_distance,0.07235945939864286
base_floorarea_other,0.00019344314537039775
base_daycares,0.00012828071039672206
base_ages_65,2.6660702693082072e-05
base_special_schools,1.646197848526043e-05
base_floorarea_public,2.2388004079498813e-06
base_floorarea_housing_house,-3.284282354187873e-06
base_floorarea_industrial,-1.772116244203037e-05
base_floorarea_housing_condo,-2.925636276640553e-05
base_ages_25_39,-3.863843545304224e-05
base_ages_19_24,-4.532217112440673e-05
base_special_school_pupils,-5.674087585327836e-05
base_ages_40_64,-7.65289256050572e-05
base_floorarea_ha,-8.36406996816974e-05
base_ages_7_15,-9.880879779256002e-05
base_business_jobs,-0.0001281675203506083
base_floorarea_business,-0.00013082529970653844
base_ages_16_18,-0.00014138605938174287
base_public_jobs,-0.0001780732929593798
base_employment_km2,-0.00018292205152359298
base_median_fam_income,-0.00019354132602189544
base_unemployment,-0.00019758991447305085
base_avg_pers_income,-0.00020388923743974718
base_primary_schools,-0.0002114719332747539
base_pop_km2,-0.00023700409179538973
base_public_bldgs,-0.00025110154378604754
base_retail_jobs,-0.00025318575232624596
base_manufacture_jobs,-0.00026260463603455797
base_transport_jobs,-0.00026447663840478697
base_homes,-0.0002681845237039182
base_business_bldgs,-0.00027377491280800026
base_primary_school_pupils,-0.0003106302759241508
base_industrial_bldgs,-0.0003603818404689374
base_people_on_social_assistance,-0.0003687803921048616
base_ages_0_6,-0.0005883637401857822
base_total_pop,-0.0006797905494148049
base_high_school_students,-0.0007798371494173173
comp_sports_fields,-0.0008920082912722282
comp_swim_beaches,-0.0009853854690673458
base_middle_schools,-0.0010051139129296782
base_high_schools,-0.0010790434394428727
comp_cafes_bars,-0.0012810082127061584
base_apothecaries,-0.0013180282691084289
comp_restaurants,-0.0013466384135251142
comp_churches,-0.0013559491003609647
comp_libraries,-0.001361293000649133
base_middle_school_pupils,-0.0013642862247661425
comp_sports_halls,-0.0014553555178905553
base_swim_beaches,-0.0014608825525276314
comp_forest_ha,-0.0014728673490808086
comp_parks_ha,-0.0014842015328407898
comp_grocery_shops,-0.0014960599422130239
comp_total_pop,-0.0015528135403213295
comp_homes,-0.0015847812430638264
comp_transport_jobs,-0.0016560770125830793
comp_voted_RKP,-0.001656798196032816
base_swimming_halls,-0.0016574892235344807
comp_voted_KOK,-0.0016740314488665753
comp_voted_SDP,-0.0016850610541070399
comp_voted_VASL,-0.001712551990271316
base_health_stations,-0.0017552120803714377
comp_alkos,-0.001773169253172946
comp_voted_VIHR,-0.0018145215586451435
comp_ages_0_6,-0.0018396466726715577
base_libraries,-0.0018570488299177734
comp_avg_pers_income,-0.0018800691057707652
comp_ages_19_24,-0.001899358911068405
comp_swimming_halls,-0.0019066764930226743
comp_ages_16_18,-0.0019102286011287717
comp_pop_km2,-0.0019267131953637495
comp_voted_other,-0.0019382013331833425
comp_ages_7_15,-0.0019485248534465427
comp_voted_PS,-0.0019920833282423
base_alkos,-0.0019926217429269144
comp_floorarea_business,-0.0020003977957107066
base_other_retail,-0.0020220055473827436
comp_ages_25_39,-0.002025301550119707
comp_post_offices,-0.002037073651707688
comp_public_bldgs,-0.002038623956119867
base_voted_KOK,-0.0020410152179179963
base_grocery_shops,-0.0020440402137653635
comp_median_fam_income,-0.002058653033283564
comp_floorarea_housing_condo,-0.0020862807273835937
comp_rides_in_sun_morning,-0.0020876712164996647
base_parks_ha,-0.002106416460764149
comp_ages_40_64,-0.002108216225853443
comp_unemployment,-0.002111308723148686
base_voted_VASL,-0.002112975063700673
comp_employment_km2,-0.0021158719001589388
comp_people_on_social_assistance,-0.0021171454475996665
comp_ages_65,-0.0021312161762335746
comp_other_retail,-0.0021349640329120234
comp_industrial_bldgs,-0.0021394924816204863
comp_business_bldgs,-0.0021474857581318396
comp_floorarea_industrial,-0.0021645011302298123
comp_floorarea_public,-0.002166174190180503
comp_daycares,-0.002166657519000914
base_voted_PS,-0.0021688958965870864
comp_retail_jobs,-0.002172419202938314
base_voted_other,-0.0021752439652270583
base_voted_VIHR,-0.0021872856284536057
comp_health_stations,-0.002188077372293873
comp_apothecaries,-0.0021892869718606045
comp_public_jobs,-0.0021930963813554527
comp_floorarea_housing_house,-0.002195039623891226
base_voted_RKP,-0.0022019066244892693
comp_floorarea_ha,-0.0022095470380141258
comp_manufacture_jobs,-0.0022103711201728604
base_forest_ha,-0.0022252419645703014
comp_bike_stations,-0.0022269614678338545
base_post_offices,-0.00225730335714458
base_restaurants,-0.0022724665690446733
base_churches,-0.0023026353569273184
comp_primary_schools,-0.002306552847291754
comp_playgrounds,-0.002328633938104674
base_playgrounds,-0.0023352308350986783
comp_floorarea_other,-0.002349008403632835
comp_rides_in_wed_day,-0.0023494376667522188
comp_rides_in_tue_night,-0.0023665826157363012
comp_rides_in_wed_morning,-0.002368864571745899
comp_business_jobs,-0.0023780992174726734
comp_rides_in_wed_evening,-0.00238332488478743
comp_primary_school_pupils,-0.0024094262884205575
comp_rides_in_sun_evening,-0.0024190546683735548
comp_rides_in_sun_night,-0.0024190546683735548
