Feature,Importance
base_to_comp_distance,0.016516604429738013
comp_health_stations,0.00110298770052919
base_sports_fields,0.0009406321191419709
base_sports_halls,0.000516869000966591
base_primary_school_pupils,0.0002485925997626204
base_daycares,0.00017596674176001414
base_apothecaries,0.00010032634195966672
comp_homes,8.551048626970204e-05
base_primary_schools,1.4183521514388175e-05
comp_libraries,-0.00012115085468711317
base_middle_school_pupils,-0.00015001285301297074
base_industrial_bldgs,-0.0002216804108995385
base_high_schools,-0.00025655372739274984
base_floorarea_ha,-0.00026282890823259297
base_floorarea_housing_condo,-0.00031550761918752723
comp_apothecaries,-0.00033851239061910565
base_business_bldgs,-0.00034520837219531586
base_floorarea_housing_house,-0.00035585395491732896
comp_playgrounds,-0.00036236002283929203
base_public_bldgs,-0.0004101106391267706
base_floorarea_other,-0.0004897696190852008
base_people_on_social_assistance,-0.0004929567051168426
base_floorarea_public,-0.0005200323925511618
base_floorarea_industrial,-0.0005551744737550823
base_total_pop,-0.0005659109109048543
base_floorarea_business,-0.0006621306976578589
base_unemployment,-0.0006738019521524974
comp_other_retail,-0.0007469783808891073
base_middle_schools,-0.0007562396326968868
base_swimming_halls,-0.0007592029661317445
base_homes,-0.0008009434132946192
base_avg_pers_income,-0.000809237466007029
base_median_fam_income,-0.0008586559588300569
base_employment_km2,-0.0008970840211027786
base_churches,-0.0010064225221679823
base_ages_25_39,-0.001037888009834842
base_ages_65,-0.0011070925334396575
comp_swimming_halls,-0.0011084536866863282
base_ages_40_64,-0.0011107688636634583
base_public_jobs,-0.001137399613296286
comp_business_jobs,-0.0011674524326060753
comp_daycares,-0.0011818456506733632
base_business_jobs,-0.0012157094138705027
comp_floorarea_public,-0.0012208320912883153
comp_rides_out_sat_night,-0.0012409513215581036
base_post_offices,-0.0012508151869561335
base_manufacture_jobs,-0.0012876061986335507
comp_public_jobs,-0.0012921483275418755
comp_floorarea_other,-0.0012971823300641505
comp_floorarea_housing_condo,-0.0013067998175599893
comp_ages_0_6,-0.001309524082805047
comp_rides_out_sat_evening,-0.001319912012289537
comp_ages_7_15,-0.0013220784424397003
comp_floorarea_industrial,-0.0013328471819098464
comp_people_on_social_assistance,-0.0013424515263150694
comp_ages_40_64,-0.0013963124444608122
comp_avg_pers_income,-0.001408804504524741
comp_ages_65,-0.001419010925782227
comp_median_fam_income,-0.0014455322682936922
comp_public_bldgs,-0.001454498578886687
base_alkos,-0.0014558143368116339
base_pop_km2,-0.0014594660144084948
comp_floorarea_housing_house,-0.001461384252065101
comp_total_pop,-0.0014661917208432795
comp_primary_schools,-0.0014690757982867009
comp_floorarea_business,-0.0014863435371691436
base_health_stations,-0.0014907551880948278
comp_ages_25_39,-0.0015251463313252778
base_transport_jobs,-0.001533806201720611
base_ages_0_6,-0.0015461918103939487
comp_post_offices,-0.0015532438213432531
base_ages_7_15,-0.0015668158271852084
base_ages_19_24,-0.0015796355910171478
base_libraries,-0.001585169480733284
base_ages_16_18,-0.001587595575516798
comp_transport_jobs,-0.00159370972512074
comp_ages_16_18,-0.0015963812512901354
base_special_school_pupils,-0.00160113341198298
base_high_school_students,-0.0016422420437853802
base_special_schools,-0.0016490456546370824
comp_rides_out_sat_day,-0.0016521424604043489
comp_rides_out_sat_morning,-0.0016527121248666177
comp_rides_out_fri_night,-0.0016527121248666177
comp_rides_out_fri_morning,-0.0016573144434451903
comp_rides_out_thu_evening,-0.0016573144434451903
comp_rides_out_thu_night,-0.0016573144434451903
base_retail_jobs,-0.0016583246376774552
comp_floorarea_ha,-0.0016650970251562702
comp_rides_out_wed_night,-0.0016688509716629163
comp_rides_out_fri_evening,-0.0016694634752283388
comp_rides_out_fri_day,-0.0016697012977900938
comp_rides_out_tue_day,-0.0016702634892943324
comp_rides_out_tue_morning,-0.0016702634892943324
comp_rides_out_tue_evening,-0.0016702634892943324
comp_rides_out_mon_morning,-0.0016706798297458914
comp_rides_out_tue_night,-0.0016767955200807094
comp_rides_out_thu_morning,-0.0016775392460149918
comp_rides_out_thu_day,-0.0016777770685767468
comp_manufacture_jobs,-0.0016790328858999892
comp_rides_out_mon_night,-0.0016800909967269462
comp_rides_out_mon_day,-0.0016811485506246227
comp_rides_out_mon_evening,-0.0016811485506246227
comp_alkos,-0.001692653693014301
comp_rides_out_wed_day,-0.001697258145212266
comp_rides_out_wed_morning,-0.001697258145212266
comp_rides_out_wed_evening,-0.001697258145212266
comp_industrial_bldgs,-0.0017040418865852391
comp_rides_in_tue_morning,-0.0017144738896925915
comp_employment_km2,-0.0017193338375063316
comp_rides_out_sun_night,-0.0017301346284805952
comp_unemployment,-0.0017305330534322927
comp_rides_in_thu_day,-0.0017564343562934681
comp_rides_in_thu_morning,-0.0017564343562934681
comp_ages_19_24,-0.0017652022519469845
comp_rides_in_wed_evening,-0.001768633600341185
comp_rides_in_wed_night,-0.001768633600341185
comp_rides_in_fri_night,-0.0017796611056987155
base_grocery_shops,-0.0017842772118914496
comp_rides_in_thu_night,-0.0017873001612901396
comp_rides_in_thu_evening,-0.0017873001612901396
comp_rides_in_sat_day,-0.0018138827246063638
comp_rides_in_sat_evening,-0.0018138827246063638
comp_rides_in_sat_morning,-0.0018138929795851189
comp_rides_in_sat_night,-0.0018148534480980638
comp_rides_out_sun_evening,-0.0018157174507451579
comp_rides_out_sun_morning,-0.0018157174507451579
comp_rides_out_sun_day,-0.0018157174507451579
comp_rides_in_fri_morning,-0.0018170529287240278
comp_rides_in_fri_day,-0.001817342295519886
comp_rides_in_fri_evening,-0.001817342295519886
comp_bike_stations,-0.0018411817730572544
comp_voted_VIHR,-0.0018907761390281053
comp_pop_km2,-0.0019040008488563354
comp_voted_RKP,-0.0019044930493163914
comp_business_bldgs,-0.0019375140601591845
comp_sports_fields,-0.0019753411170555513
comp_voted_KOK,-0.0019872437506855967
base_other_retail,-0.0020104764038602063
comp_voted_other,-0.0020467108120828525
comp_voted_VASL,-0.002075613884343408
base_voted_KOK,-0.002094656171746534
comp_voted_PS,-0.0021305065684509294
comp_parks_ha,-0.0021314489220728428
comp_grocery_shops,-0.0021364623968590513
comp_middle_school_pupils,-0.0021470690672559245
comp_cafes_bars,-0.002148989537519519
comp_rides_in_mon_morning,-0.002157353184883082
comp_rides_in_sun_evening,-0.0021633244610986813
comp_rides_in_sun_day,-0.0021633244610986813
comp_rides_in_sun_night,-0.0021633244610986813
comp_rides_in_sun_morning,-0.002163334443350484
base_playgrounds,-0.0021674481761629893
comp_rides_in_wed_morning,-0.0021888750677968583
comp_middle_schools,-0.002201091345905848
comp_restaurants,-0.0022140765162728115
base_restaurants,-0.0022145085411005017
comp_rides_in_wed_day,-0.0022213407196425283
comp_rides_in_tue_night,-0.0022280658732778402
comp_rides_in_tue_day,-0.002242815916952967
comp_rides_in_tue_evening,-0.002245772737156315
comp_rides_in_mon_day,-0.002245881861193566
comp_swim_beaches,-0.0022484734302672393
comp_rides_in_mon_night,-0.0022536706848836907
comp_rides_in_mon_evening,-0.0022536706848836907
comp_high_school_students,-0.0022765944435824137
comp_special_schools,-0.0023087130049008753
comp_retail_jobs,-0.0023125765064777593
comp_special_school_pupils,-0.0023221776070914135
base_swim_beaches,-0.0023268544935388658
comp_voted_SDP,-0.0024615191303616335
comp_forest_ha,-0.002484152324186195
comp_high_schools,-0.0025751378486513765
base_forest_ha,-0.0026223724192854236
base_voted_other,-0.0026462924608554594
base_cafes_bars,-0.0026658412789616337
comp_primary_school_pupils,-0.0027430558649220727
base_voted_PS,-0.002752718068615545
base_voted_VASL,-0.002814583356531619
base_voted_RKP,-0.0028200852657286335
base_voted_VIHR,-0.002842370100053948
base_parks_ha,-0.0028895965234778664
comp_churches,-0.0028951582765466277
comp_sports_halls,-0.003002175937199203
base_voted_SDP,-0.0032426736374471243
