Feature,Importance
base_to_comp_distance,0.09104325240011013
base_sports_fields,0.00022668284758453616
comp_ages_40_64,0.000225979732754511
comp_floorarea_other,4.1560023497089205e-05
base_special_school_pupils,2.8138142318057113e-05
base_churches,-1.4394889668034594e-05
base_special_schools,-0.00011726004228840292
comp_floorarea_industrial,-0.00016196991372519065
base_sports_halls,-0.00016724607264717584
comp_transport_jobs,-0.0002305098533115224
base_apothecaries,-0.00023455844614261867
comp_ages_0_6,-0.00024399749320858088
comp_swim_beaches,-0.0002627238365112694
comp_industrial_bldgs,-0.0002748874699122217
comp_public_jobs,-0.00027860683884217696
comp_ages_25_39,-0.00030117116293182367
comp_total_pop,-0.0003024662733006611
comp_ages_19_24,-0.00032484866225723774
comp_ages_7_15,-0.00032511533750678723
comp_ages_16_18,-0.000326992780239177
comp_voted_VASL,-0.000359886874806703
base_voted_VASL,-0.00037759368898426793
comp_ages_65,-0.0003790634472106147
comp_public_bldgs,-0.00040159319678023664
base_voted_RKP,-0.00040398511963168904
base_voted_PS,-0.000422071737600449
comp_other_retail,-0.0004278399466899341
base_voted_VIHR,-0.0004392074847623384
comp_voted_KOK,-0.0004544579054143183
comp_daycares,-0.0004626019024940309
comp_business_jobs,-0.00046683305567130073
comp_floorarea_ha,-0.0004770031776391015
comp_voted_SDP,-0.0004969626623024803
comp_floorarea_housing_house,-0.0005060170474855408
comp_bike_stations,-0.0005060683675153221
comp_business_bldgs,-0.0005068221201893763
comp_floorarea_business,-0.0005143610073194971
comp_voted_PS,-0.0005292099753129165
comp_floorarea_public,-0.0005294033697071931
comp_voted_VIHR,-0.0005619509165107894
comp_voted_other,-0.0005712731098466151
comp_health_stations,-0.0005725373357965413
comp_employment_km2,-0.0005748726127190462
base_alkos,-0.0005767241032427206
comp_homes,-0.0005818851136701886
base_voted_other,-0.0005930684562039934
comp_playgrounds,-0.000595307702557557
comp_floorarea_housing_condo,-0.0006054337532526155
base_grocery_shops,-0.0006409012473156395
comp_primary_schools,-0.0006496482552892369
comp_pop_km2,-0.0006499251298500708
base_post_offices,-0.000652862204488347
comp_avg_pers_income,-0.0006632924542945284
base_high_school_students,-0.0007107088641435944
comp_rides_out_fri_morning,-0.0007411790472439117
comp_rides_out_thu_morning,-0.0007559291300160975
comp_manufacture_jobs,-0.0007580548094940909
comp_rides_out_sat_day,-0.0007623209402038977
comp_rides_in_thu_morning,-0.0007628578672821407
comp_rides_out_fri_day,-0.0007646658789715044
comp_rides_out_fri_evening,-0.0007646658789715044
comp_rides_out_fri_night,-0.0007646658789715044
base_voted_KOK,-0.0007659001803818066
comp_rides_out_thu_evening,-0.0007706908790767741
comp_rides_out_thu_day,-0.0007706908790767741
comp_rides_out_thu_night,-0.0007731949501154078
comp_rides_out_sat_evening,-0.0007768913296635205
comp_rides_out_sat_night,-0.0007768913296635205
comp_rides_in_wed_morning,-0.0007774072896121753
comp_rides_in_wed_day,-0.0007774072896121753
comp_rides_in_wed_evening,-0.0007774072896121753
comp_rides_in_sat_evening,-0.0007775010007917693
comp_rides_in_sat_day,-0.0007775010007917693
base_voted_SDP,-0.0007786258548129199
comp_rides_in_wed_night,-0.0007799234283152323
comp_rides_out_sat_morning,-0.0007883794774382613
comp_people_on_social_assistance,-0.0007902624758906462
comp_rides_out_wed_evening,-0.0008015780008877593
comp_rides_out_wed_day,-0.0008015780008877593
comp_rides_out_wed_night,-0.0008015780008877593
comp_rides_in_sat_morning,-0.0008080229239175729
comp_rides_in_fri_morning,-0.0008082725382311251
comp_rides_in_fri_evening,-0.0008082725382311251
comp_rides_in_fri_day,-0.0008082725382311251
base_libraries,-0.0008089066137858536
comp_rides_out_wed_morning,-0.0008092124421961167
comp_rides_in_thu_evening,-0.0008104766259490193
