Feature,Importance
base_to_comp_distance,0.08339313643115376
base_homes,0.001154770618064349
base_public_bldgs,0.0007128731784518116
base_daycares,0.0007083596068090392
base_business_jobs,0.0007036157053308401
base_employment_km2,0.0006562757571937361
base_public_jobs,0.0006549990524769012
base_transport_jobs,0.0006386003213001423
base_industrial_bldgs,0.00063306169727817
base_floorarea_other,0.0005706377713570188
base_business_bldgs,0.000567498429396962
base_unemployment,0.0005629099325543674
base_people_on_social_assistance,0.0005557013879866624
base_floorarea_ha,0.0005173981996431376
base_floorarea_housing_house,0.0004644155745452405
base_retail_jobs,0.0004331286573575621
base_floorarea_industrial,0.00042600812597015647
base_floorarea_housing_condo,0.0004216098880750474
base_floorarea_public,0.000413700950289031
base_floorarea_business,0.0004007649106467781
base_manufacture_jobs,0.0002935281470262119
base_ages_19_24,5.996562814725159e-05
base_ages_16_18,5.2640523394043015e-05
base_ages_7_15,4.474043743563083e-05
base_ages_25_39,3.7637724546679685e-05
base_median_fam_income,-5.878995965602485e-05
base_ages_40_64,-6.231676669676833e-05
comp_floorarea_public,-7.47436310142291e-05
base_total_pop,-0.00010590229508222748
base_other_retail,-0.0001262148745700964
base_avg_pers_income,-0.00012750012825568646
base_ages_65,-0.00019439637897156192
comp_floorarea_business,-0.00023224467240623436
comp_industrial_bldgs,-0.00030095651263273293
comp_primary_school_pupils,-0.0003040499294183485
comp_floorarea_ha,-0.0003549503983839575
comp_floorarea_housing_house,-0.00035650596133451895
base_pop_km2,-0.0003787458999557902
comp_homes,-0.00039395044456635997
comp_floorarea_housing_condo,-0.0004019978999748597
base_grocery_shops,-0.00040255006888911815
comp_primary_schools,-0.0005618703760651433
base_sports_halls,-0.000584634647234239
base_playgrounds,-0.0006071189962810752
comp_rides_in_sun_morning,-0.0006261361872466065
comp_daycares,-0.0006715229932895417
base_alkos,-0.0006918490710923209
base_churches,-0.0006996265884207098
base_primary_school_pupils,-0.000703985986963751
comp_voted_SDP,-0.0007117435030815633
base_ages_0_6,-0.000725183551211428
comp_floorarea_industrial,-0.0007516529394278049
comp_business_bldgs,-0.0007686901062192719
comp_libraries,-0.0007922673423516047
comp_public_bldgs,-0.0007928343765989387
comp_voted_other,-0.000804622350442652
base_parks_ha,-0.0008119115094509244
comp_floorarea_other,-0.0008140958025190104
comp_swimming_halls,-0.0008277681662605119
base_forest_ha,-0.0008501602925593543
comp_rides_out_sun_night,-0.0008662399511956131
base_post_offices,-0.0008847591487597395
comp_rides_out_tue_night,-0.0009095827038200222
comp_rides_out_tue_evening,-0.0009124464527653364
comp_voted_VASL,-0.0009134664797710856
comp_rides_out_tue_morning,-0.0009232934119272063
comp_rides_out_tue_day,-0.0009232934119272063
comp_rides_in_tue_night,-0.0009303764430375061
base_sports_fields,-0.000937699917811563
comp_rides_in_wed_day,-0.0009400615103540844
comp_voted_PS,-0.0009486674407997997
comp_rides_in_wed_morning,-0.0009626463276923847
comp_rides_out_thu_night,-0.0009731511901297507
comp_rides_in_mon_evening,-0.000977787707714839
comp_rides_in_mon_night,-0.000977787707714839
comp_rides_in_sun_evening,-0.000978384690715428
comp_rides_in_sun_night,-0.000978384690715428
comp_rides_out_mon_night,-0.0009874606723030421
comp_rides_in_sun_day,-0.0009942734358372451
comp_rides_in_mon_morning,-0.0009987648270508576
comp_rides_in_mon_day,-0.0010000403685620496
comp_rides_in_tue_day,-0.0010016753413368829
comp_rides_in_tue_evening,-0.0010016753413368829
base_primary_schools,-0.0010048549217188674
comp_rides_in_tue_morning,-0.0010096565358405085
comp_rides_in_wed_evening,-0.001013752837896842
comp_middle_school_pupils,-0.001017818295477202
comp_middle_schools,-0.0010206369291463346
base_swimming_halls,-0.0010281674935459506
base_restaurants,-0.001041568684236438
comp_transport_jobs,-0.0010422914615109136
comp_rides_out_thu_morning,-0.0010443751842743598
comp_public_jobs,-0.0010466466637923943
comp_rides_out_wed_evening,-0.0010483090779964677
comp_rides_out_wed_night,-0.0010483090779964677
comp_rides_in_sat_night,-0.00104918651453767
comp_rides_in_sat_evening,-0.0010497897799112144
comp_rides_in_sat_day,-0.0010503697464494532
comp_rides_in_sat_morning,-0.0010503697464494532
comp_rides_out_thu_evening,-0.0010520635581960924
comp_rides_out_thu_day,-0.0010520635581960924
comp_rides_in_fri_morning,-0.0010545213350446891
comp_rides_in_thu_night,-0.001055319251713871
comp_rides_in_thu_evening,-0.001055795653015501
comp_rides_in_thu_day,-0.001055795653015501
comp_rides_in_fri_day,-0.0010578668070053698
comp_rides_in_fri_night,-0.0010580310190710929
comp_rides_in_fri_evening,-0.0010583174263530948
comp_rides_out_wed_day,-0.0010617444032436918
comp_rides_out_wed_morning,-0.0010617444032436918
comp_rides_in_wed_night,-0.001062453570072508
comp_rides_in_thu_morning,-0.0010628965486663144
comp_rides_out_mon_day,-0.001064797055277289
comp_rides_out_mon_evening,-0.001064797055277289
comp_rides_out_mon_morning,-0.0010703202220189167
comp_rides_out_sun_morning,-0.0010720699526056698
comp_employment_km2,-0.0010745954928289558
comp_rides_out_sun_day,-0.0010839902627015618
comp_voted_KOK,-0.0010911970064412246
comp_rides_out_sun_evening,-0.0010932234749077008
comp_retail_jobs,-0.001097786422905922
comp_total_pop,-0.0011164537913798123
base_cafes_bars,-0.0011165983512326783
comp_manufacture_jobs,-0.0011282861296566526
comp_rides_out_fri_morning,-0.0011420878257399902
comp_rides_out_fri_evening,-0.0011420878257399902
comp_rides_out_fri_day,-0.0011420878257399902
comp_rides_out_sat_day,-0.0011445729675723104
comp_rides_out_sat_morning,-0.0011445729675723104
comp_high_school_students,-0.0011447522811566246
comp_rides_out_sat_evening,-0.0011514294015116944
comp_rides_out_sat_night,-0.0011514294015116944
comp_voted_VIHR,-0.0011738754838475085
base_high_school_students,-0.0011900987528641327
comp_rides_out_fri_night,-0.0011942048559056007
comp_business_jobs,-0.0012483242351443158
comp_voted_RKP,-0.0012496006501406809
comp_bike_stations,-0.0012559310984001648
comp_median_fam_income,-0.0012670048835419223
base_swim_beaches,-0.0012775842808355753
base_high_schools,-0.001281214591262958
comp_ages_19_24,-0.0012838964549855003
comp_ages_16_18,-0.0012899984832765998
comp_avg_pers_income,-0.0012971980105028758
comp_unemployment,-0.0013046639510270186
comp_forest_ha,-0.0013098707454762826
base_health_stations,-0.0013113786882480438
comp_ages_7_15,-0.001322503947232101
comp_people_on_social_assistance,-0.0013263280638052821
comp_swim_beaches,-0.0013359291004934049
comp_health_stations,-0.001341333114441734
comp_grocery_shops,-0.0013613305862335556
base_libraries,-0.0013614663689031081
comp_ages_0_6,-0.0013844913683862536
comp_cafes_bars,-0.0014111719535693235
