Feature,Importance
base_to_comp_distance,0.004884468582866619
base_homes,0.0005285833427496334
base_business_bldgs,0.000291468224250524
base_employment_km2,0.0002108776507473431
base_public_bldgs,0.0001757233912880185
base_people_on_social_assistance,0.0001716111062498582
base_floorarea_ha,-5.002588812308417e-06
base_industrial_bldgs,-2.1254373233303703e-05
base_unemployment,-0.00029240737926505833
base_business_jobs,-0.0004332969430477229
base_median_fam_income,-0.0004669082221097076
base_public_jobs,-0.0006509031423299616
base_manufacture_jobs,-0.0007026436368108291
base_avg_pers_income,-0.00072007006430852
base_total_pop,-0.0007568817590992705
base_ages_25_39,-0.0007952430454971626
base_ages_40_64,-0.0008089869057481547
base_ages_65,-0.0008659060153011211
base_floorarea_housing_house,-0.0009162696476648913
base_floorarea_housing_condo,-0.000975986218680891
base_transport_jobs,-0.0010749831350338468
base_retail_jobs,-0.001075688696331678
base_floorarea_industrial,-0.001161397819831378
base_floorarea_business,-0.0013169798105797659
base_ages_7_15,-0.0013659407248952649
base_ages_16_18,-0.0013741627920720312
base_ages_0_6,-0.0013766740276005551
base_ages_19_24,-0.0014192892058034756
base_sports_halls,-0.0014866511469679988
base_floorarea_public,-0.0015029921352052167
base_health_stations,-0.0015608017164213672
base_pop_km2,-0.0016916403509668054
base_primary_school_pupils,-0.0017522259984366073
base_sports_fields,-0.0020420873895719005
base_daycares,-0.00206668497021234
base_primary_schools,-0.002166160007472384
comp_libraries,-0.002167147463617791
base_playgrounds,-0.002290018662430171
comp_homes,-0.0024656797465720803
comp_total_pop,-0.002579698039140821
base_floorarea_other,-0.0025873316611381147
base_middle_school_pupils,-0.0026791352236159582
base_middle_schools,-0.002750129904374954
base_high_schools,-0.002772405156371782
comp_ages_0_6,-0.0028824894425778513
comp_ages_7_15,-0.002940999603024186
comp_ages_25_39,-0.002953009015884356
comp_ages_40_64,-0.002967105277670301
comp_ages_65,-0.002967278163621634
comp_pop_km2,-0.002970824895435986
comp_transport_jobs,-0.002974405429910565
comp_ages_16_18,-0.0029839877940553983
comp_business_jobs,-0.0029934196254591816
base_special_schools,-0.0030140083586887023
comp_ages_19_24,-0.003038750393747347
comp_health_stations,-0.003046306810704058
comp_unemployment,-0.0030463866729883993
comp_avg_pers_income,-0.0030506489891698463
base_special_school_pupils,-0.0030596742259760834
comp_median_fam_income,-0.003070804323003995
comp_people_on_social_assistance,-0.003076451118043666
comp_public_bldgs,-0.00309483841779834
comp_floorarea_public,-0.0031086664192080393
comp_manufacture_jobs,-0.0031321131222996623
comp_public_jobs,-0.0031458170140208352
base_swimming_halls,-0.003146941884285992
comp_post_offices,-0.003189754227992836
comp_floorarea_business,-0.003279943069545932
comp_daycares,-0.003309374967559009
comp_floorarea_housing_house,-0.0033132037608415432
comp_high_school_students,-0.003321464609044922
comp_floorarea_housing_condo,-0.0033247671243265
comp_floorarea_industrial,-0.00333776997963664
comp_floorarea_other,-0.003338264767237864
comp_sports_fields,-0.003341280420135817
comp_apothecaries,-0.003374835362905615
comp_floorarea_ha,-0.00339848739199089
comp_employment_km2,-0.0034241489895365795
base_libraries,-0.0034904387514105295
comp_primary_schools,-0.003573589131655175
base_high_school_students,-0.0035885937975620452
comp_high_schools,-0.0035987169336092473
comp_industrial_bldgs,-0.0036231943316118453
comp_rides_in_tue_morning,-0.003632196763611928
comp_bike_stations,-0.00378261257880963
base_churches,-0.003865653878508124
comp_business_bldgs,-0.0038669174401061435
base_post_offices,-0.003937733802557575
comp_retail_jobs,-0.0039611191113386734
comp_rides_in_wed_morning,-0.003961226761817538
comp_churches,-0.003980443167849956
comp_rides_in_tue_night,-0.003987285693019871
comp_voted_other,-0.003992455220029667
comp_rides_in_tue_day,-0.004009948345473635
comp_rides_in_tue_evening,-0.004009948345473635
comp_voted_SDP,-0.004069125994576206
comp_rides_out_sat_evening,-0.004072030472004329
comp_rides_out_sat_night,-0.004072762610982661
comp_voted_PS,-0.004081157919480272
comp_voted_VIHR,-0.0040819460372432115
comp_alkos,-0.004100867377440642
comp_voted_VASL,-0.0041028102129561095
comp_voted_RKP,-0.004125471772714717
comp_voted_KOK,-0.0042307739771725306
comp_middle_school_pupils,-0.004246494011273194
comp_grocery_shops,-0.00425181440016742
comp_rides_in_thu_day,-0.00429362228014929
comp_rides_in_thu_morning,-0.00429362228014929
comp_rides_in_wed_evening,-0.004293681015497985
comp_rides_in_wed_night,-0.004293869946106699
comp_rides_in_fri_morning,-0.0043061454723526404
comp_rides_in_thu_evening,-0.0043061454723526404
comp_rides_in_thu_night,-0.0043061454723526404
