Feature,Importance
base_to_comp_distance,0.08650807042257735
comp_daycares,0.0017357048641263306
comp_floorarea_housing_house,0.0014674822423085265
comp_floorarea_other,0.001419646073547498
comp_business_bldgs,0.0014178762508031406
base_pop_km2,0.0013424923510122477
comp_floorarea_housing_condo,0.0013130854423908378
comp_industrial_bldgs,0.0013113036992645766
comp_floorarea_business,0.0012960036765147231
comp_public_bldgs,0.001294641709403077
comp_floorarea_ha,0.0012787149941652087
comp_floorarea_industrial,0.0012497883782640606
comp_middle_schools,0.0011744801387330028
comp_employment_km2,0.001170161182704188
comp_floorarea_public,0.0011614538449150613
base_business_bldgs,0.0010594130719551176
comp_primary_school_pupils,0.0009444994185294764
base_total_pop,0.0008929560195964914
comp_public_jobs,0.0008849383543377831
comp_homes,0.0008797691769096838
comp_primary_schools,0.0008313977111363835
comp_middle_school_pupils,0.0007964887793004971
base_floorarea_business,0.0007557897118434243
base_public_bldgs,0.0007253820434616198
base_homes,0.0007169580637068629
comp_high_school_students,0.0006763655334453
base_employment_km2,0.0006717209727828966
comp_high_schools,0.0006635990835968109
base_floorarea_industrial,0.0006451620837625294
comp_playgrounds,0.0006344530292352601
base_floorarea_public,0.0006038860956202319
base_public_jobs,0.0005986696950575077
base_floorarea_housing_house,0.000524743455829757
base_floorarea_housing_condo,0.0004915999466639231
base_ages_65,0.00043799772797725733
base_ages_25_39,0.0004283439510982534
base_industrial_bldgs,0.0004279259005802727
base_floorarea_ha,0.0004180069428635358
base_ages_0_6,0.00041745353489364145
base_people_on_social_assistance,0.0003960887292905335
base_retail_jobs,0.000382247868709773
base_ages_16_18,0.0003749049079713185
base_avg_pers_income,0.00034582663690863047
base_unemployment,0.0003451665470373122
base_ages_19_24,0.000343528006081506
base_ages_7_15,0.00033896013109580014
base_median_fam_income,0.0002776532196080428
base_manufacture_jobs,0.000258014652477212
base_business_jobs,0.0002503588796685108
base_ages_40_64,0.0002386128679894295
base_floorarea_other,0.0002319838939520702
comp_retail_jobs,0.0002043112922015533
comp_business_jobs,0.00019460363818990523
comp_health_stations,0.00018699233404884108
base_daycares,0.00013021480143005082
base_churches,6.824008521799652e-05
base_cafes_bars,2.2783665298842237e-05
base_high_schools,-1.792410363055108e-05
comp_libraries,-3.096169661809256e-05
comp_manufacture_jobs,-6.746517968858612e-05
base_other_retail,-0.00010332514620503552
base_middle_schools,-0.00010961029466416417
comp_people_on_social_assistance,-0.00012328168225195224
base_primary_schools,-0.0001298121150680176
base_grocery_shops,-0.00015932941571772385
comp_unemployment,-0.00016920642950501996
base_voted_RKP,-0.00017800118826938327
base_alkos,-0.00018386680729898242
comp_ages_65,-0.00019134044564550479
base_transport_jobs,-0.00020604727046691362
base_post_offices,-0.00021788912857589882
comp_avg_pers_income,-0.0002246159063423736
comp_median_fam_income,-0.0002250201196901669
base_restaurants,-0.0002252612794524378
base_voted_other,-0.0002426088231185508
base_voted_VIHR,-0.0002519647545237147
base_high_school_students,-0.0002765446810893968
base_voted_VASL,-0.0003087032747426388
base_parks_ha,-0.00031484279085636224
base_voted_PS,-0.0003533414892595843
comp_transport_jobs,-0.0003574087548275928
base_forest_ha,-0.0003922445063433422
base_voted_SDP,-0.00039324464387036073
base_primary_school_pupils,-0.00039664543565509636
base_middle_school_pupils,-0.00040577432402921776
comp_swimming_halls,-0.00041808766945383713
base_swim_beaches,-0.00042338257872565066
base_apothecaries,-0.00043827350684300104
base_sports_fields,-0.0004435374119230451
comp_ages_7_15,-0.0005015048005923006
base_sports_halls,-0.0005062638683608345
comp_total_pop,-0.0005627802168364227
base_swimming_halls,-0.0006344505029672876
base_voted_KOK,-0.0006574449967525764
comp_ages_40_64,-0.0006589815310958924
comp_ages_16_18,-0.0007006965856276581
comp_ages_19_24,-0.0007190620654530244
comp_ages_25_39,-0.0007244966389718943
comp_pop_km2,-0.0007566937775165261
comp_apothecaries,-0.0007798806397564251
base_special_schools,-0.0008122027426405998
base_special_school_pupils,-0.0008422425835173941
base_libraries,-0.0008847201304220675
comp_ages_0_6,-0.0009225359192640559
comp_sports_fields,-0.0010596589508528043
base_playgrounds,-0.0010661242324551123
comp_special_school_pupils,-0.0011599807610828128
comp_special_schools,-0.0011662764418767235
comp_sports_halls,-0.0011772487971254408
base_health_stations,-0.0013215123659383599
comp_post_offices,-0.001362576141345162
comp_rides_out_fri_morning,-0.0014502862036387398
comp_rides_out_fri_evening,-0.0016090349565504036
comp_rides_out_fri_day,-0.0016090349565504036
comp_rides_out_thu_night,-0.0016119377632732856
comp_churches,-0.0016124910243037194
comp_rides_out_thu_morning,-0.0016296258496033555
comp_rides_out_thu_evening,-0.0016408257429498807
comp_rides_out_thu_day,-0.0016408257429498807
comp_voted_other,-0.0016550558004048144
comp_rides_out_wed_morning,-0.0016672897923334373
comp_rides_out_wed_day,-0.0016894149591165641
comp_rides_out_fri_night,-0.0016916052213001853
comp_rides_out_sat_morning,-0.0016916052213001853
comp_rides_out_wed_evening,-0.001692790535982036
comp_rides_out_wed_night,-0.0016931505315040951
comp_voted_VASL,-0.0017010968097449508
comp_voted_RKP,-0.0017110212012696469
comp_rides_out_sat_evening,-0.001721984159586909
comp_rides_out_sat_day,-0.001721984159586909
comp_rides_out_sat_night,-0.001775892409394464
comp_voted_PS,-0.0017987029534860532
comp_rides_in_mon_morning,-0.0018377325855079008
comp_rides_out_tue_evening,-0.0018559357400019794
comp_rides_out_tue_day,-0.0018559357400019794
comp_rides_out_tue_night,-0.0018559357400019794
comp_rides_out_mon_evening,-0.001858744493781428
comp_rides_out_tue_morning,-0.0018593528422925498
comp_rides_out_mon_night,-0.0018593528422925498
comp_rides_out_mon_day,-0.0018593528422925498
comp_rides_out_mon_morning,-0.001865639361768645
comp_rides_out_sun_night,-0.0018801765166497342
comp_rides_in_sun_night,-0.0019020945776361264
comp_rides_in_sun_evening,-0.0019020945776361264
comp_rides_in_sun_morning,-0.0019135202448871125
comp_rides_in_sun_day,-0.0019135202448871125
comp_rides_in_sat_evening,-0.0019156568874064694
comp_rides_in_sat_morning,-0.0019156568874064694
comp_rides_in_sat_day,-0.0019156568874064694
comp_rides_in_sat_night,-0.0019166633680949285
comp_rides_out_sun_morning,-0.0019189138594361
comp_rides_out_sun_day,-0.0019189138594361
comp_rides_out_sun_evening,-0.001919219964186536
comp_rides_in_fri_evening,-0.0019323385242764335
comp_rides_in_fri_night,-0.0019541857039286903
comp_alkos,-0.001987633103571973
comp_voted_SDP,-0.002026119369074819
comp_cafes_bars,-0.0020757121895483843
comp_voted_VIHR,-0.002153512690273862
comp_voted_KOK,-0.0021726001645903104
comp_rides_in_wed_day,-0.0021757450476049822
comp_rides_in_wed_morning,-0.0021757450476049822
comp_rides_in_thu_day,-0.002230079901965887
comp_rides_in_thu_morning,-0.002230079901965887
comp_rides_in_thu_evening,-0.002230079901965887
comp_rides_in_thu_night,-0.002230079901965887
comp_rides_in_wed_night,-0.002241932049233175
comp_rides_in_wed_evening,-0.002241932049233175
comp_rides_in_tue_day,-0.0022450597677839967
comp_rides_in_tue_night,-0.0022450597677839967
comp_rides_in_tue_evening,-0.0022450597677839967
comp_rides_in_tue_morning,-0.0022450597677839967
comp_rides_in_mon_night,-0.0022763414731508114
comp_rides_in_mon_evening,-0.0022763414731508114
comp_rides_in_mon_day,-0.0022763414731508114
comp_rides_in_fri_morning,-0.002291950573471868
comp_rides_in_fri_day,-0.0023055857493419207
comp_bike_stations,-0.0023484606155080856
comp_forest_ha,-0.0024212711377903373
comp_parks_ha,-0.0024755363103190486
comp_grocery_shops,-0.0025379798725756464
comp_other_retail,-0.002539854962457677
comp_restaurants,-0.002670803272534217
comp_swim_beaches,-0.003057760713513713
