Feature,Importance
base_to_comp_distance,0.0748126263728488
base_floorarea_public,0.0025212509491521207
base_daycares,0.0023175063192258927
base_floorarea_industrial,0.0023057247818788484
base_floorarea_business,0.0022656023425209337
base_floorarea_other,0.002251011034857364
base_floorarea_housing_condo,0.0022407439092326786
base_business_jobs,0.0017535615331317755
base_floorarea_housing_house,0.001701885893909294
base_floorarea_ha,0.001695060145276317
base_public_jobs,0.001621499060170395
base_employment_km2,0.0016071270562497686
base_public_bldgs,0.0015149753920936648
base_transport_jobs,0.0015072138672131974
base_business_bldgs,0.001486253756628586
base_industrial_bldgs,0.0013974146690286515
base_retail_jobs,0.0012106557975791743
base_unemployment,0.0011365600096028272
base_people_on_social_assistance,0.0011215804781318228
base_manufacture_jobs,0.0010905351065135793
base_homes,0.0009109291645396089
base_primary_school_pupils,0.00043772477669079546
base_median_fam_income,0.00038531826485244114
base_ages_16_18,0.0003456018864567145
base_ages_7_15,0.0003439790631858397
base_avg_pers_income,0.00033568479940260243
base_ages_19_24,0.0003220388415055009
base_ages_40_64,0.0003027604557001018
base_ages_65,0.00027289631290305927
base_ages_25_39,0.0002719937623815172
base_primary_schools,0.00016100399423657485
base_ages_0_6,-0.00017254314365489076
base_special_school_pupils,-0.00029279443575724873
comp_total_pop,-0.00035107378917442755
comp_floorarea_business,-0.00041369198481155944
base_special_schools,-0.0004194694719223957
comp_median_fam_income,-0.000441091710934316
base_voted_SDP,-0.0004419244073882167
base_pop_km2,-0.0004452255285963824
base_total_pop,-0.00044676909752117133
base_voted_KOK,-0.0004846859831649786
base_high_school_students,-0.0005070762252104011
base_voted_VASL,-0.0005214158538133784
base_swim_beaches,-0.0005388310527841833
base_voted_VIHR,-0.0005424034400345334
base_parks_ha,-0.0006052741538400408
base_voted_RKP,-0.0006075860072582984
comp_ages_40_64,-0.0006131158212785426
comp_pop_km2,-0.000629710172371567
comp_unemployment,-0.0006347374877537781
comp_avg_pers_income,-0.0006352791433682503
base_grocery_shops,-0.0006420849903554515
base_forest_ha,-0.0006425693398252053
comp_floorarea_public,-0.0006513531769484215
base_restaurants,-0.0006651554907871615
comp_floorarea_industrial,-0.0006681703620186052
base_alkos,-0.0007017347178708278
comp_public_bldgs,-0.0007076446827086746
comp_ages_65,-0.000715457293619659
base_middle_schools,-0.0007254487411800792
base_libraries,-0.0007261649376031354
comp_floorarea_housing_house,-0.0007284269844999303
comp_people_on_social_assistance,-0.0007294678953614353
comp_floorarea_housing_condo,-0.0007296408401817889
comp_transport_jobs,-0.0007380673174459673
comp_ages_0_6,-0.000739125159363252
comp_floorarea_ha,-0.000740213976091364
base_voted_PS,-0.0007598235118688734
comp_manufacture_jobs,-0.0007638707255628319
comp_retail_jobs,-0.0007658026521530914
comp_industrial_bldgs,-0.0007922902044191771
comp_ages_16_18,-0.0008293496639772968
comp_business_bldgs,-0.0008410386311710205
comp_ages_19_24,-0.0008432440290608856
comp_ages_7_15,-0.0008519634760920658
comp_homes,-0.0008563027155240599
base_voted_other,-0.000870404153588078
base_high_schools,-0.0008746574584467259
comp_ages_25_39,-0.0009032401967818959
comp_employment_km2,-0.0009517982489245513
comp_public_jobs,-0.0009778500602629636
comp_business_jobs,-0.0009882262662170849
base_other_retail,-0.0010689811360574675
comp_daycares,-0.001087747345834278
base_health_stations,-0.0011549673086381773
comp_playgrounds,-0.0011601091487511983
base_churches,-0.0011699364195220108
base_apothecaries,-0.0012005896191531473
comp_floorarea_other,-0.0012160726468237737
base_post_offices,-0.0012298986707499626
comp_libraries,-0.001253098827605048
comp_primary_schools,-0.0012776122283809643
base_cafes_bars,-0.001323222574356464
base_swimming_halls,-0.0013867083821511583
base_middle_school_pupils,-0.0014842954089054894
comp_special_school_pupils,-0.0015346701108586158
comp_special_schools,-0.0015442231879531088
comp_primary_school_pupils,-0.0015812082929694826
comp_middle_schools,-0.0015841651600134732
base_sports_fields,-0.0016407445737817161
comp_high_school_students,-0.001662814998590112
base_sports_halls,-0.0016914062010704445
comp_swimming_halls,-0.0017158393208546174
comp_swim_beaches,-0.0017592253792599877
comp_high_schools,-0.001907864370876311
comp_middle_school_pupils,-0.00198208744636863
comp_apothecaries,-0.00204070807067247
comp_health_stations,-0.0021185009401560873
base_playgrounds,-0.0023107217241872258
comp_sports_halls,-0.0023291910962741635
comp_sports_fields,-0.0023625393393719163
comp_voted_SDP,-0.002416139996693545
comp_voted_other,-0.002452464257018838
comp_voted_PS,-0.002460218160146743
comp_voted_VASL,-0.0024768062688315107
comp_churches,-0.0025272675229793817
comp_voted_KOK,-0.002535792703379558
comp_voted_RKP,-0.0025471999258752653
comp_cafes_bars,-0.0025746406828108803
comp_voted_VIHR,-0.0025912703500791112
comp_forest_ha,-0.002777908779348026
comp_parks_ha,-0.002795912145348023
comp_alkos,-0.0027993638272082455
comp_restaurants,-0.0028701154180243993
comp_bike_stations,-0.0028879448951798503
comp_grocery_shops,-0.002891071880950946
comp_post_offices,-0.0029030546720002492
comp_other_retail,-0.0029899157687062194
comp_rides_in_sun_morning,-0.003036474910851905
comp_rides_out_sun_morning,-0.0032981062882211365
comp_rides_in_mon_morning,-0.00329929876656454
comp_rides_out_tue_night,-0.003307275077170213
comp_rides_out_tue_morning,-0.003309775913968749
comp_rides_out_tue_day,-0.003309775913968749
comp_rides_out_tue_evening,-0.0033098915099691872
comp_rides_in_mon_evening,-0.0033100496834078674
comp_rides_in_mon_day,-0.0033100496834078674
comp_rides_out_thu_night,-0.0033113651118348297
comp_rides_in_wed_morning,-0.0033118035809626134
comp_rides_in_wed_day,-0.003311944579491022
comp_rides_in_mon_night,-0.0033131516486523127
comp_rides_out_sun_day,-0.003316327606968761
comp_rides_in_sun_evening,-0.0033181259597130364
comp_rides_in_sun_night,-0.0033181259597130364
comp_rides_in_sun_day,-0.00332077074510706
