Feature,Importance
base_to_comp_distance,0.011579251153516434
base_homes,0.002310625254942078
base_sports_halls,0.0018475579641314965
base_employment_km2,0.0018408379413169529
base_sports_fields,0.0016306559549840172
base_business_jobs,0.0015099211729379114
base_public_jobs,0.0014550497506277127
base_business_bldgs,0.001380931304323041
base_primary_schools,0.0013626822335277566
base_public_bldgs,0.0012540332839141577
base_floorarea_ha,0.0012025135142088583
base_primary_school_pupils,0.0011970353842466475
base_industrial_bldgs,0.0011705850517066407
base_floorarea_housing_house,0.001084030592412466
base_floorarea_housing_condo,0.0010743435991068528
base_floorarea_business,0.0010250061737209215
base_people_on_social_assistance,0.0009227659831446688
base_high_schools,0.0009210420005035802
comp_libraries,0.0007418063240092199
base_libraries,0.0007158622023425432
base_floorarea_industrial,0.0007113279707218201
base_swimming_halls,0.0006922700667343351
base_middle_school_pupils,0.00067446800610238
base_daycares,0.0006735515312816798
base_floorarea_public,0.000623477873019973
base_ages_25_39,0.0005748541504595472
base_special_school_pupils,0.0005565360352105531
base_special_schools,0.0005561037475463326
base_total_pop,0.0005559160473661562
base_avg_pers_income,0.0005099994652463247
base_ages_40_64,0.0005038662816826411
base_ages_65,0.0004894137036458579
base_post_offices,0.0004891773455180104
base_unemployment,0.000487142456584988
base_manufacture_jobs,0.00048697895870453145
comp_ages_0_6,0.00047803797967416184
comp_ages_7_15,0.000454678562864963
comp_apothecaries,0.0004294529701255323
base_apothecaries,0.000414709793056911
comp_ages_65,0.0004001529726248565
comp_ages_40_64,0.0003893304885185245
comp_total_pop,0.00038120178131850757
comp_ages_16_18,0.0003748910268009942
comp_ages_25_39,0.00036050626435613076
base_churches,0.0003594865916102252
base_median_fam_income,0.0003470618374834533
base_health_stations,0.00033876608115035456
comp_avg_pers_income,0.000319936277860422
comp_median_fam_income,0.00027551801289715794
comp_people_on_social_assistance,0.0002271780089676545
base_retail_jobs,0.00021215995662993148
comp_ages_19_24,0.00018405768524609734
comp_pop_km2,0.00012271344061343115
base_transport_jobs,0.00011489627413840964
base_high_school_students,0.00010851894659580363
base_middle_schools,8.616754176860031e-05
comp_business_jobs,3.651938617332817e-05
comp_homes,-6.470378158263124e-06
comp_transport_jobs,-4.7019914016122044e-05
base_playgrounds,-6.556219801245877e-05
base_ages_16_18,-6.760157805152378e-05
base_ages_7_15,-7.279726962849953e-05
base_ages_0_6,-7.56638086664152e-05
base_ages_19_24,-9.500690776043097e-05
comp_unemployment,-0.000175305688406735
comp_public_jobs,-0.000194751323367659
comp_manufacture_jobs,-0.0002210996180961322
comp_playgrounds,-0.0002361890324007465
comp_floorarea_other,-0.00024111887249966824
comp_floorarea_industrial,-0.00026345263839921973
base_pop_km2,-0.0002933212297715482
base_floorarea_other,-0.00030007309735402554
comp_floorarea_public,-0.0003246903130942336
comp_floorarea_housing_house,-0.00033556396855694004
base_voted_PS,-0.0003413261421821856
base_voted_KOK,-0.0003593506705295013
base_voted_VIHR,-0.0003598966826271477
