Feature,Importance
base_to_comp_distance,0.08384323727421583
base_ages_40_64,-0.0005683886416936179
base_ages_19_24,-0.0006494166819445146
base_total_pop,-0.0007078116095068365
base_ages_25_39,-0.0007211908284669999
base_ages_16_18,-0.0007994745666899394
base_people_on_social_assistance,-0.0008218240734101379
base_ages_0_6,-0.0008269520755251891
base_pop_km2,-0.0008420211803166211
base_median_fam_income,-0.0008712167645735791
base_public_jobs,-0.0008990423173772522
base_avg_pers_income,-0.0009517552878175461
base_ages_65,-0.0009869091814571629
base_public_bldgs,-0.000991384332765577
base_special_schools,-0.0010167560228777628
base_homes,-0.0010532610699771627
base_employment_km2,-0.0010660515735179121
base_business_bldgs,-0.0010823396655957884
base_manufacture_jobs,-0.0011378839964204523
base_retail_jobs,-0.001152291509912473
base_special_school_pupils,-0.0012074194378145497
base_floorarea_business,-0.0012835657868196515
base_floorarea_industrial,-0.0012890735165063116
base_industrial_bldgs,-0.0012899586346036829
base_floorarea_ha,-0.0013456892083546501
base_business_jobs,-0.0013484217363977091
base_floorarea_housing_house,-0.0013870698962313854
comp_cafes_bars,-0.0014570073338208145
base_transport_jobs,-0.0014889708118344114
base_daycares,-0.0015131156083747488
base_unemployment,-0.0015262654199401648
base_floorarea_public,-0.0015335515652913356
base_ages_7_15,-0.001560051751211211
base_primary_schools,-0.0015846156965105829
comp_churches,-0.0015919763098225514
comp_other_retail,-0.0016078071721330467
base_floorarea_housing_condo,-0.0016111740046317324
base_libraries,-0.0016675836895649887
base_voted_PS,-0.001668215157752062
base_swimming_halls,-0.0017522846288221539
comp_apothecaries,-0.001756190866399554
base_floorarea_other,-0.0018509163537935303
comp_forest_ha,-0.001854123478491121
comp_alkos,-0.0018675896789205337
comp_parks_ha,-0.0018831300765278502
base_high_schools,-0.0018914910384906225
comp_bike_stations,-0.0019304602957611605
comp_restaurants,-0.0019383682831847215
comp_libraries,-0.0019489901153815214
base_voted_VIHR,-0.001958138116570751
base_swim_beaches,-0.001982011199517797
base_voted_KOK,-0.001984034266815482
base_voted_VASL,-0.001984394439735193
base_voted_SDP,-0.001991754703729809
base_post_offices,-0.002018024738861368
base_playgrounds,-0.0020598874356397845
comp_homes,-0.002064255207135157
base_primary_school_pupils,-0.002084605733578493
base_high_school_students,-0.0020881463675992418
comp_floorarea_housing_house,-0.002127495248766542
base_voted_other,-0.002133079642102298
base_middle_school_pupils,-0.0021473119548267583
base_health_stations,-0.0021952190151539597
base_apothecaries,-0.002235997341479612
comp_grocery_shops,-0.0022524494202782464
base_churches,-0.0022736721808094273
comp_health_stations,-0.002277986540050514
base_voted_RKP,-0.0022869980434334636
comp_floorarea_business,-0.002342056877787102
comp_floorarea_public,-0.0023927028348497137
comp_floorarea_housing_condo,-0.0024044241151216506
comp_floorarea_industrial,-0.0024086298079756263
comp_playgrounds,-0.0024381954734913336
comp_ages_16_18,-0.0024490176951444953
comp_primary_schools,-0.002479122618025076
comp_voted_SDP,-0.002497577988014643
comp_voted_KOK,-0.0024990336140144898
comp_special_school_pupils,-0.0025163811848932793
comp_employment_km2,-0.0025415907646595404
comp_industrial_bldgs,-0.0025440192589732957
comp_public_bldgs,-0.0025701117670785534
comp_special_schools,-0.0025759545763455183
base_sports_fields,-0.002584250286905676
comp_floorarea_other,-0.0026093145475973856
comp_retail_jobs,-0.0026134055450230953
base_middle_schools,-0.0026271543505873574
comp_daycares,-0.002627312588539654
comp_voted_VIHR,-0.0026283864978652316
comp_floorarea_ha,-0.002672737004933756
comp_total_pop,-0.002678553120634697
comp_rides_out_fri_morning,-0.0026791930411665943
comp_pop_km2,-0.0026851771489733167
comp_rides_out_sat_morning,-0.002692943438806772
comp_rides_out_fri_day,-0.0026969564792542755
comp_rides_out_fri_evening,-0.0026969564792542755
comp_rides_out_fri_night,-0.0027072055163660513
base_restaurants,-0.0027154681559601324
comp_rides_out_sat_day,-0.002723712240412568
comp_rides_out_sat_evening,-0.0027245979346840477
comp_voted_RKP,-0.002735732994826101
comp_ages_0_6,-0.0027490143463568817
base_grocery_shops,-0.0027660714550753474
comp_rides_out_sat_night,-0.0028337717258809514
comp_ages_25_39,-0.002838972525576189
comp_ages_7_15,-0.0028493597947196747
