Feature,Importance
base_to_comp_distance,0.09008832313152237
base_avg_pers_income,0.0015522696975166506
base_retail_jobs,0.0013197599055432274
base_business_jobs,0.0011135563680597649
base_ages_65,0.0010980463231711202
base_public_jobs,0.0010822758445017122
base_manufacture_jobs,0.0010800792506568957
base_employment_km2,0.0010710528978006284
base_business_bldgs,0.0010305737902942536
base_median_fam_income,0.0010108207809517156
base_homes,0.0009397729714192282
base_public_bldgs,0.0006892398091706831
base_floorarea_housing_house,0.0006236802822463527
base_floorarea_housing_condo,0.0005829547086398934
base_ages_16_18,0.0005575318559494225
base_floorarea_ha,0.0005088000494302136
base_people_on_social_assistance,0.0004937745817719108
base_ages_7_15,0.0004934481298206617
base_unemployment,0.0004554402147310954
base_daycares,0.0004369049453931684
base_floorarea_business,0.00038053345274702277
base_ages_0_6,0.0003756591345513982
base_industrial_bldgs,0.000370976996418082
base_floorarea_public,0.00032424469256031596
base_primary_schools,0.0002277626273957667
base_pop_km2,0.00019575055859977208
base_ages_25_39,0.00019133651321645573
base_transport_jobs,0.00015616974120735705
base_total_pop,0.00013396767561890677
base_ages_40_64,0.00012700818338706732
base_floorarea_other,8.409856106661451e-05
base_ages_19_24,7.562742017430679e-05
base_floorarea_industrial,7.367870794039444e-05
base_primary_school_pupils,-0.000241624938406515
comp_business_jobs,-0.0002952749499256502
base_voted_VASL,-0.0003627480396931615
base_voted_other,-0.0003945015451383149
comp_public_jobs,-0.0005227824528056813
base_forest_ha,-0.000560500787251339
comp_swim_beaches,-0.0005623326914055982
base_voted_PS,-0.0005665492984683329
base_health_stations,-0.0006610379660194621
base_parks_ha,-0.0006999819174966504
comp_total_pop,-0.0007044223924825843
comp_ages_16_18,-0.0007639272810570086
comp_ages_19_24,-0.0007639272810570086
base_other_retail,-0.0007718747242153601
base_middle_schools,-0.000800466662226329
base_sports_halls,-0.0008073976388259796
comp_ages_7_15,-0.0008385803369893585
comp_ages_0_6,-0.0008473538911200063
base_playgrounds,-0.0008655106974199134
comp_churches,-0.0008767337279881326
comp_ages_25_39,-0.0008930939916454994
comp_manufacture_jobs,-0.0009027916920915091
comp_people_on_social_assistance,-0.0009528208474566258
