Feature,Importance
base_to_comp_distance,0.013352031835181966
base_median_fam_income,0.002830039279060226
base_ages_0_6,0.002674176756865765
base_total_pop,0.0025571163978402867
base_people_on_social_assistance,0.0025338225490908473
base_unemployment,0.002495859766191044
base_ages_25_39,0.002469835890246852
base_ages_65,0.00246527414997455
base_ages_19_24,0.00246494973208633
base_manufacture_jobs,0.0024381065586716044
base_ages_40_64,0.002433055361074743
base_retail_jobs,0.002425353553025089
base_ages_16_18,0.002417514694652567
comp_swimming_halls,0.0024058556275257104
base_public_jobs,0.0023617993901364764
base_avg_pers_income,0.0023570591941841634
base_ages_7_15,0.002325528335890392
base_transport_jobs,0.002323969738050602
base_business_jobs,0.002318632024538747
base_pop_km2,0.0022123088705282568
base_employment_km2,0.002113654332582926
base_high_schools,0.0020514572416858723
base_primary_schools,0.0017196589691077513
base_middle_schools,0.0014039369640755917
base_homes,0.0013941277208636693
base_floorarea_ha,0.0013220295862047537
base_industrial_bldgs,0.0012374799470175057
base_daycares,0.001187794889799032
base_public_bldgs,0.001152647239821336
comp_sports_halls,0.0011519932134980149
base_primary_school_pupils,0.0010315414169378423
base_churches,0.0009319023403949744
base_business_bldgs,0.0008489450095562345
base_floorarea_housing_house,0.0007768704492779888
comp_high_school_students,0.0007665247850422441
comp_floorarea_public,0.0007035847978065224
base_floorarea_public,0.0007016151205612164
comp_daycares,0.0006360756208383389
comp_high_schools,0.0005910684297226743
comp_public_jobs,0.0005153085630265064
comp_primary_schools,0.0004971170130937397
comp_sports_fields,0.00036161954401958685
comp_floorarea_housing_house,0.0003458253539542211
base_high_school_students,0.0003348800252278572
comp_middle_schools,0.0003233923089607238
comp_bike_stations,0.0003003464386800436
comp_floorarea_business,0.0002955637475356987
base_floorarea_housing_condo,0.0002907061892272189
comp_middle_school_pupils,0.0002790763072384461
comp_floorarea_housing_condo,0.00027841954808116576
comp_floorarea_ha,0.00026894686441480964
base_floorarea_industrial,0.00025882433016088946
comp_floorarea_industrial,0.0002475012884095573
comp_playgrounds,0.0002086045773551648
base_floorarea_business,0.00020400710505741326
comp_floorarea_other,0.00020359080909415628
comp_employment_km2,0.00015036318512418045
comp_business_bldgs,0.00012587875691116857
comp_homes,0.00012414479032385461
comp_public_bldgs,6.536565560688601e-05
comp_industrial_bldgs,4.338895083233485e-05
base_middle_school_pupils,1.2691216095150892e-05
comp_unemployment,-4.65616122929946e-05
comp_median_fam_income,-9.21649710019512e-05
comp_avg_pers_income,-9.435960275772093e-05
comp_people_on_social_assistance,-0.00010523136134388267
comp_primary_school_pupils,-0.00011176253901701294
comp_manufacture_jobs,-0.00018662188933904478
comp_retail_jobs,-0.00020278480448254754
base_floorarea_other,-0.0002191475389198283
