Feature,Importance
base_to_comp_distance,0.06816191525715065
comp_apothecaries,0.000813772790782763
base_primary_schools,0.0002753372159257639
comp_sports_fields,0.00021437583587269327
comp_playgrounds,0.00020551723910045006
comp_sports_halls,0.00019922953830364687
base_pop_km2,0.0001842730836359996
base_total_pop,0.000110500293771576
base_median_fam_income,1.5088790212502978e-05
comp_churches,-1.7417333095570697e-05
base_public_bldgs,-2.9261693723303672e-05
base_floorarea_housing_house,-4.3823098024975415e-05
base_industrial_bldgs,-6.528560726326571e-05
base_floorarea_industrial,-0.00014169415993092738
comp_floorarea_housing_house,-0.00018326419247516323
base_floorarea_housing_condo,-0.00020102388157638984
base_avg_pers_income,-0.0002475185511412459
comp_post_offices,-0.00026723617917889797
base_ages_65,-0.00027303274504641983
base_ages_16_18,-0.00029475358142572183
base_floorarea_ha,-0.00034194013223243225
base_ages_25_39,-0.00035865206068708133
base_ages_19_24,-0.00036659375578729225
comp_high_schools,-0.0003689507788041668
base_floorarea_public,-0.0003712755430187453
base_ages_0_6,-0.000392058806211959
base_ages_7_15,-0.0003953876109863419
comp_other_retail,-0.00040008711811490016
comp_floorarea_business,-0.00040072630896115236
comp_floorarea_ha,-0.0004141338167980013
base_apothecaries,-0.00042767189439552045
base_floorarea_business,-0.00042864057919356213
base_primary_school_pupils,-0.00044249471271518015
base_unemployment,-0.0004455060040200465
base_daycares,-0.0004517035865356789
base_floorarea_other,-0.0004518459110695039
base_ages_40_64,-0.0004676095286338944
base_manufacture_jobs,-0.0004894299297185656
base_people_on_social_assistance,-0.0005131829368947294
comp_floorarea_housing_condo,-0.0005174084837803461
base_transport_jobs,-0.0005194939361089501
base_retail_jobs,-0.0005838045119106461
comp_homes,-0.0006154593062629443
comp_floorarea_public,-0.0006177413902662687
comp_business_bldgs,-0.0006455577972269699
comp_business_jobs,-0.0006843806827586674
comp_employment_km2,-0.0007006173067134469
comp_industrial_bldgs,-0.00070931289601317
comp_floorarea_industrial,-0.0007288493182409095
comp_public_jobs,-0.0007695770459813511
base_business_jobs,-0.000780227799948241
comp_public_bldgs,-0.0007844899618629775
base_business_bldgs,-0.0007965189359216973
comp_middle_school_pupils,-0.0008092030304869269
comp_high_school_students,-0.00081398265879562
comp_swimming_halls,-0.0008144854392827527
comp_libraries,-0.000832666455803821
base_public_jobs,-0.0008431740678062072
comp_health_stations,-0.0008636675306654684
comp_retail_jobs,-0.0008661854793450274
comp_grocery_shops,-0.0008912241513419072
base_employment_km2,-0.0009213797691476344
comp_manufacture_jobs,-0.0009250270213015943
base_middle_schools,-0.0009522746497190315
comp_primary_school_pupils,-0.0009863967966122766
comp_alkos,-0.0010055608373664704
comp_daycares,-0.0010326395887924056
base_homes,-0.0010368671386844497
comp_cafes_bars,-0.0010716542132741536
base_churches,-0.0010772484848531327
comp_ages_25_39,-0.0011815051041376146
comp_people_on_social_assistance,-0.001185954248537846
comp_ages_19_24,-0.001194784789073866
comp_restaurants,-0.0011996064514412375
comp_unemployment,-0.0012014500237957915
comp_floorarea_other,-0.0012312686637223624
comp_ages_40_64,-0.0012395091324969298
comp_special_schools,-0.001254669113969542
comp_special_school_pupils,-0.001254669113969542
comp_parks_ha,-0.0013214746920909848
comp_primary_schools,-0.0013218235246652554
comp_avg_pers_income,-0.0013281564673145452
comp_ages_16_18,-0.0013286970820676203
comp_ages_65,-0.0013684302253920144
comp_ages_7_15,-0.0013817378277254377
comp_median_fam_income,-0.0013902916586538971
base_middle_school_pupils,-0.0014047539459498548
base_forest_ha,-0.0014129072381339203
comp_swim_beaches,-0.001426219063187295
comp_transport_jobs,-0.0014382953730504022
base_high_schools,-0.0014555087835043112
base_alkos,-0.001473914025073686
comp_middle_schools,-0.0014788820824485072
comp_pop_km2,-0.0014812590050317098
comp_total_pop,-0.0014903589224829483
comp_forest_ha,-0.0015142733478509252
base_swimming_halls,-0.0016080208713796784
base_high_school_students,-0.0016095799847648529
base_post_offices,-0.0016116680501345737
comp_ages_0_6,-0.0016160678205128232
base_voted_RKP,-0.0016323802842279633
base_voted_SDP,-0.0016800668834442423
base_voted_KOK,-0.001682596359789068
base_voted_VASL,-0.001719283851477793
base_parks_ha,-0.0017359035054281824
base_playgrounds,-0.0017657060704827643
base_libraries,-0.0017893907186810054
base_other_retail,-0.001851139454619899
comp_voted_other,-0.001855711019589923
base_voted_VIHR,-0.0018557466994887362
base_grocery_shops,-0.0018626803744112852
base_restaurants,-0.0019201751023049107
base_swim_beaches,-0.001978838472286637
comp_rides_out_sat_morning,-0.0019843045440218754
comp_rides_out_fri_night,-0.001985152458081285
comp_rides_out_fri_evening,-0.0019876967667653567
base_special_school_pupils,-0.0020044666588142634
base_special_schools,-0.0020049838474466286
comp_rides_out_fri_day,-0.002005751355601215
comp_rides_out_sat_night,-0.0020116672532056734
comp_rides_out_fri_morning,-0.002012711561411362
comp_rides_out_sat_day,-0.0020131540072892973
comp_rides_out_sat_evening,-0.0020131540072892973
base_sports_halls,-0.002014933387128659
comp_rides_out_wed_evening,-0.0020472646337504896
comp_rides_out_wed_night,-0.0020487722267781283
comp_rides_out_wed_day,-0.0020512042654818874
comp_rides_out_thu_night,-0.002059520168619766
comp_voted_VASL,-0.002060548489725811
comp_rides_out_thu_day,-0.0020665498693224205
