Feature,Importance
base_to_comp_distance,0.05236203169175746
base_homes,0.0026542612317441705
comp_avg_pers_income,0.002457577855762061
base_health_stations,0.0023954379130307624
comp_people_on_social_assistance,0.002390448082538077
comp_median_fam_income,0.0023901225012190608
comp_retail_jobs,0.002388740410945389
comp_unemployment,0.002370744365150612
comp_manufacture_jobs,0.002358385109905936
comp_homes,0.0022895932709622313
comp_business_jobs,0.0022572277259482743
comp_public_jobs,0.0022087427904211587
comp_industrial_bldgs,0.0021896059539807666
base_primary_schools,0.0021661553123111243
comp_business_bldgs,0.0021478108586724387
base_daycares,0.0021191907962657686
comp_transport_jobs,0.002111925845535212
comp_employment_km2,0.0021065891637177536
comp_floorarea_ha,0.002071229198907454
comp_public_bldgs,0.0020424677410658676
comp_ages_65,0.0018589935265485025
base_industrial_bldgs,0.001848309528251324
base_floorarea_public,0.0018463331951745765
base_employment_km2,0.001846163004086132
base_public_bldgs,0.0018376411165943463
comp_ages_40_64,0.001789834557827663
base_floorarea_industrial,0.001778382066971007
comp_ages_25_39,0.00176704374837644
comp_floorarea_public,0.0017544622793912446
base_floorarea_other,0.0017221646948505365
base_business_bldgs,0.001720861639408211
base_ages_65,0.0017190727523059834
base_avg_pers_income,0.0017059610409557724
comp_pop_km2,0.0016896222927831328
base_floorarea_housing_condo,0.0016846685513369763
comp_ages_16_18,0.0016760368925369251
base_middle_school_pupils,0.0016631997240228458
base_public_jobs,0.0016569696983738114
base_retail_jobs,0.001656915066501452
comp_ages_0_6,0.0016506418789289379
comp_ages_19_24,0.0016356590086945566
base_floorarea_business,0.001626073152685148
base_people_on_social_assistance,0.0016260529421431302
base_floorarea_housing_house,0.0016217081695688584
base_transport_jobs,0.0016163568166793763
base_manufacture_jobs,0.0016115097682529722
comp_ages_7_15,0.0016031211030261838
comp_floorarea_housing_house,0.001602993928895291
base_unemployment,0.00160159354532885
comp_daycares,0.0015955481527792914
base_playgrounds,0.0015781184182414032
base_floorarea_ha,0.0015517832200592219
comp_total_pop,0.0015509447336151672
base_median_fam_income,0.0015275284947715573
comp_floorarea_housing_condo,0.001516663855670064
comp_floorarea_business,0.0015063216391769663
comp_floorarea_other,0.001437037993931245
comp_primary_schools,0.0014267850755581568
comp_floorarea_industrial,0.001414914256658073
base_churches,0.001408839697883968
base_high_schools,0.001407328305235378
base_business_jobs,0.0013857853268552933
base_ages_40_64,0.0013811833330407142
comp_middle_schools,0.0013126509400985809
base_high_school_students,0.0012947332760410157
base_middle_schools,0.0012064472245437718
base_primary_school_pupils,0.0011053251884607374
base_grocery_shops,0.0010325800841864963
comp_primary_school_pupils,0.0010170483320458557
base_ages_25_39,0.0009971021776093991
base_ages_19_24,0.000994641631913984
comp_health_stations,0.0009776882777633444
base_ages_0_6,0.000968063279240039
base_ages_16_18,0.0009471625090736735
base_ages_7_15,0.0009255793953441005
comp_middle_school_pupils,0.0009064829778597794
base_libraries,0.0008815094987616456
comp_high_schools,0.0008588328185512584
base_other_retail,0.0008391961029625694
base_voted_other,0.000779104808977471
comp_special_school_pupils,0.000766484637532816
base_post_offices,0.0007593758975898979
base_total_pop,0.0007050870541440712
base_pop_km2,0.0007035437036303493
base_swimming_halls,0.0006905418904704641
comp_restaurants,0.000681167753381895
comp_high_school_students,0.0006470735922935456
comp_special_schools,0.0006409402119800234
base_voted_PS,0.0005903732041242504
base_forest_ha,0.0005310887947659326
base_voted_VASL,0.0005212838902655115
