Feature,Importance
base_to_comp_distance,0.05426391633237526
base_floorarea_ha,5.394427692384518e-05
base_daycares,-1.564472110071602e-05
base_ages_0_6,-7.075885937068982e-05
base_floorarea_other,-7.625678276812486e-05
base_ages_40_64,-0.00010057728894918849
base_business_jobs,-0.00012000187474492385
base_retail_jobs,-0.0001310611425524577
base_transport_jobs,-0.00013670619664918338
base_floorarea_housing_house,-0.00016883425145208797
base_avg_pers_income,-0.00021760490050304337
base_people_on_social_assistance,-0.00024223394824884892
base_ages_19_24,-0.00025786346091227763
base_ages_25_39,-0.0002614752025750233
base_public_jobs,-0.000271154727739642
base_industrial_bldgs,-0.0002778717583011847
base_ages_16_18,-0.0002791711015224241
base_ages_65,-0.00028753851583496193
base_floorarea_housing_condo,-0.0002891403348728172
base_median_fam_income,-0.00029167660605688983
base_ages_7_15,-0.0003007517117350478
base_total_pop,-0.0003133016360659102
base_floorarea_public,-0.00038889202161174197
base_floorarea_industrial,-0.0003951332821020559
base_public_bldgs,-0.0004014873405939756
base_business_bldgs,-0.00043276760999555464
base_unemployment,-0.0004387488010583196
base_floorarea_business,-0.00046587709052015036
base_homes,-0.0004841135437154698
base_manufacture_jobs,-0.0005051436575378432
base_pop_km2,-0.0005762239223504606
comp_apothecaries,-0.0005988710468549652
base_employment_km2,-0.0006144090746815767
base_primary_schools,-0.0007209162358428056
base_libraries,-0.0008034911318434146
base_primary_school_pupils,-0.0009570775202035753
base_health_stations,-0.0010419181293898072
comp_sports_halls,-0.001324846669085944
base_sports_fields,-0.0013368222762013549
base_middle_schools,-0.001496719490349463
comp_libraries,-0.0015326148819271301
base_playgrounds,-0.0015878625957395087
comp_playgrounds,-0.0016502167801180079
base_swimming_halls,-0.0017088431714478158
comp_sports_fields,-0.0017399943781669647
base_sports_halls,-0.0017677906084023753
comp_swimming_halls,-0.0018160866462690883
base_special_school_pupils,-0.0018380732750435946
base_post_offices,-0.0018388907017845568
base_special_schools,-0.0018746243574220278
base_high_school_students,-0.0018900879266975368
base_high_schools,-0.0019098468252074507
comp_health_stations,-0.0019467283427927473
comp_churches,-0.002049909584716847
base_middle_school_pupils,-0.002088217952983751
base_voted_other,-0.0021206861944566002
comp_post_offices,-0.002155296572854848
base_apothecaries,-0.0021575263607926942
base_voted_VIHR,-0.0021749189044761863
comp_restaurants,-0.0021821086210040974
base_voted_VASL,-0.0021851505955374773
comp_voted_PS,-0.0022263302801960316
comp_pop_km2,-0.002320645862295523
comp_rides_out_sat_morning,-0.002330056857372309
comp_rides_out_sat_evening,-0.0023313432692543268
comp_rides_out_sat_day,-0.0023313432692543268
comp_rides_out_sat_night,-0.002331529415353528
base_voted_KOK,-0.0023373273361187996
