Feature,Importance
base_to_comp_distance,0.06698510321140949
base_ages_16_18,0.0009180231117851267
base_ages_7_15,0.0009066012882137375
base_pop_km2,0.0008265408354867221
base_ages_0_6,0.0008096557828392026
base_ages_19_24,0.00048183349702268785
base_ages_25_39,0.0004290542185469981
base_total_pop,0.0003883491874140388
base_ages_65,9.413662515889154e-05
base_ages_40_64,-6.780248761473207e-05
base_libraries,-0.00021674762018297766
base_manufacture_jobs,-0.00032669764995341133
base_people_on_social_assistance,-0.0004058000218608582
base_median_fam_income,-0.00041780031529314865
base_unemployment,-0.00045019125330192367
base_playgrounds,-0.00045073135242268414
base_avg_pers_income,-0.00045095554434704255
base_retail_jobs,-0.0005102251043426209
base_transport_jobs,-0.0006005238860580242
base_business_jobs,-0.0006240984353548251
base_daycares,-0.0006567579268333956
base_business_bldgs,-0.0006781391512147295
base_swimming_halls,-0.0008009955505453581
base_employment_km2,-0.0008108598411858958
base_public_jobs,-0.0008272056066011002
base_high_schools,-0.0008769246056837821
base_health_stations,-0.0008996767349176427
base_homes,-0.0009347155872508894
base_primary_schools,-0.0009936624445812114
base_high_school_students,-0.0010012310814675462
base_grocery_shops,-0.001062991288811821
base_sports_halls,-0.0010686289820411865
base_churches,-0.0010717319660629165
base_sports_fields,-0.001108906987354441
base_alkos,-0.001139130360806151
base_public_bldgs,-0.0011935764360259116
comp_post_offices,-0.0012222416739900988
base_special_schools,-0.0012352969564448646
base_special_school_pupils,-0.0012530036896885033
base_restaurants,-0.001254287591588299
base_forest_ha,-0.0012588987106654237
base_industrial_bldgs,-0.001281193096851263
base_floorarea_industrial,-0.0012960455921716685
base_floorarea_other,-0.0013003948507517293
base_other_retail,-0.0013171758982977178
base_floorarea_ha,-0.0013314807499482662
base_floorarea_housing_house,-0.0013505417881187753
base_floorarea_housing_condo,-0.0013600076625288615
comp_swimming_halls,-0.0013725217127821265
base_parks_ha,-0.0013793906565174874
base_floorarea_public,-0.0013970492590504868
comp_special_school_pupils,-0.001488753323174774
base_floorarea_business,-0.0014998780546450208
base_voted_KOK,-0.0015396986860027884
base_middle_school_pupils,-0.0015568936838005198
base_voted_VIHR,-0.0015759887450825794
comp_special_schools,-0.001616239417169485
base_voted_SDP,-0.0016291826125728326
base_middle_schools,-0.0016348585530194804
comp_high_school_students,-0.0016370503338158926
base_cafes_bars,-0.0016405338407925463
base_primary_school_pupils,-0.0016739832659918852
comp_rides_in_mon_evening,-0.0017279572676734967
comp_rides_in_mon_night,-0.0017279572676734967
comp_rides_in_tue_morning,-0.0017279572676734967
comp_rides_in_tue_day,-0.0017291489299696705
base_apothecaries,-0.0017301263005338186
comp_rides_in_wed_day,-0.001730322566935838
comp_rides_in_wed_evening,-0.001730322566935838
comp_rides_in_tue_evening,-0.001730322566935838
comp_rides_in_wed_morning,-0.001730322566935838
comp_rides_in_tue_night,-0.0017322095468692567
comp_rides_in_thu_morning,-0.0017370164157656243
comp_rides_in_thu_day,-0.0017370164157656243
comp_rides_in_wed_night,-0.001739467535167405
comp_rides_in_thu_evening,-0.0017761303801558936
comp_rides_in_thu_night,-0.0017761303801558936
base_voted_RKP,-0.0017811735969295306
comp_rides_out_sun_morning,-0.0017818470246819818
comp_rides_in_sat_evening,-0.0017818470246819818
comp_rides_out_sun_day,-0.001784677102518284
comp_rides_out_sun_evening,-0.001784677102518284
comp_rides_in_sat_night,-0.0017851058853353141
comp_rides_out_mon_night,-0.0017910591490406524
comp_rides_out_tue_morning,-0.0017959049530631432
comp_rides_in_fri_night,-0.0018035602418731145
comp_rides_in_fri_evening,-0.0018040461786328343
comp_rides_in_fri_day,-0.0018040461786328343
comp_rides_in_fri_morning,-0.0018040461786328343
comp_rides_in_sat_morning,-0.0018058224170659498
comp_rides_in_sat_day,-0.0018058224170659498
base_post_offices,-0.001813762677578934
comp_rides_out_tue_night,-0.0018166726259202237
comp_rides_out_tue_day,-0.0018296275244450433
comp_rides_out_tue_evening,-0.0018360306347702249
comp_rides_out_thu_evening,-0.0018392622359343358
base_swim_beaches,-0.0018453790207525467
comp_rides_out_mon_morning,-0.001863582861491575
