Feature,Importance
base_to_comp_distance,0.09460788474983206
base_avg_pers_income,-0.001932396498333988
base_ages_65,-0.002038973695200119
base_median_fam_income,-0.002291351240698125
base_unemployment,-0.0023105293855312237
base_people_on_social_assistance,-0.002333893494484318
base_retail_jobs,-0.0024056490025706756
base_employment_km2,-0.002437974631078199
comp_other_retail,-0.0025771854508112035
base_manufacture_jobs,-0.0026095965626842244
base_public_jobs,-0.0027055273517206935
base_total_pop,-0.0027860480328674164
base_playgrounds,-0.0027868730117419638
base_homes,-0.0028041927730462213
base_ages_7_15,-0.0028086632659597432
base_ages_16_18,-0.0028086661349433495
base_ages_40_64,-0.0028234573765132387
base_ages_25_39,-0.0028349245896018838
base_transport_jobs,-0.002850162332479589
base_business_bldgs,-0.002913244781545532
base_industrial_bldgs,-0.0029917455208492427
base_pop_km2,-0.003019133273791441
base_business_jobs,-0.003032837812556033
base_public_bldgs,-0.003096127896823342
base_ages_19_24,-0.003152764893668225
base_floorarea_ha,-0.0031774816784396753
base_floorarea_business,-0.003235926585226867
base_floorarea_housing_condo,-0.00330800855568425
base_ages_0_6,-0.00332399676220263
base_floorarea_housing_house,-0.003374719204983001
base_special_school_pupils,-0.003417084269354498
base_daycares,-0.003435978595250244
comp_libraries,-0.003451182181699153
comp_voted_SDP,-0.0034585052849479547
comp_voted_KOK,-0.0034760134109300678
base_special_schools,-0.003489366610155531
comp_voted_VIHR,-0.0035091513095485416
comp_post_offices,-0.0035304653411689646
base_post_offices,-0.0036038061199276106
comp_rides_in_wed_day,-0.003611389524404207
comp_rides_in_tue_night,-0.0036273051281033863
comp_rides_in_wed_morning,-0.003633834190794216
comp_rides_in_fri_morning,-0.0036617230156791303
comp_rides_in_fri_evening,-0.00367486440062037
comp_rides_in_fri_day,-0.00367486440062037
base_sports_halls,-0.003681320779589936
comp_rides_in_wed_night,-0.003683206414556106
comp_rides_in_wed_evening,-0.003683206414556106
comp_rides_in_thu_night,-0.0036850029535600015
comp_rides_in_thu_day,-0.0036852099416245787
comp_rides_in_thu_evening,-0.0036852099416245787
comp_rides_in_thu_morning,-0.003685231511490139
comp_rides_out_mon_morning,-0.0037142611102057854
base_health_stations,-0.003732138105885019
comp_rides_in_tue_evening,-0.003742242301757792
comp_rides_in_tue_day,-0.003742242301757792
comp_voted_RKP,-0.003745797711060095
comp_rides_in_tue_morning,-0.0037612874608740077
comp_rides_in_mon_day,-0.0037616672021463238
comp_rides_in_mon_night,-0.0037616672021463238
comp_rides_in_mon_evening,-0.0037616672021463238
comp_high_schools,-0.0037926401094201534
comp_rides_in_mon_morning,-0.003797200868864148
comp_rides_in_sun_morning,-0.0038141121416628287
base_libraries,-0.003834682304935888
comp_middle_schools,-0.003835816752740695
comp_rides_in_sun_day,-0.0038394035460856957
comp_rides_in_sun_evening,-0.0038394035460856957
comp_rides_in_sun_night,-0.0038403714363358654
comp_rides_out_tue_night,-0.003913892045079526
