Feature,Importance
base_to_comp_distance,0.07372190076276763
comp_business_jobs,0.00104565503743137
comp_high_school_students,0.0008106192135782786
comp_ages_25_39,0.0006402546497312755
comp_ages_19_24,0.0006219086287618802
comp_public_jobs,0.0005961584176471524
comp_floorarea_business,0.0005381447972064857
comp_industrial_bldgs,0.0004900291696997572
comp_people_on_social_assistance,0.00047581363087478845
comp_business_bldgs,0.0004747972977255932
comp_floorarea_housing_house,0.0004743039104717628
comp_floorarea_housing_condo,0.0004713505181047628
comp_floorarea_ha,0.00046894398116603675
comp_floorarea_public,0.00046620164687061205
comp_ages_7_15,0.00045985995947339653
comp_median_fam_income,0.00045142988788449134
comp_avg_pers_income,0.00043674475294086523
base_floorarea_housing_house,0.0004325172149685086
comp_public_bldgs,0.00042818185760840066
comp_homes,0.000405143625538118
comp_unemployment,0.0003990229943062751
comp_retail_jobs,0.0003955143064827693
comp_daycares,0.0003698737598656354
comp_manufacture_jobs,0.00036607812437972065
comp_floorarea_other,0.00035886595456668946
comp_employment_km2,0.0003565966223211259
comp_ages_16_18,0.00035118294704716835
base_floorarea_ha,0.00033419307235560414
base_industrial_bldgs,0.0003179006676095053
base_floorarea_housing_condo,0.00028947351119124054
comp_primary_school_pupils,0.00027795912260808464
base_business_bldgs,0.00027637480109521384
comp_primary_schools,0.0002544396366017665
comp_floorarea_industrial,0.0002451150816179526
comp_transport_jobs,0.00021292936560091125
comp_libraries,0.00020669822853891517
base_public_bldgs,0.00018873800603291802
comp_special_schools,0.00018780058255585264
base_forest_ha,0.0001877976275862503
comp_ages_65,0.00017945076889669398
comp_special_school_pupils,0.0001790631714904123
comp_ages_40_64,0.0001495123593664438
comp_middle_school_pupils,0.0001437883704995535
base_parks_ha,0.00012347810469903742
comp_total_pop,0.00010381286074145901
comp_pop_km2,8.589122692148621e-05
base_total_pop,4.474781145891171e-05
base_floorarea_industrial,8.559512431061123e-06
base_daycares,7.370681993301709e-06
base_floorarea_business,-6.820060636458791e-06
base_cafes_bars,-2.9358775534671366e-05
base_floorarea_other,-6.675086092100546e-05
comp_ages_0_6,-0.00012582017229489928
base_floorarea_public,-0.00017451586392580598
base_restaurants,-0.00018292089518257004
comp_high_schools,-0.00022197513459787377
comp_swimming_halls,-0.00023807929711916476
comp_middle_schools,-0.00034137242174603344
base_grocery_shops,-0.00036403695854403395
base_sports_fields,-0.0003818884255867294
base_swimming_halls,-0.00038953245223893873
comp_other_retail,-0.0004615395259734978
base_ages_0_6,-0.0005088351068585073
base_people_on_social_assistance,-0.000512107962061914
base_primary_schools,-0.0006116842159034075
