Feature,Importance
base_to_comp_distance,0.08308686038695301
base_voted_KOK,0.00133691830878635
comp_high_school_students,0.0013323708368894183
base_voted_SDP,0.0013057660276196703
base_voted_RKP,0.001218360547320274
base_voted_other,0.001208435683375031
base_voted_PS,0.0010602828476132808
base_voted_VASL,0.0010484588077865897
comp_playgrounds,0.0010404690301812902
base_swimming_halls,0.0010036244236180103
base_voted_VIHR,0.0009568537814288458
comp_homes,0.0009217977616644557
base_grocery_shops,0.0008262742372557863
comp_high_schools,0.0008129255543626313
base_cafes_bars,0.0007920121282716241
base_transport_jobs,0.000780423658513163
base_alkos,0.0007528093779429756
base_other_retail,0.0007330075376990042
base_avg_pers_income,0.0007303236288200843
comp_total_pop,0.000708320784076899
base_total_pop,0.000668685426295279
comp_middle_school_pupils,0.0005577712977185012
base_ages_65,0.0005551013481260858
base_ages_19_24,0.000520318944993492
base_ages_7_15,0.0005175802186386802
comp_libraries,0.0004631571229253284
base_ages_25_39,0.000457972867375811
base_ages_16_18,0.0004547789401757596
base_pop_km2,0.0004011226705117332
base_median_fam_income,0.0003754059709042412
base_forest_ha,0.0003750161092074267
base_ages_40_64,0.0003249124181483598
comp_swimming_halls,0.0003071591857750633
comp_ages_40_64,0.00027858806782765644
comp_ages_65,0.00027235322208785107
base_parks_ha,0.0002566598343385351
comp_ages_25_39,0.00021401137281695792
comp_industrial_bldgs,0.00018606424014788736
comp_ages_7_15,0.00018190591866207306
comp_ages_16_18,0.00017502146329473334
comp_ages_0_6,0.00016230936594652245
comp_floorarea_business,0.00012959768762965673
comp_apothecaries,0.00012336762163733805
comp_business_bldgs,0.0001171947106104465
comp_health_stations,9.948300517126363e-05
comp_public_jobs,9.630530654614056e-05
base_sports_halls,8.409430944367191e-05
comp_people_on_social_assistance,6.088966769068893e-05
base_business_jobs,4.63850157861323e-05
base_retail_jobs,3.483300466422534e-05
comp_floorarea_ha,2.9901218021599618e-05
comp_floorarea_housing_condo,2.6029960168427735e-05
comp_employment_km2,2.1824346901788694e-05
comp_floorarea_housing_house,2.1154725755589965e-05
comp_other_retail,2.0587087773527024e-05
base_restaurants,1.5992881782334045e-05
comp_pop_km2,8.061442087536896e-06
comp_transport_jobs,-1.3940562230585485e-05
base_employment_km2,-1.943232681134166e-05
comp_median_fam_income,-2.9614020455537293e-05
base_business_bldgs,-4.134921481835363e-05
comp_avg_pers_income,-4.402720485896516e-05
comp_public_bldgs,-5.843862292143065e-05
base_ages_0_6,-5.972936952269858e-05
comp_alkos,-6.823979158332438e-05
comp_grocery_shops,-7.297056731714324e-05
comp_ages_19_24,-7.612061254891334e-05
comp_daycares,-8.010703197380842e-05
base_public_jobs,-8.778616081372981e-05
base_people_on_social_assistance,-0.000156635761237367
comp_special_school_pupils,-0.0001675446239155498
comp_manufacture_jobs,-0.00017721345838650482
comp_unemployment,-0.00018940925287602717
base_unemployment,-0.00019570185087725012
base_public_bldgs,-0.00019686948636565837
comp_floorarea_other,-0.0002090977176284481
comp_special_schools,-0.0002242574253746854
base_swim_beaches,-0.00024005016710104687
comp_floorarea_industrial,-0.00024199615368414307
comp_retail_jobs,-0.0002738756093809691
base_manufacture_jobs,-0.000330552905712711
base_floorarea_ha,-0.0003454113190115571
base_homes,-0.0003577143411778172
base_playgrounds,-0.00040175730878755367
comp_floorarea_public,-0.0005277904987229798
comp_business_jobs,-0.0005389767514923927
base_industrial_bldgs,-0.0005399523509274085
base_floorarea_housing_condo,-0.000570754029563858
base_daycares,-0.000585958519208174
comp_post_offices,-0.00058951399792595
comp_churches,-0.000669319323484685
comp_primary_school_pupils,-0.0006736439042471787
comp_restaurants,-0.0006970231154541651
comp_primary_schools,-0.0007109051835568758
comp_swim_beaches,-0.0007238431657725641
comp_middle_schools,-0.0007282470646327033
base_apothecaries,-0.0007396868490040509
comp_parks_ha,-0.0008056249259047465
base_floorarea_housing_house,-0.0008230490679925762
comp_cafes_bars,-0.000825912232147008
comp_forest_ha,-0.0008652503683884705
base_churches,-0.0009248905490144566
base_sports_fields,-0.001139128794260813
base_primary_schools,-0.001162316421364773
base_floorarea_business,-0.001280578451775205
comp_rides_in_sat_evening,-0.0014172575287418887
comp_rides_in_sat_night,-0.0014172575287418887
base_middle_schools,-0.0014364439863377987
comp_rides_out_sun_morning,-0.0014365824254339854
comp_rides_out_sun_day,-0.0014365824254339854
comp_rides_out_sun_evening,-0.0014365824254339854
comp_rides_out_sun_night,-0.001438675727007288
base_floorarea_public,-0.0014496749979353574
comp_rides_in_sat_morning,-0.0014538010007025814
comp_rides_in_sat_day,-0.0014538010007025814
comp_sports_halls,-0.0014602275358870376
comp_rides_in_fri_day,-0.0014655968049038792
comp_rides_in_fri_evening,-0.0014655968049038792
comp_rides_in_fri_night,-0.001465863378592669
comp_rides_in_sun_morning,-0.0014709967476449481
comp_rides_in_fri_morning,-0.0014727651828995159
base_special_schools,-0.00147597116189091
base_special_school_pupils,-0.0014888502950684002
comp_rides_in_wed_day,-0.0014948271958532544
comp_bike_stations,-0.0015008849031731275
comp_rides_in_thu_night,-0.0015092179332690803
comp_rides_in_tue_evening,-0.0015124236733997654
comp_rides_in_thu_morning,-0.00151419616606141
comp_rides_in_thu_day,-0.00151419616606141
comp_rides_in_tue_night,-0.0015150819777836055
comp_rides_in_wed_morning,-0.0015150819777836055
comp_rides_in_thu_evening,-0.0015152115020482526
comp_rides_out_sat_night,-0.0015183484373618716
comp_rides_in_sun_day,-0.001519531678985886
comp_rides_in_sun_evening,-0.0015241057149892878
comp_rides_in_sun_night,-0.0015241057149892878
comp_rides_in_mon_day,-0.0015260831430581323
comp_rides_in_tue_morning,-0.0015260831430581323
comp_rides_in_mon_evening,-0.0015260831430581323
comp_rides_in_mon_night,-0.0015260831430581323
comp_rides_in_wed_night,-0.001526351245564106
comp_rides_in_wed_evening,-0.001526351245564106
comp_rides_in_tue_day,-0.0015301814273850356
comp_rides_in_mon_morning,-0.001558774887849279
base_floorarea_industrial,-0.0015739599341155763
base_floorarea_other,-0.0015842723908487955
comp_rides_out_sat_evening,-0.0016031406417281735
base_post_offices,-0.0016146374086114523
comp_rides_out_tue_night,-0.001623921619050006
base_primary_school_pupils,-0.0016239558188915204
comp_rides_out_tue_evening,-0.0016503942779183545
comp_rides_out_tue_morning,-0.001651713715789871
comp_rides_out_mon_night,-0.001651713715789871
comp_rides_out_tue_day,-0.001655632367142612
comp_rides_out_sat_day,-0.0016593264829406484
comp_rides_out_sat_morning,-0.001660727083595992
comp_rides_out_wed_day,-0.001684195048705539
comp_rides_out_wed_morning,-0.0016842345465504227
comp_rides_out_wed_night,-0.0016843322812788442
comp_rides_out_wed_evening,-0.0016843322812788442
comp_rides_out_thu_morning,-0.0016906991635249335
comp_rides_out_fri_morning,-0.0016909641389047936
comp_rides_out_fri_day,-0.0016909641389047936
comp_rides_out_fri_evening,-0.0016909641389047936
comp_rides_out_thu_evening,-0.0016941461954644854
