Feature,Importance
base_to_comp_distance,0.01818051831674583
base_total_pop,0.002225990234231978
base_pop_km2,0.0018188995565096011
base_ages_0_6,0.0017710797461530925
base_ages_19_24,0.0015701188784518205
base_ages_16_18,0.00152367382526164
base_avg_pers_income,0.0014581184477979736
base_ages_7_15,0.0014402039390887245
comp_health_stations,0.0014216745701439715
base_ages_40_64,0.0013951335454126523
base_ages_65,0.001389846265936856
base_ages_25_39,0.0013884495326911273
base_people_on_social_assistance,0.0012801285383705618
base_manufacture_jobs,0.0012054155468446126
base_median_fam_income,0.001203836767267541
base_unemployment,0.0011915447118703293
base_high_school_students,0.0010892759399103724
comp_public_jobs,0.0010337493140636367
comp_business_jobs,0.0009806512435088788
comp_transport_jobs,0.0009112300760534264
comp_special_schools,0.0008830121987375428
comp_swimming_halls,0.0008679255379313577
comp_unemployment,0.0008467701784817816
comp_retail_jobs,0.0008326773004606602
comp_median_fam_income,0.0008324468921628858
comp_people_on_social_assistance,0.0008156636090043135
comp_high_school_students,0.0007977976598392278
comp_avg_pers_income,0.0007807078523323074
comp_manufacture_jobs,0.0007646727377115248
base_retail_jobs,0.000763692137229488
comp_daycares,0.0007602644426193406
comp_ages_65,0.0007192564803517598
base_swim_beaches,0.0007044694715905297
comp_ages_25_39,0.0007006993270499695
base_transport_jobs,0.0006776802922594527
comp_high_schools,0.0006510305560532004
comp_ages_7_15,0.000649874130567496
base_high_schools,0.0006482628933880408
comp_ages_19_24,0.0006479995653546622
base_public_jobs,0.0006477743016489734
comp_middle_school_pupils,0.0006282070544363361
base_business_jobs,0.0006263518689215708
comp_ages_40_64,0.0006213521610575201
comp_ages_16_18,0.0006105484847410692
comp_parks_ha,0.0006058152857444377
comp_forest_ha,0.0005704832937128979
comp_cafes_bars,0.0005373155801231544
comp_floorarea_public,0.00041720546661150326
comp_floorarea_housing_house,0.0003899538603325814
comp_homes,0.000379897427212339
comp_rides_in_wed_evening,0.00037570351897864285
comp_rides_in_sat_evening,0.00036921389835287144
comp_rides_in_sat_day,0.00036921389835287144
comp_playgrounds,0.0003556605312813321
comp_grocery_shops,0.00035480974623824935
comp_rides_in_sat_morning,0.0003532436268928185
comp_middle_schools,0.00035188214463865997
comp_rides_in_fri_night,0.0003502563737880493
comp_rides_in_fri_morning,0.00034367503927013043
comp_rides_in_fri_day,0.0003400697869028191
comp_rides_in_fri_evening,0.0003400697869028191
comp_floorarea_ha,0.000338731107348722
comp_rides_in_sat_night,0.00033809450611754777
comp_rides_in_thu_day,0.000336992376976597
comp_rides_in_thu_morning,0.000336992376976597
comp_rides_in_thu_evening,0.000336992376976597
comp_rides_in_thu_night,0.0003346015698492133
comp_rides_out_sun_morning,0.0003333435997348033
comp_employment_km2,0.00032766501310455
comp_rides_in_wed_night,0.00032071231168173675
comp_rides_out_mon_morning,0.0003206662291761475
base_employment_km2,0.0003203909167943664
comp_alkos,0.0003049782814269486
comp_floorarea_housing_condo,0.00030218924942759795
comp_rides_out_sun_day,0.0002829114966510504
comp_rides_out_sun_evening,0.0002829114966510504
comp_total_pop,0.0002822704526618258
comp_special_school_pupils,0.00027735238238824067
comp_floorarea_business,0.0002529663290355977
comp_pop_km2,0.0002366206399465609
comp_libraries,0.00022168456655724533
comp_rides_out_mon_day,0.00020948689387356723
comp_rides_in_wed_day,0.00016407278529273484
comp_rides_in_tue_night,0.00016098447674817162
comp_rides_in_tue_evening,0.0001576935385659839
comp_rides_in_wed_morning,0.00015693424500118347
comp_public_bldgs,0.0001478602714800603
comp_business_bldgs,0.00014066070413720766
comp_floorarea_other,0.00013364395527037942
comp_industrial_bldgs,0.00012281495015609156
comp_ages_0_6,0.00011043079999539795
comp_rides_out_sun_night,8.526825767407598e-05
base_homes,5.823989417330644e-05
comp_other_retail,1.5886093012396074e-05
comp_post_offices,-7.541914894271251e-06
comp_floorarea_industrial,-9.222322626456503e-06
base_daycares,-1.6462371413394905e-05
comp_rides_out_tue_evening,-1.6894235781772515e-05
comp_rides_out_tue_day,-1.6894235781772515e-05
comp_primary_school_pupils,-2.037229037432642e-05
comp_rides_in_sun_evening,-2.221662477175368e-05
comp_rides_in_sun_morning,-2.221662477175368e-05
comp_rides_in_sun_night,-2.221662477175368e-05
comp_rides_in_sun_day,-2.221662477175368e-05
comp_rides_out_tue_morning,-2.7685707521429848e-05
comp_rides_out_mon_night,-2.9194981102875772e-05
base_primary_school_pupils,-3.716904204742466e-05
comp_rides_out_sat_night,-4.043750875593055e-05
comp_restaurants,-5.312815576918872e-05
comp_voted_RKP,-5.681931047640809e-05
comp_rides_out_mon_evening,-5.8562038244169834e-05
base_primary_schools,-6.738147051199572e-05
comp_rides_out_sat_evening,-7.802594902228677e-05
comp_rides_out_sat_day,-7.802594902228677e-05
comp_rides_out_sat_morning,-7.924086177457657e-05
comp_rides_out_tue_night,-8.648110870990156e-05
base_floorarea_public,-0.00012247525364905698
base_floorarea_housing_house,-0.00012817818995936037
comp_rides_in_mon_morning,-0.00014508140955926674
comp_swim_beaches,-0.00014596103984310105
base_floorarea_ha,-0.00014707634760791066
comp_rides_out_wed_night,-0.00016302228450315592
comp_rides_out_wed_evening,-0.0001634031762814958
comp_rides_out_wed_morning,-0.0001634031762814958
comp_rides_out_wed_day,-0.0001634031762814958
comp_rides_out_thu_morning,-0.0001663955613311341
comp_rides_out_fri_night,-0.00019831084426036316
comp_rides_out_fri_day,-0.0002095061781495211
comp_rides_out_fri_evening,-0.00020958808884974367
comp_rides_out_thu_night,-0.00021253715332936185
comp_rides_out_thu_evening,-0.00021253715332936185
comp_rides_out_thu_day,-0.00021253715332936185
comp_rides_out_fri_morning,-0.00021316173542207384
comp_voted_other,-0.00022503247116933967
comp_voted_VIHR,-0.0002324551718236867
comp_voted_KOK,-0.00023257843218982277
comp_sports_halls,-0.00023806338977605535
comp_voted_VASL,-0.00026839547920387563
base_industrial_bldgs,-0.0002700847094130321
comp_voted_SDP,-0.00027562977310735537
comp_bike_stations,-0.0003172456285983616
comp_voted_PS,-0.00032539720825242036
base_middle_schools,-0.0003694630418492606
base_public_bldgs,-0.000370335894995244
base_churches,-0.00040312288373922645
base_restaurants,-0.0005150342922636275
base_special_school_pupils,-0.0005238299340074581
base_special_schools,-0.0005243426277901087
base_floorarea_housing_condo,-0.0005664873067046106
base_cafes_bars,-0.0005767860637884148
base_parks_ha,-0.0005773304925352774
base_voted_RKP,-0.0006000223346644962
base_voted_KOK,-0.0006073498476519834
comp_primary_schools,-0.0006287567032079444
base_voted_VIHR,-0.0006298734949458096
base_voted_other,-0.0006419839019020657
base_middle_school_pupils,-0.0006435723523555703
base_floorarea_business,-0.0006461403572960434
base_forest_ha,-0.0006641828943536598
base_floorarea_industrial,-0.0006743375643336602
base_floorarea_other,-0.0006786124230091506
base_swimming_halls,-0.0006806925728436442
comp_rides_in_mon_night,-0.000683274620349339
comp_rides_in_mon_day,-0.0006837765377117888
comp_rides_in_mon_evening,-0.0006837765377117888
comp_rides_in_tue_morning,-0.000697303426607454
base_alkos,-0.0007510485575461523
base_business_bldgs,-0.0007557273919750473
comp_rides_in_tue_day,-0.0007760677112020886
base_sports_halls,-0.0008794557176242668
base_voted_VASL,-0.0009342237716418733
base_grocery_shops,-0.0010410992613092418
base_playgrounds,-0.0010526638719794423
base_libraries,-0.0011374415757436918
comp_apothecaries,-0.0013447484461608372
base_sports_fields,-0.0013489428276520776
comp_churches,-0.0013699396380437712
base_voted_SDP,-0.0013705023893511026
base_health_stations,-0.0013937572368593054
base_other_retail,-0.0014895833868466823
base_voted_PS,-0.0015804016596260295
comp_sports_fields,-0.0016401774740889552
base_post_offices,-0.0016499210706956147
base_apothecaries,-0.0021545022459433794
