Feature,Importance
base_to_comp_distance,0.08670297846578312
base_public_bldgs,0.0006804449304437243
base_business_bldgs,0.0006260564437071681
base_employment_km2,0.0005924153353615846
base_primary_schools,0.00043969918195674307
base_homes,0.0004296273532972128
base_high_schools,0.0001493325752246477
base_daycares,5.838155573145709e-05
base_floorarea_housing_condo,4.196383662791181e-05
base_floorarea_ha,-0.00014361301870824406
base_middle_school_pupils,-0.00014933235729153171
base_high_school_students,-0.00021041318383996366
base_business_jobs,-0.00021182227276805854
base_floorarea_housing_house,-0.00024529638274273236
base_public_jobs,-0.0002826180011726853
base_industrial_bldgs,-0.0002856189418057875
base_floorarea_public,-0.00042170712632627616
base_floorarea_other,-0.0004334222559044809
base_middle_schools,-0.00048569683246335593
base_primary_school_pupils,-0.0004907485464268335
base_special_school_pupils,-0.000493147278833983
base_floorarea_industrial,-0.0004996433161589264
comp_special_school_pupils,-0.0006915778488062463
base_floorarea_business,-0.000717629224823435
comp_special_schools,-0.0007543100553495385
base_special_schools,-0.0008395558448974771
base_retail_jobs,-0.0010769005588350256
base_transport_jobs,-0.0011567278036634931
base_sports_fields,-0.0012125950040074995
base_apothecaries,-0.001222483679815367
base_ages_40_64,-0.0012255529994811276
comp_swim_beaches,-0.0013185802496064047
base_avg_pers_income,-0.0014514215758567595
base_ages_19_24,-0.0014543962928786902
base_health_stations,-0.0014750720281554441
base_median_fam_income,-0.0014809695613425822
comp_grocery_shops,-0.001484660666878579
base_ages_16_18,-0.0015026254688287333
base_ages_65,-0.00150442704614695
base_people_on_social_assistance,-0.0015293336190911333
base_ages_0_6,-0.001546385433337627
base_ages_25_39,-0.0015636259831075527
base_unemployment,-0.0015775722238681178
base_churches,-0.0015781632125618783
comp_rides_out_thu_evening,-0.0015798771469498485
comp_rides_out_thu_night,-0.0015892141779851876
base_ages_7_15,-0.0015991265055664838
comp_rides_out_tue_day,-0.0016212854186002934
comp_rides_out_wed_morning,-0.0016212854186002934
comp_rides_out_tue_evening,-0.0016212854186002934
comp_rides_out_tue_night,-0.0016212854186002934
comp_rides_out_mon_evening,-0.0016253535419888943
comp_rides_out_mon_morning,-0.0016253535419888943
comp_rides_out_mon_day,-0.0016253535419888943
comp_rides_out_tue_morning,-0.001639197859433228
comp_rides_out_wed_night,-0.001640411753159654
comp_rides_out_wed_evening,-0.001640411753159654
comp_rides_out_thu_morning,-0.001641792298797795
comp_rides_out_wed_day,-0.0016452080644863143
comp_rides_out_mon_night,-0.0016460588132977128
comp_rides_out_thu_day,-0.001655849442160906
comp_rides_out_fri_morning,-0.0016645115353379758
comp_rides_out_fri_day,-0.0016645115353379758
comp_rides_out_fri_evening,-0.0016678615659720952
comp_rides_out_sat_morning,-0.0016852158333694467
base_manufacture_jobs,-0.0016953915908463069
comp_rides_out_sat_day,-0.0016994187977223962
comp_rides_out_sat_evening,-0.0017000685085089007
comp_rides_out_fri_night,-0.001705648804899651
comp_alkos,-0.0017211789941459221
comp_bike_stations,-0.0017704185830345054
comp_rides_in_sat_evening,-0.0017981341472502743
comp_rides_out_sun_morning,-0.0017981800267219405
comp_rides_out_sun_evening,-0.0017981800267219405
comp_rides_out_sun_day,-0.0017981800267219405
comp_rides_in_sat_night,-0.0017981800267219405
base_pop_km2,-0.0018007882091426453
comp_rides_out_sun_night,-0.0018132308149965137
comp_other_retail,-0.0018451653771537346
comp_rides_out_sat_night,-0.0018454855253765556
base_other_retail,-0.0018580982717353312
comp_rides_in_sat_day,-0.001884531582434068
base_total_pop,-0.0019198975723345724
comp_cafes_bars,-0.001928185099596913
comp_post_offices,-0.001974517820699795
base_swimming_halls,-0.0020544520133432
comp_forest_ha,-0.002063282702464253
comp_parks_ha,-0.002086875400792887
comp_rides_in_sat_morning,-0.0020909094618890567
comp_homes,-0.0020947277004589315
comp_rides_in_fri_night,-0.002142256109025076
comp_rides_in_fri_evening,-0.002143160680254219
comp_rides_in_fri_day,-0.002143160680254219
base_parks_ha,-0.002145129676709545
comp_rides_in_fri_morning,-0.0021706343244191073
comp_rides_in_thu_evening,-0.0021709170385083576
comp_rides_in_thu_night,-0.002170958815841173
base_swim_beaches,-0.00217110063588144
base_sports_halls,-0.002175639007453989
comp_voted_VASL,-0.0022293142269527166
comp_rides_in_wed_night,-0.002242604590003916
base_playgrounds,-0.0022503338861264988
comp_apothecaries,-0.002275689940148262
comp_rides_in_thu_day,-0.002279628159747582
comp_rides_in_thu_morning,-0.002279628159747582
base_forest_ha,-0.0023495913246031064
comp_rides_in_sun_night,-0.0023584788562134307
base_voted_PS,-0.002358715209756279
comp_rides_in_sun_evening,-0.0023664815865220845
comp_rides_in_wed_day,-0.0023937499140862517
comp_rides_in_tue_night,-0.0023937499140862517
comp_rides_in_wed_morning,-0.0023937499140862517
comp_rides_in_wed_evening,-0.0023937499140862517
comp_rides_in_tue_evening,-0.0023937499140862517
comp_rides_in_sun_morning,-0.0023945634673024907
comp_rides_in_tue_day,-0.0023951304597243928
comp_rides_in_tue_morning,-0.0023951562199866494
comp_rides_in_mon_morning,-0.0023971173609292906
comp_rides_in_mon_night,-0.0023971173609292906
comp_rides_in_mon_evening,-0.0023971173609292906
comp_rides_in_mon_day,-0.0023971173609292906
comp_rides_in_sun_day,-0.002400781709304356
comp_voted_PS,-0.0024101961777339698
comp_voted_other,-0.0024221400234658574
comp_business_jobs,-0.0024349580292157835
base_grocery_shops,-0.0024399787628378578
base_libraries,-0.0024422433665383103
base_voted_other,-0.0024463852358073135
base_alkos,-0.002516508591532629
comp_sports_halls,-0.002526255953880674
base_post_offices,-0.002581212068393679
comp_public_bldgs,-0.0025906135140747466
comp_business_bldgs,-0.002598380871133954
base_voted_SDP,-0.0025986540299419714
base_voted_VASL,-0.0026335820093034146
comp_employment_km2,-0.0026509881409438885
comp_public_jobs,-0.002651762418948378
comp_total_pop,-0.002659650885968534
base_voted_VIHR,-0.002660793354955726
comp_sports_fields,-0.002669142768109478
comp_restaurants,-0.002670284758866104
base_voted_KOK,-0.002671661386069446
base_restaurants,-0.0026850581471453694
base_cafes_bars,-0.0027004563256528558
comp_voted_RKP,-0.0027077853176188382
comp_voted_KOK,-0.0027627776570384732
comp_retail_jobs,-0.0027822813748704656
comp_ages_16_18,-0.0027852591367931723
comp_voted_VIHR,-0.002825213656728387
comp_voted_SDP,-0.0028373991377442787
comp_ages_7_15,-0.0028759749570034243
comp_industrial_bldgs,-0.002916190071179714
comp_high_schools,-0.0029408836521096493
comp_swimming_halls,-0.0029462736269867396
comp_floorarea_housing_condo,-0.002954002722469151
base_voted_RKP,-0.0029881466558824288
comp_primary_schools,-0.003000042152685567
comp_manufacture_jobs,-0.0030124630678144415
comp_ages_0_6,-0.0030955203991386293
comp_floorarea_housing_house,-0.0031063203455033994
comp_churches,-0.0031111472003665375
comp_ages_40_64,-0.0031112823448562477
comp_pop_km2,-0.0031129564300028667
comp_middle_schools,-0.003115250040392592
comp_unemployment,-0.0031186334233873625
comp_floorarea_ha,-0.0031306350259506788
comp_people_on_social_assistance,-0.0031343683461858562
comp_ages_25_39,-0.0031449497711426577
comp_health_stations,-0.0031498705511598946
comp_ages_65,-0.0031615994683651394
comp_high_school_students,-0.0031915753727973506
comp_ages_19_24,-0.00321750489752326
comp_median_fam_income,-0.0032245954314010783
comp_avg_pers_income,-0.0032311063257425277
comp_floorarea_public,-0.003233926402052334
comp_floorarea_business,-0.003275850819313808
comp_transport_jobs,-0.003280397867835072
comp_playgrounds,-0.003288757749642879
comp_floorarea_other,-0.0033474704207197004
comp_floorarea_industrial,-0.0033717636572404563
comp_primary_school_pupils,-0.0034415992982423926
comp_daycares,-0.0035619090930311126
comp_middle_school_pupils,-0.0036876586430589775
comp_libraries,-0.0038137130425731636
