Feature,Importance
base_to_comp_distance,0.016948059231842505
comp_swimming_halls,0.0009113197618740854
comp_playgrounds,0.000763997332623223
comp_special_school_pupils,0.0006114092344997601
base_total_pop,0.0005487319716702688
comp_special_schools,0.0005381667165306192
comp_middle_school_pupils,0.0004896214739495974
base_ages_0_6,0.0002509324401582802
comp_health_stations,0.00019572930170308478
comp_daycares,0.00011950497121882009
comp_high_school_students,9.39191236474235e-05
base_pop_km2,7.680708928636815e-05
comp_libraries,-6.926929858930286e-06
comp_middle_schools,-0.00013768909484912495
comp_bike_stations,-0.0001687738421553009
base_sports_fields,-0.00020057398798756232
base_swim_beaches,-0.0002675977129497076
base_ages_7_15,-0.0002879391060154335
base_ages_19_24,-0.00028983283146011285
base_ages_16_18,-0.0002902475395553106
comp_sports_halls,-0.000330714182115055
comp_high_schools,-0.0003640642974283015
base_high_schools,-0.0004306358155862222
base_ages_65,-0.00044773956822363736
base_ages_25_39,-0.00046621615413011686
base_ages_40_64,-0.0004803464758463827
comp_rides_in_tue_night,-0.0005223524438005001
comp_rides_in_wed_day,-0.0005238250211380135
comp_rides_in_tue_evening,-0.0005256098276721355
comp_rides_in_wed_morning,-0.0005291504048933193
base_sports_halls,-0.0005444103760908758
comp_sports_fields,-0.0005530205845956093
comp_primary_school_pupils,-0.0006307368774550737
comp_floorarea_other,-0.0006516306779993375
comp_homes,-0.0006519710209000884
comp_floorarea_housing_house,-0.0006544817969311723
comp_floorarea_housing_condo,-0.000691486033805977
comp_floorarea_ha,-0.0007034438178333824
comp_floorarea_industrial,-0.0007397585839401533
base_health_stations,-0.0007531988035219817
base_swimming_halls,-0.0007853239230830589
comp_public_bldgs,-0.0008008711997472551
comp_floorarea_public,-0.0008031834284636385
comp_floorarea_business,-0.0008130480434540566
base_avg_pers_income,-0.0008172017944226839
comp_business_bldgs,-0.0008630708189191205
comp_rides_out_mon_morning,-0.0008840757176139524
comp_industrial_bldgs,-0.0008860615449779452
comp_rides_out_sun_morning,-0.000897184109726501
comp_rides_in_sat_evening,-0.0009269299256470243
comp_rides_in_sat_day,-0.0009269299256470243
comp_rides_in_sat_morning,-0.0009322569454981444
comp_rides_in_fri_night,-0.0009448587426418298
comp_rides_out_sun_day,-0.0009482562976700359
comp_rides_out_sun_evening,-0.0009482562976700359
comp_rides_in_sat_night,-0.0009624327937062249
comp_rides_in_thu_morning,-0.0009667441957107448
comp_rides_in_fri_evening,-0.000967231994658424
comp_rides_in_fri_day,-0.000967231994658424
