,district,count_outgoing,distance_outgoing,duration_outgoing,count_within,distance_within,duration_within,count_incoming,distance_incoming,duration_incoming,count_outgoing_night,distance_outgoing_night,duration_outgoing_night,count_within_night,distance_within_night,duration_within_night,count_incoming_night,distance_incoming_night,duration_incoming_night,count_outgoing_morning,distance_outgoing_morning,duration_outgoing_morning,count_within_morning,distance_within_morning,duration_within_morning,count_incoming_morning,distance_incoming_morning,duration_incoming_morning,count_outgoing_day,distance_outgoing_day,duration_outgoing_day,count_within_day,distance_within_day,duration_within_day,count_incoming_day,distance_incoming_day,duration_incoming_day,count_outgoing_evening,distance_outgoing_evening,duration_outgoing_evening,count_within_evening,distance_within_evening,duration_within_evening,count_incoming_evening,distance_incoming_evening,duration_incoming_evening,count_outgoing_sun,distance_outgoing_sun,duration_outgoing_sun,count_within_sun,distance_within_sun,duration_within_sun,count_incoming_sun,distance_incoming_sun,duration_incoming_sun,count_outgoing_mon,distance_outgoing_mon,duration_outgoing_mon,count_within_mon,distance_within_mon,duration_within_mon,count_incoming_mon,distance_incoming_mon,duration_incoming_mon,count_outgoing_tue,distance_outgoing_tue,duration_outgoing_tue,count_within_tue,distance_within_tue,duration_within_tue,count_incoming_tue,distance_incoming_tue,duration_incoming_tue,count_outgoing_wed,distance_outgoing_wed,duration_outgoing_wed,count_within_wed,distance_within_wed,duration_within_wed,count_incoming_wed,distance_incoming_wed,duration_incoming_wed,count_outgoing_thu,distance_outgoing_thu,duration_outgoing_thu,count_within_thu,distance_within_thu,duration_within_thu,count_incoming_thu,distance_incoming_thu,duration_incoming_thu,count_outgoing_fri,distance_outgoing_fri,duration_outgoing_fri,count_within_fri,distance_within_fri,duration_within_fri,count_incoming_fri,distance_incoming_fri,duration_incoming_fri,count_outgoing_sat,distance_outgoing_sat,duration_outgoing_sat,count_within_sat,distance_within_sat,duration_within_sat,count_incoming_sat,distance_incoming_sat,duration_incoming_sat
0,000,37279.0,185098916.0,48952915.0,,,,36219.0,178263004.0,46938185.0,1228.0,6208154.0,1645796.0,,,,1836.0,10158212.0,2713667.0,6739.0,35607186.0,9436127.0,,,,11002.0,54962282.0,14380430.0,18861.0,93592260.0,24752541.0,,,,14377.0,69354143.0,18275711.0,10451.0,49691316.0,13118451.0,,,,9004.0,43788367.0,11568377.0,4018.0,18763073.0,4967816.0,,,,4019.0,18972024.0,5022704.0,5872.0,29809016.0,7879935.0,,,,5748.0,29033542.0,7628316.0,6391.0,32369635.0,8556130.0,,,,6041.0,29991341.0,7877244.0,6354.0,32092981.0,8492072.0,,,,6059.0,29991940.0,7890485.0,5814.0,29220299.0,7722864.0,,,,5459.0,27347881.0,7193069.0,4692.0,23125841.0,6113359.0,,,,4849.0,23699530.0,6229476.0,4138.0,19718071.0,5220739.0,,,,4044.0,19226746.0,5096891.0
1,101,337922.0,730013035.0,211669081.0,76407.0,74786380.0,21620453.0,345100.0,744235431.0,203406665.0,15460.0,36444053.0,10512800.0,2727.0,2844203.0,811630.0,12378.0,25460204.0,6986859.0,73221.0,138277696.0,40421857.0,20351.0,20838769.0,6051116.0,107282.0,243105020.0,66243948.0,152829.0,335212815.0,97124411.0,34128.0,32273253.0,9351242.0,155246.0,329736238.0,90273742.0,96412.0,220078471.0,63610013.0,19201.0,18830155.0,5406465.0,70194.0,145933969.0,39902116.0,32632.0,72450544.0,20911060.0,7785.0,7626605.0,2188040.0,30930.0,67959823.0,18490467.0,52861.0,114849662.0,33333585.0,11260.0,11006966.0,3193755.0,53165.0,113974825.0,31240303.0,54906.0,118626599.0,34429310.0,12098.0,11951439.0,3463477.0,56037.0,120480459.0,32978224.0,57788.0,124169805.0,36055082.0,12667.0,12485101.0,3618575.0,58812.0,126486254.0,34598867.0,54232.0,116773314.0,33892026.0,12056.0,11818059.0,3427295.0,55749.0,119946079.0,32815375.0,47750.0,101234702.0,29382897.0,11383.0,11081732.0,3199700.0,50812.0,108500987.0,29654483.0,37753.0,81908409.0,23665121.0,9158.0,8816478.0,2529611.0,39595.0,86887004.0,23628946.0
2,102,193674.0,427688900.0,121260043.0,78129.0,87386377.0,25732933.0,205128.0,444518858.0,126583167.0,11096.0,26044109.0,7381554.0,3560.0,3558872.0,1063502.0,7218.0,16161406.0,4667627.0,44146.0,91870717.0,26042671.0,14002.0,14826170.0,4380331.0,66116.0,139817308.0,39739203.0,81807.0,177479072.0,50233114.0,35942.0,41750831.0,12240132.0,80516.0,174672157.0,49637913.0,56625.0,132295002.0,37602704.0,24625.0,27250504.0,8048968.0,51278.0,113867987.0,32538424.0,20241.0,47436407.0,13489189.0,9577.0,10955477.0,3212684.0,20456.0,47029422.0,13338127.0,28363.0,61805688.0,17476287.0,9901.0,10618297.0,3141384.0,29640.0,63052996.0,18020516.0,30118.0,65819595.0,18607488.0,10622.0,11355604.0,3362534.0,32192.0,68354440.0,19530201.0,33079.0,73138743.0,20704740.0,12369.0,13595580.0,4018230.0,35183.0,75927234.0,21620372.0,30537.0,66500891.0,18846570.0,11564.0,12752362.0,3761869.0,32611.0,69302627.0,19780612.0,27179.0,58075589.0,16487806.0,10998.0,12362659.0,3636137.0,29265.0,61967775.0,17672097.0,24157.0,54911987.0,15647963.0,13098.0,15746398.0,4600095.0,25781.0,58884364.0,16621242.0
3,103,371533.0,868463167.0,249072501.0,271336.0,306619801.0,94799133.0,369591.0,885724473.0,252154002.0,16321.0,42038116.0,11932084.0,8951.0,9862797.0,3015445.0,16102.0,38185623.0,10997737.0,89496.0,191594076.0,55464553.0,69902.0,79710332.0,24347160.0,104988.0,266443754.0,75325089.0,162882.0,382600784.0,109553844.0,118657.0,135521564.0,42227020.0,151753.0,354075865.0,101043724.0,102834.0,252230191.0,72122020.0,73826.0,81525108.0,25209508.0,96748.0,227019231.0,64787452.0,37715.0,91667432.0,26175609.0,27919.0,31711905.0,9798392.0,37841.0,91522711.0,26035604.0,57470.0,135277932.0,38832643.0,41525.0,46528056.0,14299285.0,56499.0,135571016.0,38606358.0,59982.0,140332635.0,40306923.0,43677.0,49358771.0,15216580.0,59612.0,143274086.0,40764559.0,62883.0,147359758.0,42270806.0,45527.0,51680991.0,15942732.0,62454.0,150383178.0,42801994.0,58729.0,136355481.0,39171187.0,43064.0,48785235.0,15092571.0,59001.0,141529822.0,40291595.0,52488.0,119145060.0,34198730.0,39516.0,44390876.0,13803250.0,51926.0,122201056.0,34821946.0,42266.0,98324869.0,28116603.0,30108.0,34163967.0,10646323.0,42258.0,101242604.0,28831946.0
4,104,168213.0,402354231.0,113108179.0,23610.0,16788894.0,4988718.0,168941.0,398370461.0,110487195.0,6453.0,16064718.0,4591947.0,992.0,617727.0,181277.0,8670.0,19697896.0,5430357.0,42336.0,100858941.0,28177940.0,4027.0,2979350.0,902555.0,30445.0,75634460.0,21091236.0,68115.0,161072174.0,45052969.0,10262.0,7489146.0,2218394.0,77089.0,182891927.0,50736682.0,51309.0,124358398.0,35285323.0,8329.0,5702671.0,1686492.0,52737.0,120146178.0,33228920.0,19356.0,46384631.0,13045720.0,3238.0,2321781.0,696044.0,19857.0,47221720.0,13129205.0,23966.0,57603704.0,16190617.0,3083.0,2213025.0,658592.0,24679.0,58183416.0,16141450.0,26111.0,62771165.0,17672754.0,3536.0,2513463.0,744754.0,26034.0,61340501.0,17017110.0,27194.0,65189365.0,18318628.0,3678.0,2651559.0,787941.0,27246.0,64189441.0,17787164.0,26267.0,62995980.0,17698346.0,3560.0,2544228.0,756206.0,26329.0,61804800.0,17135942.0,23481.0,55364562.0,15566949.0,3295.0,2315498.0,680744.0,23303.0,54391213.0,15059507.0,21838.0,52044824.0,14615165.0,3220.0,2229340.0,664437.0,21493.0,51239370.0,14216817.0
5,105,61651.0,223493787.0,61181856.0,73992.0,70387450.0,19668432.0,62277.0,229372977.0,62714897.0,2186.0,8647639.0,2378097.0,1451.0,1590615.0,456485.0,4775.0,17937093.0,4879538.0,22386.0,79673275.0,21841881.0,20345.0,18374215.0,4962834.0,7863.0,30037511.0,8169953.0,22585.0,82194270.0,22523015.0,30098.0,28682592.0,8044603.0,28630.0,104661174.0,28691384.0,14494.0,52978603.0,14438863.0,22098.0,21740028.0,6204510.0,21009.0,76737199.0,20974022.0,6960.0,25434173.0,6956501.0,7665.0,7792538.0,2215519.0,7864.0,28684626.0,7858991.0,9147.0,33114703.0,9082624.0,11087.0,10380066.0,2892925.0,9594.0,35327036.0,9655301.0,9528.0,34445510.0,9433977.0,11638.0,10891728.0,3026508.0,9726.0,36101295.0,9864631.0,10022.0,36557782.0,10002109.0,12385.0,11658931.0,3241046.0,10172.0,37879121.0,10353541.0,9445.0,33918275.0,9279414.0,12064.0,11234513.0,3127430.0,9309.0,34164287.0,9332392.0,8518.0,30529315.0,8362030.0,10697.0,9909413.0,2754892.0,7963.0,28929794.0,7908011.0,8031.0,29494029.0,8065201.0,8456.0,8520261.0,2410112.0,7649.0,28286818.0,7742030.0
6,201,120493.0,369797428.0,100825498.0,42281.0,46034266.0,13435040.0,117974.0,365166215.0,100436895.0,3823.0,11478361.0,3119474.0,2266.0,2236328.0,628453.0,5543.0,18149724.0,4981086.0,33465.0,109008303.0,29566655.0,10106.0,12699689.0,3809330.0,30059.0,89914332.0,25161654.0,51652.0,156406936.0,42662516.0,16333.0,17552687.0,5070488.0,47440.0,149439098.0,40825903.0,31553.0,92903828.0,25476853.0,13576.0,13545562.0,3926769.0,34932.0,107663061.0,29468252.0,12815.0,38524268.0,10522923.0,5172.0,5402589.0,1572568.0,13169.0,40162643.0,11016042.0,18632.0,57603143.0,15703343.0,6420.0,7005875.0,2056981.0,18569.0,58024657.0,15967238.0,19759.0,60966203.0,16625007.0,6482.0,7155597.0,2092880.0,19457.0,60672598.0,16705676.0,20194.0,62365970.0,16978150.0,6780.0,7490066.0,2186513.0,19836.0,62087845.0,17078983.0,19458.0,59749682.0,16293723.0,6647.0,7344233.0,2145530.0,18843.0,58145234.0,16025090.0,16476.0,50220275.0,13691612.0,6058.0,6614689.0,1929952.0,15685.0,48211227.0,13280350.0,13159.0,40367887.0,11010740.0,4722.0,5021217.0,1450616.0,12415.0,37862011.0,10363516.0
7,202,56147.0,181339095.0,50173932.0,29918.0,36613807.0,10107472.0,60955.0,198117700.0,52035935.0,2035.0,6491512.0,1799236.0,1733.0,2300521.0,639244.0,3151.0,11177457.0,2943251.0,17148.0,57036251.0,15787905.0,4647.0,5686494.0,1536784.0,8634.0,26630666.0,6989928.0,21854.0,70277902.0,19420218.0,11867.0,14739416.0,4055448.0,28361.0,92313438.0,24195114.0,15110.0,47533430.0,13166573.0,11671.0,13887376.0,3875996.0,20809.0,67996139.0,17907642.0,6972.0,22499915.0,6228835.0,4222.0,5232423.0,1443420.0,7822.0,25808707.0,6792452.0,8169.0,26465907.0,7318099.0,4050.0,4954222.0,1370905.0,9091.0,29724311.0,7798048.0,8842.0,28855985.0,7983979.0,4286.0,5285490.0,1452523.0,9656.0,31463089.0,8265316.0,8965.0,28924504.0,8006578.0,4482.0,5501157.0,1522617.0,9801.0,31859993.0,8370156.0,8392.0,26658799.0,7387367.0,4343.0,5323090.0,1470157.0,9399.0,30401276.0,7971671.0,7552.0,24116010.0,6670544.0,4123.0,5002451.0,1378971.0,7884.0,24819501.0,6517835.0,7255.0,23817975.0,6578530.0,4412.0,5314974.0,1468879.0,7302.0,24040823.0,6320457.0
8,203,36472.0,124042397.0,33871317.0,19943.0,21676260.0,6515212.0,36452.0,124951204.0,34517029.0,1313.0,4288679.0,1187639.0,963.0,1181798.0,352292.0,2180.0,7803540.0,2153128.0,11587.0,40406735.0,11033833.0,4499.0,4733187.0,1435133.0,5432.0,16585069.0,4617577.0,13802.0,47475748.0,12924456.0,7935.0,8620655.0,2583155.0,16157.0,55759719.0,15402243.0,9770.0,31871235.0,8725389.0,6546.0,7140620.0,2144632.0,12683.0,44802876.0,12344081.0,4293.0,14902583.0,4065622.0,2305.0,2592111.0,775501.0,4595.0,16000356.0,4424671.0,5567.0,18929270.0,5173990.0,3006.0,3203100.0,966122.0,5749.0,19792399.0,5472945.0,6014.0,20027899.0,5479990.0,3178.0,3410347.0,1030379.0,5857.0,20117117.0,5546157.0,5850.0,19792028.0,5407736.0,3252.0,3530042.0,1060803.0,5889.0,20246234.0,5583342.0,5644.0,18826332.0,5142720.0,3083.0,3308819.0,996626.0,5607.0,19065644.0,5271483.0,4781.0,16103711.0,4388540.0,2771.0,3022485.0,907711.0,4577.0,15233394.0,4210934.0,4323.0,15460574.0,4212719.0,2348.0,2609356.0,778070.0,4178.0,14496060.0,4007497.0
9,204,21991.0,73207639.0,19593730.0,7555.0,7617240.0,2133266.0,22661.0,72438154.0,20293821.0,667.0,1983786.0,526754.0,203.0,184561.0,52191.0,1122.0,4083615.0,1141467.0,3982.0,14725884.0,3917599.0,2027.0,2105104.0,570575.0,7535.0,22035996.0,6192806.0,11553.0,38583664.0,10372660.0,3193.0,3244722.0,916522.0,7806.0,25809651.0,7228136.0,5789.0,17914305.0,4776717.0,2132.0,2082853.0,593978.0,6198.0,20508892.0,5731412.0,2191.0,6970543.0,1848308.0,756.0,718853.0,203116.0,2324.0,7512545.0,2096583.0,3670.0,12423605.0,3340178.0,1223.0,1247235.0,348656.0,3672.0,11731276.0,3288093.0,3868.0,12889041.0,3460057.0,1256.0,1257634.0,351463.0,3904.0,12362242.0,3468959.0,3763.0,12711629.0,3408772.0,1332.0,1367308.0,380320.0,3927.0,12632304.0,3541298.0,3604.0,12064129.0,3229942.0,1260.0,1272492.0,356073.0,3711.0,11942429.0,3345171.0,2892.0,9623441.0,2579984.0,1025.0,1045497.0,293051.0,2975.0,9435321.0,2644784.0,2003.0,6525251.0,1726489.0,703.0,708221.0,200587.0,2148.0,6822037.0,1908933.0
