,start_district,finish_district,count,total_distance,total_duration
0,000,101,414.0,3711751.0,997766.0
1,000,102,303.0,2782139.0,757030.0
2,000,103,3508.0,24661429.0,6767523.0
3,000,104,1359.0,9417150.0,2438733.0
4,000,105,7470.0,35474228.0,9792834.0
5,000,201,5731.0,32609874.0,8323080.0
6,000,202,10875.0,39102468.0,9904568.0
7,000,203,2090.0,11294449.0,2917325.0
8,000,204,4193.0,14548577.0,3939211.0
9,000,301,147.0,1452519.0,389283.0
10,000,302,156.0,1357206.0,366845.0
11,000,303,293.0,2610731.0,705013.0
12,000,304,569.0,4290293.0,1166968.0
13,000,305,90.0,857692.0,236951.0
14,000,401,20.0,167935.0,44226.0
15,000,402,12.0,100466.0,26317.0
16,000,404,18.0,172427.0,47841.0
17,000,501,12.0,163639.0,43906.0
18,000,601,1.0,12685.0,3363.0
19,000,602,11.0,182293.0,49232.0
20,000,701,4.0,75919.0,20329.0
21,000,702,3.0,53046.0,14571.0
22,101,000,387.0,3395801.0,913980.0
23,101,101,76407.0,74786380.0,21620453.0
24,101,102,63902.0,97283252.0,28943053.0
25,101,103,111117.0,184717900.0,55995802.0
26,101,104,32003.0,69204684.0,19220472.0
27,101,105,7329.0,31356387.0,8552830.0
28,101,201,12423.0,48733389.0,13169209.0
29,101,202,2416.0,12889222.0,3383417.0
30,101,203,1525.0,9603796.0,2562811.0
31,101,204,174.0,1346687.0,363211.0
32,101,301,68049.0,128217577.0,36391435.0
33,101,302,12014.0,31077637.0,9927858.0
34,101,303,11813.0,39444750.0,11892239.0
35,101,304,4684.0,18798380.0,5516507.0
36,101,305,6463.0,32291175.0,8980211.0
37,101,401,135.0,1002275.0,293357.0
38,101,402,17.0,146711.0,42854.0
39,101,404,265.0,2069988.0,584274.0
40,101,501,281.0,2100926.0,555977.0
41,101,601,1769.0,8268111.0,2224645.0
42,101,602,1065.0,7131533.0,1905235.0
43,101,603,35.0,335650.0,92535.0
44,101,701,41.0,428421.0,111377.0
45,101,702,15.0,168783.0,45792.0
46,102,000,328.0,2869191.0,782548.0
47,102,101,63505.0,96940488.0,27436319.0
48,102,102,78129.0,87386377.0,25732933.0
49,102,103,79184.0,140245827.0,40957435.0
50,102,104,8399.0,26810705.0,7345392.0
51,102,105,6096.0,26100066.0,7098632.0
52,102,201,3107.0,14851767.0,4014994.0
53,102,202,795.0,5006891.0,1317438.0
54,102,203,163.0,1176027.0,311067.0
55,102,204,34.0,301470.0,81208.0
