,start_district,finish_district,count,total_distance,total_duration,day
0,000,101,31.0,306299.0,81303.0,0.0
1,000,101,66.0,556942.0,152698.0,1.0
2,000,101,74.0,635117.0,171407.0,2.0
3,000,101,73.0,638145.0,172398.0,3.0
4,000,101,64.0,578558.0,155550.0,4.0
5,000,101,50.0,463479.0,123058.0,5.0
6,000,101,56.0,533211.0,141352.0,6.0
7,000,102,38.0,367895.0,99865.0,0.0
8,000,102,47.0,425697.0,115777.0,1.0
9,000,102,50.0,442834.0,121380.0,2.0
10,000,102,48.0,443027.0,120397.0,3.0
11,000,102,42.0,382574.0,103830.0,4.0
12,000,102,37.0,338002.0,91675.0,5.0
13,000,102,41.0,382110.0,104106.0,6.0
14,000,103,303.0,2103893.0,578940.0,0.0
15,000,103,612.0,4247919.0,1166103.0,1.0
16,000,103,642.0,4518165.0,1238680.0,2.0
17,000,103,667.0,4672231.0,1280503.0,3.0
18,000,103,536.0,3806989.0,1044740.0,4.0
19,000,103,418.0,2921406.0,804469.0,5.0
20,000,103,330.0,2390826.0,654088.0,6.0
21,000,104,138.0,990786.0,256759.0,0.0
22,000,104,222.0,1556122.0,401655.0,1.0
23,000,104,251.0,1722704.0,446424.0,2.0
24,000,104,235.0,1627226.0,420793.0,3.0
25,000,104,200.0,1388641.0,360279.0,4.0
26,000,104,176.0,1225136.0,317540.0,5.0
27,000,104,137.0,906535.0,235283.0,6.0
28,000,105,880.0,4080912.0,1129341.0,0.0
29,000,105,1096.0,5273809.0,1455267.0,1.0
30,000,105,1208.0,5781186.0,1592585.0,2.0
31,000,105,1283.0,6153458.0,1697384.0,3.0
32,000,105,1084.0,5218869.0,1437890.0,4.0
33,000,105,905.0,4237766.0,1172522.0,5.0
34,000,105,1014.0,4728228.0,1307845.0,6.0
35,000,201,437.0,2394167.0,610527.0,0.0
36,000,201,1007.0,5770328.0,1472507.0,1.0
37,000,201,1065.0,6115414.0,1561437.0,2.0
38,000,201,1031.0,5942214.0,1516622.0,3.0
39,000,201,938.0,5378157.0,1373735.0,4.0
40,000,201,785.0,4439809.0,1133351.0,5.0
