,start_district,finish_district,count,total_distance,total_duration,time
0,000,101,241.0,2124139.0,570443.0,day
1,000,101,77.0,698989.0,187548.0,evening
2,000,101,78.0,735020.0,198381.0,morning
3,000,101,18.0,153603.0,41394.0,night
4,000,102,152.0,1438709.0,389706.0,day
5,000,102,84.0,709929.0,196230.0,evening
6,000,102,58.0,543882.0,146959.0,morning
7,000,102,9.0,89619.0,24135.0,night
8,000,103,1776.0,12302115.0,3374509.0,day
9,000,103,880.0,6188926.0,1692652.0,evening
10,000,103,754.0,5455026.0,1504316.0,morning
11,000,103,98.0,715362.0,196046.0,night
12,000,104,783.0,5403244.0,1397645.0,day
13,000,104,315.0,2195659.0,567261.0,evening
14,000,104,217.0,1523305.0,397708.0,morning
15,000,104,44.0,294942.0,76119.0,night
16,000,105,4148.0,19393472.0,5361731.0,day
17,000,105,2062.0,9768965.0,2698201.0,evening
18,000,105,936.0,4800431.0,1316410.0,morning
19,000,105,324.0,1511360.0,416492.0,night
20,000,201,2953.0,16699192.0,4263829.0,day
21,000,201,1341.0,7540032.0,1917695.0,evening
22,000,201,1288.0,7533167.0,1926998.0,morning
23,000,201,149.0,837483.0,214558.0,night
24,000,202,5789.0,20667501.0,5238778.0,day
25,000,202,3647.0,12736110.0,3227991.0,evening
26,000,202,1117.0,4515706.0,1140773.0,morning
27,000,202,322.0,1183151.0,297026.0,night
28,000,203,992.0,5568244.0,1436784.0,day
29,000,203,670.0,3562953.0,921995.0,evening
30,000,203,355.0,1749863.0,451454.0,morning
31,000,203,73.0,413389.0,107092.0,night
32,000,204,1461.0,5107831.0,1390102.0,day
33,000,204,1086.0,3696525.0,1007319.0,evening
34,000,204,1521.0,5317064.0,1426202.0,morning
35,000,204,125.0,427157.0,115588.0,night
36,000,301,75.0,730426.0,195094.0,day
37,000,301,39.0,389657.0,104650.0,evening
38,000,301,19.0,194407.0,52326.0,morning
39,000,301,14.0,138029.0,37213.0,night
40,000,302,62.0,549727.0,148391.0,day
41,000,302,50.0,449882.0,121185.0,evening
42,000,302,28.0,227202.0,61904.0,morning
43,000,302,16.0,130395.0,35365.0,night
44,000,303,90.0,810998.0,220361.0,day
45,000,303,79.0,706546.0,190726.0,evening
46,000,303,112.0,985015.0,264708.0,morning
47,000,303,12.0,108172.0,29218.0,night
48,000,304,241.0,1814613.0,496942.0,day
49,000,304,86.0,649917.0,176994.0,evening
50,000,304,226.0,1704416.0,460222.0,morning
51,000,304,16.0,121347.0,32810.0,night
52,000,305,46.0,418022.0,116358.0,day
53,000,305,18.0,175838.0,48504.0,evening
54,000,305,21.0,213213.0,58418.0,morning
55,000,305,5.0,50619.0,13671.0,night
56,000,401,16.0,133255.0,35043.0,day
57,000,401,3.0,27513.0,7309.0,evening
58,000,401,1.0,7167.0,1874.0,morning
59,000,402,6.0,47232.0,12407.0,day
60,000,402,3.0,33205.0,8587.0,evening
61,000,402,3.0,20029.0,5323.0,morning
62,000,404,12.0,114472.0,31872.0,day
63,000,404,4.0,40046.0,11076.0,evening
64,000,404,1.0,9915.0,2711.0,morning
65,000,404,1.0,7994.0,2182.0,night
66,000,501,9.0,126042.0,33674.0,day
67,000,501,2.0,25657.0,6947.0,evening
68,000,501,1.0,11940.0,3285.0,night
69,000,601,1.0,12685.0,3363.0,day
70,000,602,5.0,78703.0,21368.0,day
71,000,602,1.0,17640.0,4822.0,evening
72,000,602,4.0,72358.0,19440.0,morning
73,000,602,1.0,13592.0,3602.0,night
74,000,701,2.0,33956.0,9284.0,day
75,000,701,2.0,41963.0,11045.0,evening
76,000,702,1.0,17682.0,4857.0,day
77,000,702,2.0,35364.0,9714.0,evening
78,101,000,185.0,1633746.0,437774.0,day
79,101,000,91.0,796951.0,214002.0,evening
80,101,000,75.0,642113.0,175343.0,morning
81,101,000,36.0,322991.0,86861.0,night
82,101,101,34128.0,32273253.0,9351242.0,day
83,101,101,19201.0,18830155.0,5406465.0,evening
84,101,101,20351.0,20838769.0,6051116.0,morning
85,101,101,2727.0,2844203.0,811630.0,night
86,101,102,25376.0,40011530.0,11854361.0,day
87,101,102,14168.0,23415938.0,6974002.0,evening
88,101,102,22252.0,30505714.0,9098953.0,morning
89,101,102,2106.0,3350070.0,1015737.0,night
90,101,103,48830.0,77374283.0,23643724.0,day
91,101,103,26852.0,43230505.0,13224569.0,evening
92,101,103,31070.0,56979425.0,16956139.0,morning
93,101,103,4365.0,7133687.0,2171370.0,night
94,101,104,16585.0,35839714.0,9948969.0,day
95,101,104,10329.0,22289834.0,6171365.0,evening
96,101,104,3589.0,7792640.0,2199776.0,morning
97,101,104,1500.0,3282496.0,900362.0,night
98,101,105,3807.0,16086434.0,4381508.0,day
99,101,105,2336.0,9988030.0,2730188.0,evening
100,101,105,622.0,2853092.0,780552.0,morning
101,101,105,564.0,2428831.0,660582.0,night
102,101,201,6006.0,23438027.0,6318992.0,day
103,101,201,4291.0,16909197.0,4546067.0,evening
104,101,201,1491.0,5891332.0,1632954.0,morning
105,101,201,635.0,2494833.0,671196.0,night
106,101,202,1192.0,6314083.0,1656802.0,day
107,101,202,933.0,4979268.0,1307426.0,evening
108,101,202,150.0,828338.0,217815.0,morning
109,101,202,141.0,767533.0,201374.0,night
110,101,203,730.0,4608408.0,1230769.0,day
111,101,203,616.0,3847256.0,1026136.0,evening
112,101,203,75.0,493226.0,132008.0,morning
113,101,203,104.0,654906.0,173898.0,night
114,101,204,72.0,555837.0,149733.0,day
115,101,204,71.0,550103.0,148695.0,evening
116,101,204,16.0,118997.0,32225.0,morning
117,101,204,15.0,121750.0,32558.0,night
118,101,301,31194.0,59233360.0,16854801.0,day
119,101,301,22793.0,42970426.0,12186781.0,evening
120,101,301,10380.0,18928909.0,5326280.0,morning
121,101,301,3682.0,7084882.0,2023573.0,night
122,101,302,5958.0,15376417.0,4924207.0,day
123,101,302,4590.0,11857862.0,3786209.0,evening
124,101,302,761.0,2025472.0,638554.0,morning
125,101,302,705.0,1817886.0,578888.0,night
126,101,303,5509.0,18433080.0,5564765.0,day
127,101,303,4261.0,14202575.0,4287284.0,evening
128,101,303,1330.0,4443464.0,1328051.0,morning
129,101,303,713.0,2365631.0,712139.0,night
130,101,304,2181.0,8673759.0,2543180.0,day
131,101,304,1547.0,6116089.0,1789257.0,evening
132,101,304,677.0,2878883.0,851564.0,morning
133,101,304,279.0,1129649.0,332506.0,night
134,101,305,3511.0,17578907.0,4889527.0,day
135,101,305,2184.0,10894292.0,3040028.0,evening
136,101,305,446.0,2179266.0,595995.0,morning
137,101,305,322.0,1638710.0,454661.0,night
138,101,401,65.0,482453.0,141230.0,day
139,101,401,65.0,481731.0,141173.0,evening
140,101,401,1.0,7427.0,2146.0,morning
141,101,401,4.0,30664.0,8808.0,night
142,101,402,7.0,60613.0,17688.0,day
143,101,402,7.0,61037.0,17852.0,evening
144,101,402,3.0,25061.0,7314.0,night
145,101,404,139.0,1092022.0,304270.0,day
146,101,404,106.0,824134.0,235758.0,evening
147,101,404,13.0,100058.0,28747.0,morning
148,101,404,7.0,53774.0,15499.0,night
149,101,501,106.0,804414.0,214810.0,day
150,101,501,127.0,931323.0,246399.0,evening
151,101,501,7.0,56585.0,14901.0,morning
152,101,501,41.0,308604.0,79867.0,night
153,101,601,812.0,3787208.0,1021455.0,day
154,101,601,665.0,3110792.0,836643.0,evening
155,101,601,156.0,728984.0,194493.0,morning
156,101,601,136.0,641127.0,172054.0,night
157,101,602,536.0,3550181.0,952181.0,day
158,101,602,350.0,2313704.0,618427.0,evening
159,101,602,104.0,759667.0,198162.0,morning
160,101,602,75.0,507981.0,136465.0,night
161,101,603,10.0,93154.0,25462.0,day
162,101,603,11.0,103846.0,28646.0,evening
163,101,603,1.0,9276.0,2575.0,morning
164,101,603,13.0,129374.0,35852.0,night
165,101,701,18.0,185185.0,48203.0,day
166,101,701,16.0,170973.0,44243.0,evening
167,101,701,2.0,21862.0,5642.0,morning
168,101,701,5.0,50401.0,13289.0,night
169,101,702,3.0,32605.0,8863.0,evening
170,101,702,3.0,32966.0,8982.0,morning
171,101,702,9.0,103212.0,27947.0,night
172,102,000,140.0,1222948.0,333599.0,day
173,102,000,85.0,752279.0,205445.0,evening
174,102,000,66.0,552762.0,150507.0,morning
175,102,000,37.0,341202.0,92997.0,night
176,102,101,28165.0,41268659.0,11658260.0,day
177,102,101,16496.0,26844873.0,7660467.0,evening
178,102,101,15408.0,23281698.0,6547607.0,morning
179,102,101,3436.0,5545258.0,1569985.0,night
180,102,102,35942.0,41750831.0,12240132.0,day
181,102,102,24625.0,27250504.0,8048968.0,evening
182,102,102,14002.0,14826170.0,4380331.0,morning
183,102,102,3560.0,3558872.0,1063502.0,night
184,102,103,32162.0,57052561.0,16688369.0,day
185,102,103,23038.0,41826274.0,12205990.0,evening
186,102,103,19625.0,33594922.0,9774156.0,morning
187,102,103,4359.0,7772070.0,2288920.0,night
188,102,104,3824.0,12034860.0,3289264.0,day
189,102,104,2661.0,8558463.0,2348982.0,evening
190,102,104,1379.0,4501042.0,1242188.0,morning
191,102,104,535.0,1716340.0,464958.0,night
192,102,105,2515.0,10830210.0,2957076.0,day
