,start_district,finish_district,count,total_distance,total_duration,day,time
0,000,101,10.0,100128.0,26429.0,0.0,day
1,000,101,10.0,99219.0,26495.0,0.0,evening
2,000,101,7.0,72213.0,19102.0,0.0,morning
3,000,101,4.0,34739.0,9277.0,0.0,night
4,000,101,50.0,436330.0,119183.0,1.0,day
5,000,101,9.0,67131.0,18768.0,1.0,evening
6,000,101,7.0,53481.0,14747.0,1.0,morning
7,000,101,39.0,330413.0,88818.0,2.0,day
8,000,101,17.0,149722.0,40229.0,2.0,evening
9,000,101,17.0,148568.0,40539.0,2.0,morning
10,000,101,1.0,6414.0,1821.0,2.0,night
11,000,101,48.0,414883.0,112127.0,3.0,day
12,000,101,10.0,94085.0,25154.0,3.0,evening
13,000,101,11.0,100626.0,27116.0,3.0,morning
14,000,101,4.0,28551.0,8001.0,3.0,night
15,000,101,37.0,336133.0,90355.0,4.0,day
16,000,101,8.0,77760.0,20666.0,4.0,evening
17,000,101,15.0,134196.0,36287.0,4.0,morning
18,000,101,4.0,30469.0,8242.0,4.0,night
19,000,101,29.0,248132.0,65595.0,5.0,day
20,000,101,12.0,116862.0,31075.0,5.0,evening
21,000,101,8.0,89188.0,23786.0,5.0,morning
22,000,101,1.0,9297.0,2602.0,5.0,night
23,000,101,28.0,258120.0,67936.0,6.0,day
24,000,101,11.0,94210.0,25161.0,6.0,evening
25,000,101,13.0,136748.0,36804.0,6.0,morning
26,000,101,4.0,44133.0,11451.0,6.0,night
27,000,102,10.0,104053.0,27949.0,0.0,day
28,000,102,19.0,169360.0,46659.0,0.0,evening
29,000,102,6.0,58565.0,15887.0,0.0,morning
30,000,102,3.0,35917.0,9370.0,0.0,night
31,000,102,27.0,248004.0,67114.0,1.0,day
32,000,102,12.0,107195.0,29332.0,1.0,evening
33,000,102,6.0,55435.0,15068.0,1.0,morning
34,000,102,2.0,15063.0,4263.0,1.0,night
35,000,102,21.0,186106.0,50896.0,2.0,day
36,000,102,20.0,171532.0,47233.0,2.0,evening
37,000,102,9.0,85196.0,23251.0,2.0,morning
38,000,102,28.0,271645.0,73746.0,3.0,day
39,000,102,10.0,72644.0,20529.0,3.0,evening
40,000,102,9.0,90330.0,23808.0,3.0,morning
41,000,102,1.0,8408.0,2314.0,3.0,night
42,000,102,19.0,178404.0,48294.0,4.0,day
43,000,102,13.0,106955.0,29636.0,4.0,evening
44,000,102,9.0,89496.0,23792.0,4.0,morning
45,000,102,1.0,7719.0,2108.0,4.0,night
46,000,102,21.0,207729.0,55728.0,5.0,day
47,000,102,5.0,37167.0,10492.0,5.0,evening
48,000,102,11.0,93106.0,25455.0,5.0,morning
49,000,102,26.0,242768.0,65979.0,6.0,day
50,000,102,5.0,45076.0,12349.0,6.0,evening
51,000,102,8.0,71754.0,19698.0,6.0,morning
52,000,102,2.0,22512.0,6080.0,6.0,night
53,000,103,149.0,1038167.0,284736.0,0.0,day
54,000,103,75.0,517838.0,142228.0,0.0,evening
55,000,103,52.0,349743.0,97491.0,0.0,morning
56,000,103,27.0,198145.0,54485.0,0.0,night
57,000,103,305.0,2072239.0,569054.0,1.0,day
58,000,103,158.0,1096021.0,299926.0,1.0,evening
59,000,103,143.0,1037707.0,285636.0,1.0,morning
60,000,103,6.0,41952.0,11487.0,1.0,night
61,000,103,338.0,2300155.0,630180.0,2.0,day
62,000,103,161.0,1170113.0,320005.0,2.0,evening
63,000,103,133.0,978305.0,268778.0,2.0,morning
64,000,103,10.0,69592.0,19717.0,2.0,night
65,000,103,347.0,2398819.0,656906.0,3.0,day
66,000,103,164.0,1141596.0,311340.0,3.0,evening
67,000,103,138.0,1002802.0,277433.0,3.0,morning
68,000,103,18.0,129014.0,34824.0,3.0,night
69,000,103,273.0,1923250.0,527985.0,4.0,day
70,000,103,138.0,976918.0,266880.0,4.0,evening
71,000,103,121.0,877814.0,241956.0,4.0,morning
72,000,103,4.0,29007.0,7919.0,4.0,night
73,000,103,195.0,1329451.0,366298.0,5.0,day
74,000,103,104.0,716995.0,196322.0,5.0,evening
75,000,103,110.0,805385.0,223069.0,5.0,morning
76,000,103,9.0,69575.0,18780.0,5.0,night
77,000,103,169.0,1240034.0,339350.0,6.0,day
78,000,103,80.0,569445.0,155951.0,6.0,evening
79,000,103,57.0,403270.0,109953.0,6.0,morning
80,000,103,24.0,178077.0,48834.0,6.0,night
81,000,104,68.0,494419.0,128030.0,0.0,day
82,000,104,31.0,223087.0,57602.0,0.0,evening
83,000,104,22.0,158810.0,41546.0,0.0,morning
84,000,104,17.0,114470.0,29581.0,0.0,night
85,000,104,135.0,944752.0,243519.0,1.0,day
86,000,104,47.0,324840.0,83537.0,1.0,evening
87,000,104,37.0,267819.0,69777.0,1.0,morning
88,000,104,3.0,18711.0,4822.0,1.0,night
89,000,104,152.0,1042418.0,269718.0,2.0,day
90,000,104,61.0,410330.0,106526.0,2.0,evening
91,000,104,38.0,269956.0,70180.0,2.0,morning
92,000,104,135.0,919995.0,237872.0,3.0,day
93,000,104,66.0,469588.0,120681.0,3.0,evening
94,000,104,27.0,191812.0,50407.0,3.0,morning
95,000,104,7.0,45831.0,11833.0,3.0,night
96,000,104,121.0,818188.0,211895.0,4.0,day
97,000,104,45.0,314340.0,81358.0,4.0,evening
98,000,104,31.0,235026.0,61603.0,4.0,morning
99,000,104,3.0,21087.0,5423.0,4.0,night
100,000,104,108.0,750312.0,194368.0,5.0,day
101,000,104,33.0,237990.0,61598.0,5.0,evening
102,000,104,31.0,208870.0,54361.0,5.0,morning
103,000,104,4.0,27964.0,7213.0,5.0,night
104,000,104,64.0,433160.0,112243.0,6.0,day
105,000,104,32.0,215484.0,55959.0,6.0,evening
106,000,104,31.0,191012.0,49834.0,6.0,morning
107,000,104,10.0,66879.0,17247.0,6.0,night
108,000,105,465.0,2134479.0,590314.0,0.0,day
109,000,105,216.0,1021699.0,283439.0,0.0,evening
110,000,105,83.0,373429.0,103409.0,0.0,morning
111,000,105,116.0,551305.0,152179.0,0.0,night
112,000,105,617.0,2937227.0,811962.0,1.0,day
113,000,105,309.0,1455056.0,401415.0,1.0,evening
114,000,105,149.0,784702.0,215052.0,1.0,morning
115,000,105,21.0,96824.0,26838.0,1.0,night
116,000,105,698.0,3263917.0,901307.0,2.0,day
117,000,105,349.0,1692459.0,465661.0,2.0,evening
118,000,105,137.0,704878.0,193131.0,2.0,morning
119,000,105,24.0,119932.0,32486.0,2.0,night
120,000,105,742.0,3532583.0,975197.0,3.0,day
