base_to_comp_sun_morning,base_to_comp_sun_day,base_to_comp_sun_evening,base_to_comp_sun_night,base_to_comp_mon_morning,base_to_comp_mon_day,base_to_comp_mon_evening,base_to_comp_mon_night,base_to_comp_tue_morning,base_to_comp_tue_day,base_to_comp_tue_evening,base_to_comp_tue_night,base_to_comp_wed_morning,base_to_comp_wed_day,base_to_comp_wed_evening,base_to_comp_wed_night,base_to_comp_thu_morning,base_to_comp_thu_day,base_to_comp_thu_evening,base_to_comp_thu_night,base_to_comp_fri_morning,base_to_comp_fri_day,base_to_comp_fri_evening,base_to_comp_fri_night,base_to_comp_sat_morning,base_to_comp_sat_day,base_to_comp_sat_evening,base_to_comp_sat_night,comp_to_base_sun_morning,comp_to_base_sun_day,comp_to_base_sun_evening,comp_to_base_sun_night,comp_to_base_mon_morning,comp_to_base_mon_day,comp_to_base_mon_evening,comp_to_base_mon_night,comp_to_base_tue_morning,comp_to_base_tue_day,comp_to_base_tue_evening,comp_to_base_tue_night,comp_to_base_wed_morning,comp_to_base_wed_day,comp_to_base_wed_evening,comp_to_base_wed_night,comp_to_base_thu_morning,comp_to_base_thu_day,comp_to_base_thu_evening,comp_to_base_thu_night,comp_to_base_fri_morning,comp_to_base_fri_day,comp_to_base_fri_evening,comp_to_base_fri_night,comp_to_base_sat_morning,comp_to_base_sat_day,comp_to_base_sat_evening,comp_to_base_sat_night
1046.0,3574.0,2197.0,968.0,3377.0,5052.0,2564.0,267.0,3731.0,5542.0,2650.0,175.0,3813.0,5750.0,2875.0,229.0,3650.0,5277.0,2931.0,198.0,3200.0,4961.0,3019.0,203.0,1534.0,3972.0,2965.0,687.0,1046.0,3574.0,2197.0,968.0,3377.0,5052.0,2564.0,267.0,3731.0,5542.0,2650.0,175.0,3813.0,5750.0,2875.0,229.0,3650.0,5277.0,2931.0,198.0,3200.0,4961.0,3019.0,203.0,1534.0,3972.0,2965.0,687.0
857.0,2698.0,1593.0,752.0,3848.0,3487.0,1753.0,216.0,4357.0,3769.0,1917.0,140.0,4381.0,4470.0,2148.0,172.0,4059.0,3942.0,2121.0,157.0,3457.0,3516.0,2282.0,169.0,1293.0,3494.0,2354.0,500.0,781.0,2535.0,1683.0,1146.0,2678.0,4387.0,2172.0,271.0,2771.0,4602.0,2408.0,218.0,2900.0,4924.0,2644.0,296.0,2662.0,4442.0,2627.0,379.0,2374.0,4071.0,2409.0,321.0,1242.0,3204.0,2553.0,805.0
947.0,4323.0,2925.0,1617.0,5984.0,8045.0,3954.0,395.0,6240.0,8312.0,4017.0,247.0,6068.0,8639.0,4291.0,320.0,5789.0,7733.0,4301.0,321.0,4695.0,6949.0,3920.0,379.0,1347.0,4829.0,3444.0,1086.0,1539.0,4380.0,2064.0,746.0,5972.0,8915.0,3168.0,410.0,6520.0,8899.0,3157.0,339.0,6546.0,9185.0,3418.0,398.0,5994.0,8426.0,3386.0,421.0,5425.0,7825.0,3302.0,414.0,2452.0,4936.0,2707.0,752.0
241.0,1595.0,957.0,545.0,554.0,2717.0,1509.0,159.0,621.0,2697.0,1574.0,54.0,615.0,2826.0,1822.0,87.0,630.0,2562.0,1744.0,106.0,549.0,2348.0,1521.0,144.0,379.0,1840.0,1202.0,405.0,650.0,1932.0,692.0,158.0,1724.0,2077.0,988.0,127.0,1906.0,2149.0,1080.0,72.0,2073.0,2322.0,1137.0,77.0,2007.0,2287.0,1117.0,107.0,1798.0,2085.0,1103.0,94.0,1102.0,2167.0,941.0,147.0
41.0,293.0,214.0,214.0,105.0,758.0,347.0,44.0,119.0,683.0,396.0,20.0,111.0,625.0,428.0,33.0,109.0,613.0,404.0,31.0,89.0,529.0,333.0,69.0,48.0,306.0,214.0,153.0,138.0,343.0,128.0,83.0,661.0,409.0,146.0,49.0,701.0,391.0,154.0,27.0,690.0,407.0,185.0,35.0,681.0,396.0,153.0,31.0,599.0,341.0,202.0,29.0,247.0,407.0,156.0,65.0
52.0,620.0,413.0,223.0,284.0,1023.0,674.0,55.0,295.0,994.0,695.0,28.0,275.0,1045.0,708.0,54.0,292.0,905.0,688.0,55.0,222.0,773.0,648.0,51.0,71.0,646.0,465.0,169.0,286.0,656.0,180.0,34.0,766.0,899.0,298.0,38.0,921.0,936.0,306.0,25.0,878.0,1049.0,320.0,32.0,885.0,864.0,313.0,33.0,700.0,829.0,287.0,20.0,444.0,722.0,242.0,33.0
13.0,98.0,76.0,58.0,18.0,200.0,145.0,18.0,27.0,230.0,176.0,8.0,23.0,223.0,142.0,6.0,26.0,192.0,164.0,16.0,29.0,124.0,128.0,6.0,14.0,125.0,102.0,29.0,40.0,104.0,28.0,5.0,123.0,100.0,45.0,9.0,125.0,131.0,31.0,13.0,135.0,119.0,58.0,18.0,141.0,107.0,43.0,7.0,133.0,84.0,49.0,7.0,81.0,122.0,48.0,4.0
10.0,53.0,55.0,41.0,15.0,132.0,87.0,12.0,7.0,145.0,105.0,3.0,11.0,127.0,130.0,8.0,10.0,109.0,96.0,7.0,15.0,96.0,71.0,12.0,7.0,68.0,72.0,21.0,27.0,83.0,34.0,6.0,70.0,91.0,28.0,2.0,77.0,90.0,27.0,3.0,72.0,92.0,27.0,2.0,83.0,71.0,33.0,1.0,57.0,81.0,36.0,0.0,44.0,143.0,28.0,2.0
0.0,5.0,6.0,3.0,1.0,18.0,12.0,2.0,5.0,13.0,8.0,0.0,6.0,11.0,13.0,0.0,1.0,6.0,13.0,3.0,2.0,13.0,9.0,3.0,1.0,6.0,10.0,4.0,6.0,5.0,4.0,0.0,3.0,20.0,2.0,2.0,13.0,25.0,3.0,0.0,15.0,30.0,1.0,0.0,13.0,25.0,2.0,0.0,5.0,19.0,8.0,1.0,2.0,6.0,4.0,0.0
469.0,3043.0,2275.0,1285.0,1869.0,4912.0,3074.0,319.0,1997.0,5175.0,3412.0,179.0,1995.0,5170.0,3935.0,269.0,1882.0,4804.0,3750.0,316.0,1447.0,4262.0,3430.0,343.0,721.0,3828.0,2917.0,971.0,975.0,3136.0,1461.0,978.0,3468.0,4654.0,1850.0,283.0,3956.0,4781.0,2038.0,153.0,3952.0,5105.0,2285.0,252.0,3777.0,4772.0,2248.0,260.0,3235.0,4198.0,2221.0,258.0,1820.0,3892.0,2257.0,664.0
76.0,613.0,411.0,241.0,109.0,941.0,594.0,88.0,126.0,904.0,672.0,21.0,130.0,989.0,783.0,50.0,109.0,886.0,822.0,52.0,93.0,813.0,652.0,62.0,118.0,812.0,656.0,191.0,211.0,710.0,314.0,139.0,484.0,724.0,369.0,67.0,543.0,869.0,414.0,56.0,574.0,909.0,465.0,49.0,535.0,898.0,439.0,62.0,464.0,731.0,511.0,68.0,312.0,909.0,509.0,110.0
44.0,524.0,412.0,238.0,213.0,972.0,612.0,74.0,245.0,940.0,674.0,29.0,274.0,927.0,749.0,59.0,278.0,896.0,734.0,75.0,200.0,681.0,587.0,61.0,76.0,569.0,493.0,177.0,217.0,625.0,206.0,103.0,886.0,885.0,278.0,52.0,995.0,955.0,316.0,42.0,963.0,977.0,335.0,35.0,980.0,964.0,317.0,43.0,822.0,835.0,321.0,43.0,409.0,668.0,349.0,71.0
28.0,176.0,162.0,84.0,125.0,389.0,253.0,27.0,154.0,380.0,248.0,18.0,136.0,403.0,230.0,18.0,112.0,355.0,253.0,25.0,96.0,291.0,219.0,39.0,26.0,187.0,182.0,68.0,88.0,300.0,60.0,10.0,370.0,465.0,122.0,6.0,391.0,537.0,113.0,7.0,395.0,532.0,113.0,8.0,381.0,494.0,162.0,4.0,339.0,449.0,135.0,7.0,155.0,362.0,116.0,11.0
26.0,242.0,200.0,94.0,70.0,629.0,351.0,41.0,77.0,660.0,392.0,12.0,87.0,672.0,360.0,26.0,77.0,590.0,382.0,38.0,78.0,455.0,259.0,39.0,31.0,263.0,240.0,72.0,120.0,275.0,79.0,22.0,561.0,306.0,107.0,16.0,616.0,365.0,132.0,10.0,613.0,389.0,125.0,8.0,598.0,360.0,118.0,10.0,462.0,330.0,139.0,15.0,187.0,346.0,127.0,14.0
0.0,8.0,4.0,1.0,0.0,8.0,12.0,0.0,0.0,14.0,18.0,1.0,0.0,13.0,15.0,0.0,1.0,5.0,9.0,0.0,0.0,10.0,4.0,0.0,0.0,7.0,3.0,2.0,1.0,6.0,1.0,0.0,8.0,10.0,3.0,0.0,12.0,4.0,1.0,0.0,17.0,2.0,0.0,0.0,12.0,10.0,1.0,0.0,11.0,4.0,4.0,0.0,2.0,9.0,1.0,0.0
0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2.0,9.0,4.0,4.0,3.0,25.0,26.0,1.0,1.0,27.0,19.0,0.0,2.0,32.0,19.0,0.0,2.0,17.0,18.0,0.0,1.0,22.0,13.0,0.0,2.0,7.0,7.0,2.0,3.0,14.0,7.0,1.0,28.0,15.0,8.0,0.0,31.0,19.0,6.0,0.0,25.0,17.0,6.0,1.0,32.0,11.0,4.0,1.0,27.0,18.0,9.0,0.0,7.0,20.0,4.0,0.0
1.0,11.0,6.0,17.0,0.0,22.0,14.0,2.0,2.0,20.0,22.0,2.0,1.0,14.0,37.0,4.0,3.0,20.0,23.0,5.0,0.0,10.0,18.0,6.0,0.0,9.0,7.0,5.0,4.0,13.0,1.0,0.0,15.0,7.0,3.0,0.0,19.0,20.0,2.0,2.0,34.0,13.0,6.0,6.0,32.0,13.0,3.0,2.0,20.0,15.0,4.0,0.0,25.0,20.0,4.0,1.0
19.0,84.0,53.0,42.0,25.0,125.0,86.0,14.0,27.0,156.0,110.0,4.0,21.0,144.0,128.0,17.0,17.0,129.0,102.0,21.0,19.0,78.0,104.0,9.0,28.0,96.0,82.0,29.0,36.0,106.0,50.0,15.0,84.0,74.0,46.0,14.0,82.0,91.0,65.0,11.0,80.0,106.0,57.0,4.0,79.0,87.0,49.0,12.0,56.0,96.0,54.0,9.0,53.0,114.0,56.0,10.0
8.0,43.0,39.0,25.0,20.0,97.0,61.0,15.0,14.0,119.0,48.0,4.0,14.0,101.0,54.0,5.0,18.0,81.0,51.0,6.0,17.0,64.0,45.0,10.0,13.0,31.0,52.0,10.0,18.0,59.0,26.0,4.0,100.0,49.0,17.0,3.0,109.0,46.0,15.0,2.0,100.0,60.0,18.0,2.0,87.0,58.0,13.0,2.0,66.0,42.0,22.0,3.0,25.0,55.0,15.0,2.0
0.0,0.0,1.0,5.0,0.0,2.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,2.0,3.0,0.0,0.0,8.0,4.0,1.0,1.0,6.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0
1.0,2.0,3.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,5.0,0.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,4.0,2.0,0.0,2.0,8.0,2.0,1.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
781.0,2535.0,1683.0,1146.0,2678.0,4387.0,2172.0,271.0,2771.0,4602.0,2408.0,218.0,2900.0,4924.0,2644.0,296.0,2662.0,4442.0,2627.0,379.0,2374.0,4071.0,2409.0,321.0,1242.0,3204.0,2553.0,805.0,857.0,2698.0,1593.0,752.0,3848.0,3487.0,1753.0,216.0,4357.0,3769.0,1917.0,140.0,4381.0,4470.0,2148.0,172.0,4059.0,3942.0,2121.0,157.0,3457.0,3516.0,2282.0,169.0,1293.0,3494.0,2354.0,500.0
1009.0,4635.0,2566.0,1367.0,2186.0,4686.0,2728.0,301.0,2331.0,4775.0,3368.0,148.0,2400.0,5836.0,3880.0,253.0,2413.0,4926.0,3874.0,351.0,2149.0,4792.0,3770.0,287.0,1514.0,6292.0,4439.0,853.0,1009.0,4635.0,2566.0,1367.0,2186.0,4686.0,2728.0,301.0,2331.0,4775.0,3368.0,148.0,2400.0,5836.0,3880.0,253.0,2413.0,4926.0,3874.0,351.0,2149.0,4792.0,3770.0,287.0,1514.0,6292.0,4439.0,853.0
1071.0,3361.0,2385.0,1468.0,3364.0,4882.0,2926.0,359.0,3633.0,4956.0,3423.0,257.0,3563.0,5636.0,3954.0,421.0,3436.0,4865.0,3779.0,424.0,3072.0,4601.0,3244.0,427.0,1486.0,3861.0,3327.0,1003.0,1162.0,4323.0,2645.0,931.0,4660.0,4975.0,3184.0,248.0,4884.0,5373.0,3537.0,182.0,4996.0,5962.0,3905.0,256.0,4618.0,5524.0,3810.0,279.0,4153.0,4975.0,3521.0,246.0,1796.0,5152.0,3621.0,628.0
154.0,439.0,281.0,188.0,208.0,580.0,330.0,53.0,206.0,626.0,403.0,20.0,220.0,697.0,479.0,55.0,213.0,545.0,462.0,46.0,203.0,442.0,357.0,55.0,175.0,495.0,349.0,118.0,161.0,488.0,276.0,78.0,387.0,426.0,372.0,27.0,463.0,483.0,436.0,16.0,505.0,547.0,462.0,22.0,465.0,474.0,421.0,23.0,415.0,462.0,340.0,22.0,266.0,612.0,399.0,51.0
56.0,275.0,205.0,241.0,127.0,409.0,308.0,25.0,136.0,412.0,347.0,29.0,133.0,415.0,423.0,40.0,113.0,403.0,359.0,58.0,94.0,323.0,272.0,71.0,82.0,278.0,298.0,164.0,132.0,329.0,196.0,53.0,404.0,259.0,171.0,30.0,404.0,301.0,224.0,11.0,453.0,362.0,264.0,17.0,450.0,286.0,219.0,15.0,364.0,288.0,206.0,19.0,234.0,440.0,258.0,38.0
59.0,119.0,100.0,71.0,148.0,205.0,118.0,21.0,156.0,200.0,168.0,4.0,140.0,229.0,175.0,12.0,125.0,168.0,181.0,18.0,124.0,136.0,111.0,23.0,52.0,113.0,84.0,47.0,55.0,165.0,88.0,27.0,186.0,168.0,108.0,4.0,178.0,187.0,134.0,3.0,214.0,206.0,168.0,9.0,207.0,161.0,130.0,3.0,166.0,124.0,72.0,7.0,74.0,142.0,92.0,15.0
22.0,44.0,23.0,16.0,16.0,45.0,33.0,11.0,30.0,45.0,44.0,0.0,23.0,62.0,52.0,4.0,22.0,52.0,49.0,7.0,21.0,36.0,39.0,5.0,20.0,33.0,26.0,15.0,10.0,32.0,24.0,5.0,56.0,27.0,19.0,4.0,77.0,33.0,35.0,0.0,63.0,24.0,40.0,3.0,62.0,26.0,15.0,2.0,58.0,40.0,21.0,3.0,23.0,62.0,30.0,4.0
2.0,8.0,8.0,7.0,7.0,5.0,8.0,2.0,1.0,9.0,11.0,2.0,3.0,16.0,9.0,0.0,2.0,12.0,14.0,2.0,2.0,11.0,5.0,1.0,2.0,6.0,7.0,1.0,7.0,8.0,5.0,2.0,8.0,14.0,6.0,2.0,13.0,1.0,13.0,3.0,14.0,7.0,12.0,1.0,17.0,8.0,9.0,2.0,13.0,10.0,4.0,1.0,19.0,10.0,7.0,2.0
0.0,2.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0,1.0,4.0,1.0,2.0,2.0,5.0,0.0
